id,serie,n,album,,pages
1,1,0,Tintin au pays des Soviets,1930,138
2,1,1,Tintin au Congo (n&b),1931,115
3,1,1,Tintin au Congo,1946,62
4,1,2,Tintin en Amérique (n&b),1932,126
5,1,2,Tintin en Amérique,1946,62
6,1,3,Les Cigares du pharaon (n&b),1934,127
7,1,3,Les Cigares du pharaon,1955,62
8,1,4,Le Lotus bleu (n&b),1936,115
9,1,4,Le Lotus bleu,1946,62
10,1,5,L'Oreille cassée (n&b),1937,128
11,1,5,L'Oreille cassée,1943,62
12,1,6,L'Île Noire (n&b),1938,124
13,1,6,L'Île Noire (1er version couleur),1943,66
14,1,6,L'Île Noire,1966,66
15,1,7,Le Sceptre d'Ottokar (n&b),1939,108
16,1,7,Le Sceptre d'Ottokar,1947,62
17,1,8,Le Crabe aux pinces d'or (n&b),1941,105
18,1,8,Le Crabe aux pinces d'or,1943,62
19,1,9,L'Étoile mystérieuse,1942,62
20,1,10,Le Secret de La Licorne,1943,62
21,1,11,Le Trésor de Rackham le Rouge,1945,62
22,1,12,Les Sept Boules de cristal,1947,62
23,1,13,Le Temple du Soleil,1949,62
24,1,14,Tintin au pays de l'or noir,1950,62
25,1,15,Objectif Lune,1953,62
26,1,16,On a marché sur la Lune,1954,62
27,1,17,L'Affaire Tournesol,1956,62
28,1,18,Coke en stock,1958,62
29,1,19,Tintin au Tibet,1960,62
30,1,20,Les Bijoux de la Castafiore,1963,62
31,1,21,Vol 714 pour Sydney,1968,62
32,1,22,Tintin et les Picaros,1976,62
33,1,23,Tintin et l'Alph-Art,1986,42
34,2,1,La mine d'or de Dick Digger,1949,
35,2,2,Rodéo,1950,
36,2,3,Arizona,1951,
37,2,4,Sous le ciel de l'Ouest,1952,
38,2,5,Lucky Luke contre Pat Poker,1953,
39,2,6,Hors-la-loi,1954,
40,2,7,L'Elixir du docteur Doxey,1955,
41,2,8,Lucky Luke et Phil Defer,1956,
42,2,9,Des rails sur la prairie,1957,
43,2,10,Alerte aux Pieds-Bleus,1958,
44,2,11,Lucky Luke contre Joss Jamon,1958,
45,2,12,Les cousins Dalton,1958,
46,2,13,Le juge,1959,
47,2,14,Ruée sur l'Oklahoma,1960,
48,2,15,L'évasion des Dalton,1960,
49,2,16,En remontant le Mississipi,1961,
50,2,17,Sur la piste des Dalton,1962,
51,2,18,À l'ombre des derricks,1962,
52,2,19,Les rivaux de Painful Gulch,1962,
53,2,20,Billy the Kid,1962,
54,2,21,Les collines noires,1963,
55,2,22,Les Dalton dans le blizzard,1963,
56,2,23,Les Dalton courent toujours,1964,
57,2,24,La caravane,1964,
58,2,25,La ville fantôme,1965,
59,2,26,Les Dalton se rachètent,1965,
60,2,27,Le 20ème de cavalerie,1965,
61,2,28,L'escorte,1966,
62,2,29,Des barbelés sur la prairie,1967,
63,2,30,Calamity Jane,1967,
64,2,31,Tortillas pour les Dalton,1967,
65,2,32,La diligence,1968,
66,2,33,Le Pied-Tendre,1968,
67,2,34,Dalton City,1969,
68,2,35,Jesse James,1969,
69,2,36,Western Circus,1970,
70,2,37,Canyon Apache,1971,
71,2,38,Ma Dalton,1971,
72,2,39,Chasseur de primes,1972,
73,2,40,Le grand duc,1973,
74,2,41,L'Héritage de Rantanplan,1973,
75,2,42,7 histoires complètes - Série 1,1974,
76,2,43,Le cavalier blanc,1975,
77,2,44,La guérison des Dalton,1975,
78,2,45,L'empereur Smith,1976,
79,2,46,Le fil qui chante,1977,
80,2,47,Le magot des Dalton,1980,
81,2,48,Le bandit manchot,1981,
82,2,49,Sarah Bernhardt,1982,
83,2,50,La corde du pendu et autres histoires,1982,
84,2,51,Daisy Town,1983,
85,2,52,Fingers,1983,
86,2,53,Le Daily Star,1984,
87,2,54,La fiancée de Lucky Luke,1985,
88,2,55,La ballade des Dalton et autres histoires,1986,
89,2,56,Le ranch maudit,1986,
90,2,57,Nitroglycérine,1987,
91,2,58,L'alibi,1987,
92,2,59,Le Pony Express,1988,
93,2,60,L'amnésie des Dalton,1991,
94,2,61,Chasse aux fantômes,1992,
95,2,62,Les Dalton à la noce,1993,
96,2,63,Le pont sur le Mississipi,1994,
97,2,64,Kid Lucky,1995,
98,2,65,Belle Starr,1995,
99,2,66,Le Klondike,1996,
100,2,67,O.K. Corral,1997,
101,2,68,Oklahoma Jim,1997,
102,2,69,Marcel Dalton,1998,
103,2,70,Le prophète,2000,
104,2,71,L'artiste peintre,2001,
105,2,72,La légende de l'Ouest,2002,
41,9,1,Les mauvais instincts,1973,
42,9,2,Le prisonnier récalcitrant,1973,
43,9,3,Valentin et les hippies,1974,
44,9,4,Valentin fait le singe,1974,
45,9,5,Valentin et les autres,1975,
46,9,6,L'héritage diabolique,1977,
47,9,7,Aux fous,1977,
,2,1,La belle province,2004,
,2,2,La corde au cou,2006,
,2,3,L'homme de Washington,2008,
,2,4,Lucky Luke contre Pinkerton,2010,
,2,5,Cavalier seul,2012,
,2,6,Les tontons Dalton,2014,
,2,7,La terre promise,2016,
,2,8,Un cow-boy à Paris,2018,
,2,9,Un cow-boy dans le coton,2020,
,2,10,L'arche de Rantanplan,2022,
,3,1,Les idées d'Achille Talon cerveau-choc !,1966,
,3,2,Achille Talon aggrave son cas !,1967,
,3,3,Achille Talon persiste et signe !,1969,
,3,4,Achille Talon... mon fils à moi !,1970,
,3,5,L'indispensable Achille Talon,1971,
,3,6,Achille Talon au pouvoir,1972,
,3,7,Les insolences d'Achille Talon,1973,
,3,8,Achille Talon méprise l'obstacle,1973,
,3,9,Les petits desseins d'Achille Talon,1974,
,3,10,Le roi de la science-diction,1974,
,3,11,Brave et honnête Achille Talon,1975,
,3,12,Achille Talon au coin du feu...,1975,
,3,13,Pas de pitié pour Achille Talon,1976,
,3,14,Achille Talon et le mystère de l'homme à deux têtes,1976,
,3,15,Achille Talon et le quadrumane optimiste,1976,
,3,16,Achille Talon et le trésor de Virgule,1977,
,3,17,Le roi des Zôtres,1977,
,3,18,Achille Talon et le coquin de sort,1977,
,3,19,Achille Talon et le grain de la folie,1978,
,3,20,Viva Papa !,1978,
,3,21,Ma vie à moi,1978,
,3,22,Le sort s'acharne sur Achille Talon,1979,
,3,23,Achille Talon et la main du serpent,1979,
,3,24,Achille Talon et l'âge ingrat,1980,
,3,25,Achille Talon et l'esprit d'Éloi,1980,
,3,26,Achille Talon et l'arme du crocodile,1980,
,3,27,Ne rêvons pas !,1981,
,3,28,L'insubmersible Achille Talon,1981,
,3,29,Achille Talon et la loi du Bidouble,1981,
,3,30,Achille Talon a un gros nez Ah ! Ah ! Ah !,1982,
,3,31,Il n'y a (Dieu merci) qu'un seul Achille Talon,1982,
,3,32,Achille Talon et la traversée du disert,1982,
,3,33,Achille Talon et la vie secrète du journal... Polite !,1983,
,3,34,L'incorrigible Achille Talon,1983,
,3,35,Achille Talon... à bout portant !,1984,
,3,36,Achille Talon n'a pas tout dit...,1984,
,3,37,Achille Talon et l'archipel de Sanzunron,1985,
,3,38,Achille Talon contre docteur Chacal et Mister Bide !,1987,
,3,39,"Talon (Ach!lle, pour les dames)",1989,
,3,40,Achille Talon et le monstre de l'Étang Tacule !,1989,
,3,41,Achille Talon et l'appeau d'Éphèse,1991,
,3,42,Le musée,1996,
,3,43,Achille Talon a la main verte,1998,
,3,44,Tout va bien !,2000,
,3,45,Le maître est Talon,2001,
,3,46,Le monde merveilleux du journal Polite,2004,
,3,47,Achille Talon crève l'écran,2007,
,3,48,Achille Talon n'arrête pas le progrès,2009,
,5,1,Alix l'intrépide,1956,
,5,2,Le sphinx d'or,1956,
,5,3,L'Île maudite,1957,
,5,4,La tiare d'Oribal,1958,
,5,5,La griffe noire,1959,
,5,6,Les légions perdues,1965,
,5,7,Le Dernier Spartiate,1967,
,5,8,Le tombeau étrusque,1968,
,5,9,Le Dieu sauvage,1970,
,5,10,Iorix le grand,1972,
,5,11,Le prince du Nil,1974,
,5,12,Le fils de Spartacus,1975,
,5,13,Le spectre de Carthage,1977,
,5,14,Les proies du volcan,1978,
,5,15,L'enfant grec,1980,
,5,16,La Tour de Babel,1981,
,5,17,L'empereur de Chine,1983,
,5,18,Vercingétorix,1985,
,5,19,Le Cheval de Troie,1988,
,5,20,Ô Alexandrie,1996,
,5,21,Les barbares,1998,
,5,22,La chute d'Icare,2001,
,5,23,Le fleuve de jade,2003,
,5,24,"Roma, Roma...",2005,
,5,25,C'était à Khorsabad,2006,
,5,26,L'Ibère,2007,
,5,27,Le démon du Pharos,2008,
,5,28,La cité engloutie,2009,
,5,29,Le Testament de César,2010,
,5,30,La conjuration de Baal,2011,
,5,31,L'ombre de Sarapis,2012,
,5,32,La Dernière Conquête,2013,
,5,33,Britannia,2014,
,5,34,Par-delà le Styx,2015,
,5,35,L'or de Saturne,2016,
,5,36,Le Serment du gladiateur,2017,
,5,37,Veni Vidi Vici,2018,
,5,38,Les Helvètes,2019,
,5,39,Le Dieu sans nom,2020,
,5,40,L'Œil du Minotaure,2021,
,5,41,La reine des Amazones,2023,
,5,42,Le Bouclier d'Achille,2023,
,8,1,Le Grand Vizir Iznogoud,1966,
,8,2,Les complots du grand vizir Iznogoud,1967,
,8,3,Les vacances du Calife,1968,
,8,4,Iznogoud l'infâme,1969,
,8,5,Des astres pour Iznogoud,1969,
,8,6,Iznogoud et l'ordinateur magique,1970,
,8,7,Une carotte pour Iznogoud,1971,
,8,8,Le jour des fous,1972,
,8,9,Le tapis magique,1973,
,8,10,Iznogoud l'acharné,1974,
,8,11,La tête de Turc d'Iznogoud,1975,
,8,12,Le conte de fées d'Iznogoud,1976,
,8,13,Je veux être Calife à la place du Calife,1978,
,8,14,Les cauchemars d'Iznogoud,1979,
,8,15,L'enfance d'Iznogoud,1981,
,8,16,Iznogoud et les femmes,1983,
,8,17,Les cauchemars d'Iznogoud (bis),1984,
,8,18,Le complice d'Iznogoud,1985,
,8,19,L'Anniversaire d'Iznogoud,1987,
,8,20,Enfin Calife !,1989,
,8,21,Le piège de la sirène,1992,
,8,22,Les Cauchemars d'Iznogoud (tome 2),1993,
,8,23,Les cauchemars d'Iznogoud (Tome 3),1994,
,8,24,Les retours d'Iznogoud,1994,
,8,25,Qui a tué le Calife ?,1998,
,8,26,Un monstre sympathique,2000,
,8,27,La faute de l'ancêtre,2004,
,8,28,Les mille et une nuits du Calife,2008,
,8,29,Iznogoud Président,2012,
,8,30,De Père en Fils !,2015,
,8,31,"Moi, calife...",2021,
,8,32,Des bougies pour Iznogoud,2022,
,4,1,4 aventures de Spirou ...et Fantasio,1950,
,4,2,Il y a un sorcier à Champignac,1951,
,4,3,Les chapeaux noirs,1952,
,4,4,Spirou et les héritiers,1952,
,4,5,Les voleurs du Marsupilami,1954,
,4,6,La corne de rhinocéros,1955,
,4,7,Le dictateur et le champignon,1956,
,4,8,La mauvaise tête,1956,
,4,9,Le repaire de la murène,1957,
,4,10,Les pirates du silence,1958,
,4,11,Le gorille a bonne mine,1959,
,4,12,Le nid des Marsupilamis,1960,
,4,13,Le voyageur du mésozoïque,1960,
,4,14,Le prisonnier du Bouddha,1960,
,4,15,Z comme Zorglub,1961,
,4,16,L'ombre du Z,1962,
,4,17,Spirou et les hommes-bulles,1964,
,4,18,QRN sur Bretzelburg,1966,
,4,19,Panade à Champignac,1969,
,4,20,Le faiseur d'or,1970,
,4,21,Du glucose pour Noémie,1971,
,4,22,L'abbaye truquée,1972,
,4,23,Tora Torapa,1973,
,4,24,Tembo Tabou,1974,
,4,25,Le gri-gri du Niokolo-Koba,1974,
,4,26,Du cidre pour les étoiles,1975,
,4,27,L'Ankou,1977,
,4,28,Kodo le tyran,1979,
,4,29,Des haricots partout,1980,
,4,30,La ceinture du grand froid,1983,
,4,31,La boîte noire,1983,
,4,32,Les faiseurs de silence,1984,
,4,33,Virus,1984,
,4,34,Aventure en Australie,1985,
,4,35,Qui arrêtera Cyanure ?,1985,
,4,36,L'horloger de la comète,1986,
,4,37,Le réveil du Z,1986,
,4,38,La jeunesse de Spirou,1987,
,4,39,Spirou à New York,1987,
,4,40,La frousse aux trousses,1988,
,4,41,La vallée des bannis,1989,
,4,42,Spirou à Moscou,1990,
,4,43,Vito la déveine,1991,
,4,44,Le rayon noir,1993,
,4,45,Luna fatale,1995,
,4,46,Machine qui rêve,1998,
,4,47,Paris-sous-Seine,2004,
,4,48,L'Homme qui ne voulait pas mourir,2005,
,4,49,Spirou et Fantasio à Tokyo,2006,
,4,50,Aux sources du Z,2008,
,4,51,Alerte aux Zorkons,2010,
,4,52,La face cachée du Z,2011,
,4,53,Dans les griffes de la Vipère,2013,
,4,54,Le Groom de Sniper Alley,2014,
,4,55,La colère du Marsupilami,2016,
,4,56,La mort de Spirou,2022,
,4,57,La mémoire du futur,2024,
,10,1,Le trio de l'étrange,1972,
,10,2,L'orgue du diable,1973,
,10,3,La forge de Vulcain,1973,
,10,4,Aventures électroniques,1974,
,10,5,Message pour l'éternité,1975,
,10,6,Les 3 soleils de Vinéa,1976,
,10,7,La frontière de la vie,1977,
,10,8,Les titans,1978,
,10,9,La fille du vent,1979,
,10,10,La lumière d'Ixo,1980,
,10,11,La spirale du temps,1981,
,10,12,La proie et l'ombre,1982,
,10,13,Les archanges de Vinéa,1983,
,10,14,Le feu de Wotan,1984,
,10,15,Le canon de Kra,1985,
,10,16,Le dragon de Hong Kong,1986,
,10,17,Le matin du monde,1988,
,10,18,Les exilés de Kifa,1991,
,10,19,L'or du Rhin,1993,
,10,20,L'astrologue de Bruges,1994,
,10,21,La porte des âmes,1996,
,10,22,La jonque céleste,1998,
,10,23,La pagode des brumes,2001,
,10,24,Le septième code,2005,
,10,25,La servante de Lucifer,2010,
,10,26,Le Maléfice de l'améthyste,2012,
,10,27,Le Secret de Khâny,2015,
,10,28,Le temple des immortels,2017,
,10,29,Anges et faucons,2019,
,10,30,Les Gémeaux de Saturne,2022,
,10,31,L'Aigle des Highlands,2024,
,6,1,Astérix le Gaulois,1961,
,6,2,La serpe d'or,1962,
,6,3,Astérix et les Goths,1963,
,6,4,Astérix Gladiateur,1964,
,6,5,Le tour de Gaule d'Astérix,1965,
,6,6,Astérix et Cléopâtre,1965,
,6,7,Le combat des chefs,1966,
,6,8,Astérix chez les Bretons,1966,
,6,9,Astérix et les Normands,1966,
,6,10,Astérix Légionnaire,1967,
,6,11,Le bouclier arverne,1968,
,6,12,Astérix aux jeux Olympiques,1968,
,6,13,Astérix et le chaudron,1969,
,6,14,Astérix en Hispanie,1969,
,6,15,La zizanie,1970,
,6,16,Astérix chez les Helvètes,1970,
,6,17,Le domaine des dieux,1971,
,6,18,Les lauriers de César,1972,
,6,19,Le devin,1972,
,6,20,Astérix en Corse,1973,
,6,21,Le cadeau de César,1974,
,6,22,La grande traversée,1975,
,6,23,Obélix et compagnie,1976,
,6,24,Astérix chez les Belges,1979,
,6,25,Le Grand Fossé,1980,
,6,26,L'odyssée d'Astérix,1981,
,6,27,Le fils d'Astérix,1983,
,6,28,Astérix chez Rahãzade,1987,
,6,29,La rose et le glaive,1991,
,6,30,La galère d'Obélix,1996,
,6,31,Astérix et Latraviata,2001,
,6,32,Astérix et la rentrée gauloise,1993,
,6,33,Le ciel lui tombe sur la tête,2005,
,6,34,L'Anniversaire d'Astérix & Obélix - Le livre d'Or,2009,
,6,35,Astérix chez les Pictes,2013,
,6,36,Le papyrus de César,2015,
,6,37,Astérix et la Transitalique,2017,
,6,38,La Fille de Vercingétorix,2019,
,6,39,Astérix et le Griffon,2021,
,6,40,L'iris blanc,2023,
,11,1,Léonard est un génie,1977,
,11,2,Léonard est toujours un génie,1978,
,11,3,"Léonard, c'est un quoi, déjà ?",1979,
,11,4,Hi-Fi Génie,1980,
,11,5,Génie à toute heure,1981,
,11,6,Génie en balade,1982,
,11,7,Y a-t-il un génie dans la salle ?,1982,
,11,8,Coup de génie,1982,
,11,9,Génie civil,1983,
,11,10,La guerre des génies,1983,
,11,11,Génie du bal,1984,
,11,12,Trait de génie,1985,
,11,13,Génie en herbe,1986,
,11,14,Le poids du génie,1986,
,11,15,"Crie, ô, génie !",1987,
,11,16,Génie à revendre,1987,
,11,17,Ohé du génie !,1988,
,11,18,Génie en sous-sol,1990,
,11,19,Flagrant génie,1990,
,11,20,"Ciel, mon génie !",1991,
,11,21,Un air de génie,1992,
,11,22,Cadeau de génie,1992,
