IdAlbum  ,ISBN              ,Serie                                               ,Num       ,NumA           ,Titre                                                 ,Editeur                     ,Collection                           ,EO       ,DL         ,AI      ,Cote ,Scenariste                ,Dessinateur              
5878     ,220331513X        ,"4 as (Les)"                                        ,13        ,""             ,"Les 4 as et la bombe F"                              ,"Casterman"                 ,""                                   ,1        ,06/1975    ,        ,18   ,"Chaulet, Georges"        ,"Craenhals, François"    
5911     ,2203315164        ,"4 as (Les)"                                        ,16        ,""             ,"Les 4 as et le vaisseau fantôme"                     ,"Casterman"                 ,""                                   ,1        ,12/1978    ,        ,     ,"Chaulet, Georges"        ,"Craenhals, François"    
5912     ,2-203-31517-2     ,"4 as (Les)"                                        ,17        ,""             ,"Les 4 as et le diamant bleu"                         ,"Casterman"                 ,""                                   ,0        ,06/1979    ,        ,15   ,"Chaulet, Georges"        ,"Craenhals, François"    
1311     ,2-203-31523-7     ,"4 as (Les)"                                        ,23        ,""             ,"Les 4 as et le magicien"                             ,"Casterman"                 ,""                                   ,0        ,09/1985    ,        ,9    ,"Chaulet, Georges"        ,"Craenhals, François"    
53276    ,2205058541        ,"Achille Talon"                                     ,7         ,"Ind2006"      ,"Les insolences d'Achille Talon"                      ,"Dargaud"                   ,"Les Indispensables de la BD (2006)" ,0        ,01/2006    ,00/0000 ,     ,"Greg"                    ,"Greg"                   
16       ,2-205-01024-7     ,"Achille Talon"                                     ,14        ,""             ,"Achille Talon et le mystère de l'homme à deux têtes" ,"Dargaud"                   ,""                                   ,0        ,01/1976    ,        ,14   ,"Greg"                    ,"Greg"                   
235739   ,2205010336        ,"Achille Talon"                                     ,15        ,"a1983"        ,"Achille Talon et le quadrumane optimiste"            ,"Dargaud"                   ,""                                   ,0        ,01/1983    ,12/1982 ,     ,"Vicq"                    ,"Greg"                   
100275   ,2-205-01191-X     ,"Achille Talon"                                     ,19        ,"c1989"        ,"Achille Talon et le grain de la folie"               ,"Dargaud"                   ,""                                   ,0        ,09/1989    ,04/1990 ,     ,"Greg"                    ,"Greg"                   
134521   ,2-205-01195-2     ,"Achille Talon"                                     ,20        ,"b1990"        ,"Viva Papa !"                                         ,"Dargaud"                   ,""                                   ,0        ,06/1990    ,05/1990 ,     ,"Greg"                    ,"Greg"                   
31       ,2-205-01924-4     ,"Achille Talon"                                     ,29        ,""             ,"Achille Talon et la loi du Bidouble"                 ,"Dargaud"                   ,""                                   ,1        ,10/1981    ,        ,     ,"Greg"                    ,"Greg"                   
5805     ,2800124628        ,"Agent 212 (L')"                                    ,19        ,""             ,"Cuisses de Poulet"                                   ,"Dupuis"                    ,""                                   ,1        ,11/1997    ,        ,10   ,"Cauvin, Raoul"           ,"Kox, Daniel"            
906      ,2-84055-089-X     ,"Ailes de Plomb (Les)"                              ,1         ,""             ,"Vol de nuit"                                         ,"Delcourt"                  ,"Sang Froid"                         ,1        ,08/1996    ,07/1996 ,16   ,"Gibelin, Christophe"     ,"Barral, Nicolas"        
1220     ,2-84055-173-X     ,"Ailes de Plomb (Les)"                              ,2         ,""             ,"Le vol du Balbuzard"                                 ,"Delcourt"                  ,"Sang Froid"                         ,1        ,04/1998    ,03/1998 ,14   ,"Gibelin, Christophe"     ,"Barral, Nicolas"        
2029     ,2-84055-321-X     ,"Ailes de Plomb (Les)"                              ,3         ,""             ,"L'affaire est dans le lac"                           ,"Delcourt"                  ,"Sang Froid"                         ,1        ,07/2000    ,06/2000 ,     ,"Gibelin, Christophe"     ,"Barral, Nicolas"        
94776    ,9782203013728     ,"Airborne 44"                                       ,1         ,""             ,"Là où tombent les hommes"                            ,"Casterman"                 ,""                                   ,1        ,09/2009    ,        ,25   ,"Jarbinet, Philippe"      ,"Jarbinet, Philippe"     
7475     ,220504186X        ,"Aldébaran"                                         ,1         ,""             ,"La catastrophe"                                      ,"Dargaud"                   ,""                                   ,1        ,02/1994    ,01/1994 ,120  ,"Leo"                     ,"Leo"                    
58044    ,2-203-31216-5     ,"Alix (France Loisirs)"                             ,16        ,"17"           ,"La tour de Babel et l'empereur de Chine"             ,"France Loisirs"            ,""                                   ,0        ,10/1981    ,        ,     ,"Martin, Jacques"         ,"Martin, Jacques"        
6265     ,2-8696-7932-7     ,"Alzéor Mondraggo"                                  ,1         ,""             ,"La pierre blanche"                                   ,"Vents d'Ouest"             ,""                                   ,1        ,09/2001    ,09/2001 ,     ,"Makyo"                   ,"Caryn, David"           
1936     ,2-84055-487-9     ,"Amenophis IV"                                      ,1         ,""             ,"Demy"                                                ,"Delcourt"                  ,"Neopolis"                           ,1        ,04/2000    ,03/2000 ,     ,"Dieter"                  ,"Le Roux, Étienne"       
7906     ,2-84055-669-3     ,"Amenophis IV"                                      ,2         ,""             ,"Mink"                                                ,"Delcourt"                  ,"Neopolis"                           ,1        ,11/2001    ,09/2001 ,     ,"Dieter"                  ,"Le Roux, Étienne"       
2284     ,2-84055-561-1     ,"Aquablue"                                          ,          ,"INT2"         ,"Second cycle - Étoile Blanche - édition intégrale"   ,"Delcourt"                  ,""                                   ,1        ,10/2000    ,09/2000 ,     ,"Cailleteau, Thierry"     ,"Tota, Ciro"             
2129     ,2-84055-468-2     ,"Aquablue"                                          ,8         ,""             ,"Fondation Aquablue"                                  ,"Delcourt"                  ,"Conquistador"                       ,1        ,01/2001    ,12/2000 ,     ,"Cailleteau, Thierry"     ,"Tota, Ciro"             
15100    ,2-84055-761-4     ,"Aquablue"                                          ,9         ,""             ,"Le Totem des Cynos"                                  ,"Delcourt"                  ,"Conquistador"                       ,1        ,05/2002    ,04/2002 ,     ,"Cailleteau, Thierry"     ,"Tota, Ciro"             
215827   ,9782370730145     ,"Arabe du futur (L')"                               ,1         ,""             ,"Une jeunesse au Moyen-Orient (1978-1984)"            ,"Allary Éditions"           ,""                                   ,1        ,05/2014    ,04/2014 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
248954   ,9782370730541     ,"Arabe du futur (L')"                               ,2         ,""             ,"Une jeunesse au Moyen-Orient (1984-1985)"            ,"Allary Éditions"           ,""                                   ,1        ,06/2015    ,05/2015 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
289474   ,9782370730947     ,"Arabe du futur (L')"                               ,3         ,""             ,"Une jeunesse au Moyen-Orient (1985-1987)"            ,"Allary Éditions"           ,""                                   ,1        ,10/2016    ,09/2016 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
343480   ,9782370731258     ,"Arabe du futur (L')"                               ,4         ,""             ,"Une jeunesse au Moyen-Orient (1987-1992)"            ,"Allary Éditions"           ,""                                   ,1        ,09/2018    ,08/2018 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
2187     ,2-87764-898-2     ,"Arkeod"                                            ,1         ,""             ,"Lapsit ex illis"                                     ,"Soleil Productions"        ,""                                   ,1        ,09/1999    ,        ,     ,"Cady, Virginie"          ,"Mitric, Nicolas"        
2184     ,2-84565-011-6     ,"Arkeod"                                            ,2         ,""             ,"La Pécheresse Originelle"                            ,"Soleil Productions"        ,""                                   ,1        ,04/2001    ,        ,     ,"Mitric, Nicolas"         ,"Mitric, Nicolas"        
1713     ,2-84055-266-3     ,"Arthur - Une épopée celtique"                      ,1         ,""             ,"Myrddin le fou"                                      ,"Delcourt"                  ,"Conquistador"                       ,1        ,06/1999    ,05/1999 ,24   ,"Chauvel, David"          ,"Lereculey, Jérôme"      
1902     ,2-84055-303-1     ,"Arthur - Une épopée celtique"                      ,2         ,""             ,"Arthur le combattant"                                ,"Delcourt"                  ,"Conquistador"                       ,1        ,02/2000    ,12/1999 ,16   ,"Chauvel, David"          ,"Lereculey, Jérôme"      
2090     ,2-84055-529-8     ,"Arthur - Une épopée celtique"                      ,3         ,""             ,"Gwalchmei le héros"                                  ,"Delcourt"                  ,"Conquistador"                       ,1        ,11/2000    ,09/2000 ,14   ,"Chauvel, David"          ,"Lereculey, Jérôme"      
6551     ,2-84055-667-7     ,"Arthur - Une épopée celtique"                      ,4         ,""             ,"Kulhwch et Olwen"                                    ,"Delcourt"                  ,"Conquistador"                       ,1        ,10/2001    ,09/2001 ,     ,"Chauvel, David"          ,"Lereculey, Jérôme"      
9356     ,2-86967-908-4     ,"Arvandor"                                          ,1         ,""             ,"La cabale sombre"                                    ,"Vents d'Ouest"             ,""                                   ,1        ,03/2001    ,03/2001 ,     ,"Stoffel, Éric"           ,"Thomas, Olivier"        
9357     ,2-86967-953-X     ,"Arvandor"                                          ,2         ,""             ,"Le champ des âmes"                                   ,"Vents d'Ouest"             ,""                                   ,1        ,11/2001    ,11/2001 ,     ,"Stoffel, Éric"           ,"Thomas, Olivier"        
22940    ,                  ,"Astérix"                                           ,1         ,""             ,"Astérix le Gaulois"                                  ,"Dargaud"                   ,"La Collection Pilote"               ,1        ,07/1961    ,        ,1000 ,"Goscinny, René"          ,"Uderzo, Albert"         
144245   ,2-205-00110-8     ,"Astérix"                                           ,2         ,"f1982"        ,"La serpe d'or"                                       ,"Dargaud"                   ,""                                   ,0        ,01/1982    ,        ,     ,"Goscinny, René"          ,"Uderzo, Albert"         
22944    ,                  ,"Astérix"                                           ,3         ,""             ,"Astérix et les Goths"                                ,"Dargaud"                   ,"La Collection Pilote"               ,1        ,07/1963    ,        ,1000 ,"Goscinny, René"          ,"Uderzo, Albert"         
22946    ,                  ,"Astérix"                                           ,4         ,""             ,"Astérix Gladiateur"                                  ,"Dargaud"                   ,"La Collection Pilote"               ,1        ,07/1964    ,        ,650  ,"Goscinny, René"          ,"Uderzo, Albert"         
22948    ,                  ,"Astérix"                                           ,5         ,""             ,"Le tour de Gaule d'Astérix"                          ,"Dargaud"                   ,"La Collection Pilote"               ,1        ,01/1965    ,        ,250  ,"Goscinny, René"          ,"Uderzo, Albert"         
22950    ,                  ,"Astérix"                                           ,6         ,""             ,"Astérix et Cléopâtre"                                ,"Dargaud"                   ,"La Collection Pilote"               ,1        ,07/1965    ,        ,350  ,"Goscinny, René"          ,"Uderzo, Albert"         
22952    ,                  ,"Astérix"                                           ,7         ,""             ,"Le combat des chefs"                                 ,"Dargaud"                   ,""                                   ,1        ,01/1966    ,        ,150  ,"Goscinny, René"          ,"Uderzo, Albert"         
22953    ,                  ,"Astérix"                                           ,8         ,""             ,"Astérix chez les Bretons"                            ,"Dargaud"                   ,""                                   ,1        ,07/1966    ,        ,80   ,"Goscinny, René"          ,"Uderzo, Albert"         
22954    ,                  ,"Astérix"                                           ,9         ,""             ,"Astérix et les Normands"                             ,"Dargaud"                   ,""                                   ,1        ,10/1966    ,        ,70   ,"Goscinny, René"          ,"Uderzo, Albert"         
22955    ,                  ,"Astérix"                                           ,10        ,""             ,"Astérix Légionnaire"                                 ,"Dargaud"                   ,""                                   ,1        ,07/1967    ,        ,70   ,"Goscinny, René"          ,"Uderzo, Albert"         
22956    ,                  ,"Astérix"                                           ,11        ,""             ,"Le bouclier arverne"                                 ,"Dargaud"                   ,""                                   ,1        ,01/1968    ,        ,60   ,"Goscinny, René"          ,"Uderzo, Albert"         
32521    ,                  ,"Astérix"                                           ,13        ,""             ,"Astérix et le chaudron"                              ,"Dargaud"                   ,""                                   ,1        ,01/1969    ,        ,50   ,"Goscinny, René"          ,"Uderzo, Albert"         
22959    ,                  ,"Astérix"                                           ,14        ,""             ,"Astérix en Hispanie"                                 ,"Dargaud"                   ,""                                   ,1        ,10/1969    ,        ,50   ,"Goscinny, René"          ,"Uderzo, Albert"         
22960    ,                  ,"Astérix"                                           ,15        ,""             ,"La zizanie"                                          ,"Dargaud"                   ,""                                   ,1        ,04/1970    ,        ,40   ,"Goscinny, René"          ,"Uderzo, Albert"         
22961    ,                  ,"Astérix"                                           ,16        ,""             ,"Astérix chez les Helvètes"                           ,"Dargaud"                   ,""                                   ,1        ,10/1970    ,        ,40   ,"Goscinny, René"          ,"Uderzo, Albert"         
88       ,                  ,"Astérix"                                           ,18        ,""             ,"Les lauriers de César"                               ,"Dargaud"                   ,""                                   ,1        ,01/1972    ,        ,40   ,"Goscinny, René"          ,"Uderzo, Albert"         
89       ,                  ,"Astérix"                                           ,19        ,""             ,"Le devin"                                            ,"Dargaud"                   ,""                                   ,1        ,10/1972    ,        ,40   ,"Goscinny, René"          ,"Uderzo, Albert"         
94       ,220500896X        ,"Astérix"                                           ,22        ,""             ,"La grande traversée"                                 ,"Dargaud"                   ,""                                   ,1        ,04/1975    ,        ,25   ,"Goscinny, René"          ,"Uderzo, Albert"         
99       ,2205011502        ,"Astérix"                                           ,24        ,""             ,"Astérix chez les Belges"                             ,"Dargaud"                   ,""                                   ,1        ,01/1979    ,        ,20   ,"Goscinny, René"          ,"Uderzo, Albert"         
100      ,2864970007        ,"Astérix"                                           ,25        ,""             ,"Le Grand Fossé"                                      ,"Les Éditions Albert René"  ,""                                   ,1        ,04/1980    ,        ,9    ,"Uderzo, Albert"          ,"Uderzo, Albert"         
101      ,286497004X        ,"Astérix"                                           ,26        ,""             ,"L'odyssée d'Astérix"                                 ,"Les Éditions Albert René"  ,""                                   ,1        ,10/1981    ,        ,15   ,"Uderzo, Albert"          ,"Uderzo, Albert"         
102      ,2864970112        ,"Astérix"                                           ,27        ,""             ,"Le fils d'Astérix"                                   ,"Les Éditions Albert René"  ,""                                   ,1        ,10/1983    ,        ,9    ,"Uderzo, Albert"          ,"Uderzo, Albert"         
257911   ,9782864972716     ,"Astérix"                                           ,36        ,""             ,"Le papyrus de César"                                 ,"Les Éditions Albert René"  ,""                                   ,1        ,10/2015    ,07/2015 ,     ,"Ferri, Jean-Yves"        ,"Conrad, Didier"         
1938     ,2-87764-938-5     ,"Atalante - La Légende"                             ,1         ,""             ,"Le Pacte"                                            ,"Soleil Productions"        ,""                                   ,1        ,04/2000    ,        ,20   ,"Crisse"                  ,"Crisse"                 
115029   ,978-2-505-00971-9 ,"Barracuda (Jérémy)"                                ,1         ,""             ,"Esclaves"                                            ,"Dargaud"                   ,""                                   ,1        ,10/2010    ,        ,     ,"Dufaux, Jean"            ,"Jérémy"                 
136857   ,978-2-505-01146-0 ,"Barracuda (Jérémy)"                                ,2         ,""             ,"Cicatrices"                                          ,"Dargaud"                   ,""                                   ,1        ,10/2011    ,        ,     ,"Dufaux, Jean"            ,"Jérémy"                 
171122   ,978-2-505-01502-4 ,"Barracuda (Jérémy)"                                ,3         ,""             ,"Duel"                                                ,"Dargaud"                   ,""                                   ,0        ,11/2012    ,        ,     ,"Dufaux, Jean"            ,"Jérémy"                 
198568   ,978-2-505-01795-0 ,"Barracuda (Jérémy)"                                ,4         ,""             ,"Révoltes"                                            ,"Dargaud"                   ,""                                   ,0        ,11/2013    ,        ,     ,"Dufaux, Jean"            ,"Jérémy"                 
242157   ,9782505019787     ,"Barracuda (Jérémy)"                                ,5         ,""             ,"Cannibales"                                          ,"Dargaud"                   ,""                                   ,1        ,06/2015    ,        ,     ,"Dufaux, Jean"            ,"Jérémy"                 
287370   ,9782505064428     ,"Barracuda (Jérémy)"                                ,6         ,""             ,"Délivrance"                                          ,"Dargaud"                   ,""                                   ,1        ,10/2016    ,        ,     ,"Dufaux, Jean"            ,"Jérémy"                 
20016    ,2-84055-994-3     ,"Belles histoires d'Onc' Renaud (Les)"              ,          ,"INT"          ,"Renaud BD d'enfer"                                   ,"Delcourt"                  ,""                                   ,1        ,11/2002    ,        ,     ,"Renaud (3)"              ,"<Collectif>"            
8423     ,2-8036-1041-8     ,"Benoît Brisefer"                                   ,8         ,""             ,"Hold-Up sur pellicule"                               ,"Le Lombard"                ,""                                   ,0        ,11/1993    ,        ,     ,"Culliford, Thierry"      ,"Garray, Pascal"         
64597    ,2724225813        ,"Bidochon (Les)"                                    ,2         ,"FL"           ,"Les Bidochon en vacances"                            ,"France Loisirs"            ,""                                   ,0        ,08/1985    ,        ,     ,"Binet"                   ,"Binet"                  
7662     ,2870970161        ,"Blake et Mortimer (Les Aventures de)"              ,11        ,""             ,"Les 3 Formules du Professeur Satô - Tome 1"          ,"Blake et Mortimer"         ,""                                   ,0        ,01/1990    ,03/1990 ,     ,"Jacobs, Edgar Pierre"    ,"Jacobs, Edgar Pierre"   
7663     ,287097017X        ,"Blake et Mortimer (Les Aventures de)"              ,12        ,""             ,"Les 3 Formules du Professeur Satô - Tome 2"          ,"Blake et Mortimer"         ,""                                   ,1        ,01/1990    ,03/1990 ,17   ,"Jacobs, Edgar Pierre"    ,"De Moor, Bob"           
3096     ,2-87764-884-2     ,"Bouffe-Doublon"                                    ,1         ,""             ,"Le trésor de la Madre de Dios"                       ,"Soleil Productions"        ,""                                   ,1        ,01/1999    ,        ,     ,"Rocca, Simon"            ,"Cassini, Jean-Claude"   
3097     ,2-87764-952-0     ,"Bouffe-Doublon"                                    ,2         ,""             ,"À l'ouest d'Eden"                                    ,"Soleil Productions"        ,""                                   ,1        ,04/2000    ,        ,     ,"Rocca, Simon"            ,"Cassini, Jean-Claude"   
5513     ,2-84565-096-5     ,"Bouffe-Doublon"                                    ,3         ,""             ,"A malin, malin et demi"                              ,"Soleil Productions"        ,""                                   ,1        ,01/2001    ,        ,     ,"Rocca, Simon"            ,"Cassini, Jean-Claude"   
269326   ,9782370730848     ,"Cahiers d'Esther (Les)"                            ,1         ,""             ,"Histoires de mes 10 ans"                             ,"Allary Éditions"           ,""                                   ,1        ,01/2016    ,01/2016 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
298333   ,9782370731142     ,"Cahiers d'Esther (Les)"                            ,2         ,""             ,"Histoires de mes 11 ans"                             ,"Allary Éditions"           ,"Images"                             ,1        ,02/2017    ,01/2017 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
312918   ,9782370731531     ,"Cahiers d'Esther (Les)"                            ,3         ,""             ,"Histoires de mes 12 ans"                             ,"Allary Éditions"           ,"Images"                             ,1        ,11/2017    ,09/2017 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
366374   ,9782370732750     ,"Cahiers d'Esther (Les)"                            ,4         ,""             ,"Histoires de mes 13 ans"                             ,"Allary Éditions"           ,"Images"                             ,1        ,05/2019    ,04/2019 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
396428   ,9782370733214     ,"Cahiers d'Esther (Les)"                            ,5         ,""             ,"Histoires de mes 14 ans"                             ,"Allary Éditions"           ,"Images"                             ,1        ,06/2020    ,05/2020 ,     ,"Sattouf, Riad"           ,"Sattouf, Riad"          
5650     ,2800131020        ,"Cédric"                                            ,15        ,""             ,"Avis de tempête"                                     ,"Dupuis"                    ,""                                   ,1        ,07/2001    ,        ,     ,"Cauvin, Raoul"           ,"Laudec"                 
30596    ,2800133538        ,"Cédric"                                            ,18        ,""             ,"Enfin seuls !"                                       ,"Dupuis"                    ,""                                   ,1        ,11/2003    ,        ,     ,"Cauvin, Raoul"           ,"Laudec"                 
4499     ,2-87764-676-9     ,"Chant d'Excalibur (Le)"                            ,1         ,""             ,"Le Réveil de Merlin"                                 ,"Soleil Productions"        ,""                                   ,1        ,07/1998    ,        ,     ,"Arleston, Scotch"        ,"Hübsch, Éric"           
4500     ,2-87764-894-X     ,"Chant d'Excalibur (Le)"                            ,2         ,""             ,"Le Sidhe aux Mille Charmes"                          ,"Soleil Productions"        ,""                                   ,1        ,07/1999    ,        ,     ,"Arleston, Scotch"        ,"Hübsch, Éric"           
4501     ,2-84565-004-3     ,"Chant d'Excalibur (Le)"                            ,3         ,""             ,"La Griffe de Rome"                                   ,"Soleil Productions"        ,""                                   ,1        ,05/2001    ,        ,     ,"Arleston, Scotch"        ,"Hübsch, Éric"           
26383    ,2803605465        ,"Chlorophylle (Série verte)"                        ,10        ,""             ,"Les bouseux"                                         ,"Lombard"                   ,""                                   ,1        ,02/1986    ,        ,     ,"De Groot, Bob"           ,"Dupa"                   
5049     ,2-87764-211-9     ,"Chroniques Barbares"                               ,1         ,""             ,"La fureur des Vikings"                               ,"Soleil Productions"        ,"Soleil Noir"                        ,1        ,06/1994    ,        ,15   ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
16871    ,2-87764-269-0     ,"Chroniques Barbares"                               ,2         ,""             ,"La loi des Vikings"                                  ,"Soleil Productions"        ,"Soleil Noir"                        ,1        ,02/1995    ,        ,15   ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
16872    ,2-87764-402-2     ,"Chroniques Barbares"                               ,3         ,""             ,"L'odyssée des Vikings"                               ,"Soleil Productions"        ,"Soleil noir"                        ,0        ,11/1995    ,        ,15   ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
5052     ,2-87764-658-0     ,"Chroniques Barbares"                               ,4         ,""             ,"Le retour des Vikings"                               ,"Soleil Productions"        ,""                                   ,1        ,01/1998    ,        ,12   ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
5053     ,2-87764-896-6     ,"Chroniques Barbares"                               ,5         ,""             ,"Au nom des Vikings"                                  ,"Soleil Productions"        ,""                                   ,1        ,09/1999    ,        ,12   ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
5054     ,2-84565-006-X     ,"Chroniques Barbares"                               ,6         ,""             ,"Le dernier Viking"                                   ,"Soleil Productions"        ,""                                   ,1        ,08/2000    ,        ,     ,"Mitton, Jean-Yves"       ,"Mitton, Jean-Yves"      
57156    ,NULL              ,"Clifton"                                           ,2         ,"b1990"        ,"Le voleur qui rit"                                   ,"Lombard"                   ,""                                   ,0        ,01/1990    ,00/0000 ,     ,"Greg"                    ,"Turk"                   
2016     ,2-84055-462-3     ,"Comptine d'Halloween"                              ,1         ,""             ,"Réminiscences"                                       ,"Delcourt"                  ,"Sang Froid"                         ,1        ,06/2000    ,05/2000 ,     ,"Callède, Joël"           ,"Denys"                  
2200     ,2-84055-644-8     ,"Comptine d'Halloween"                              ,2         ,""             ,"Farces macabres"                                     ,"Delcourt"                  ,"Sang Froid"                         ,1        ,05/2001    ,04/2001 ,     ,"Callède, Joël"           ,"Denys"                  
12587    ,2-84055-808-4     ,"Comptine d'Halloween"                              ,3         ,""             ,"Révélations"                                         ,"Delcourt"                  ,"Sang Froid"                         ,1        ,04/2002    ,02/2002 ,     ,"Callède, Joël"           ,"Denys"                  
