airportid,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst,tz,type,source
207,Blida Airport,Blida,Algeria,,DAAB,36.503601074218750,2.814169883728027,535,1,N,Africa/Algiers,airport,OurAirports
208,Bou Saada Airport,Bou Saada,Algeria,,DAAD,35.332500457763670,4.206389904022217,1506,1,N,Africa/Algiers,airport,OurAirports
213,Reggane Airport,Reggan,Algeria,,DAAN,26.710100173950195,0.285647004842758,955,1,N,Africa/Algiers,airport,OurAirports
215,Ain Oussera Airport,Ain Oussera,Algeria,,DAAQ,35.525398254394530,2.878710031509399,2132,1,N,Africa/Algiers,airport,OurAirports
218,Mecheria Airport,Mecheria,Algeria,,DAAY,33.535900116000000,-0.242353007197000,3855,1,N,Africa/Algiers,airport,OurAirports
219,Relizane Airport,Relizane,Algeria,,DAAZ,35.752201080322266,0.626272022724152,282,1,N,Africa/Algiers,airport,OurAirports
226,Bou Sfer Airport,Bou Sfer,Algeria,,DAOE,35.735401153564450,-0.805388987064362,187,1,N,Africa/Algiers,airport,OurAirports
423,Hanko Airport,Hanko,Finland,,EFHN,59.848899841308594,23.083599090576172,20,2,E,Europe/Helsinki,airport,OurAirports
425,Kiikala Airport,Kikala,Finland,,EFIK,60.462501525900000,23.652500152600000,381,2,E,Europe/Helsinki,airport,OurAirports
426,Immola Airport,Immola,Finland,,EFIM,61.249198913574220,28.903699874877930,338,2,E,Europe/Helsinki,airport,OurAirports
427,Kitee Airport,Kitee,Finland,,EFIT,62.166100000000000,30.073601000000000,364,2,E,Europe/Helsinki,airport,OurAirports
434,Kauhajoki Airport,Kauhajoki,Finland,,EFKJ,62.462501525900000,22.393100738500000,407,2,E,Europe/Helsinki,airport,OurAirports
436,Kemijarvi Airport,Kemijarvi,Finland,,EFKM,66.712898000000000,27.156799000000000,692,2,E,Europe/Helsinki,airport,OurAirports
440,Lahti Vesivehmaa Airport,Vesivehmaa,Finland,,EFLA,61.144199000000000,25.693501000000000,502,2,E,Europe/Helsinki,airport,OurAirports
443,Menkijarvi Airport,Menkijarvi,Finland,,EFME,62.946701049804690,23.518899917602540,331,2,E,Europe/Helsinki,airport,OurAirports
445,Nummela Airport,Nummela,Finland,,EFNU,60.333900451699996,24.296400070200000,367,2,E,Europe/Helsinki,airport,OurAirports
447,Piikajarvi Airport,Piikajarvi,Finland,,EFPI,61.245601654052734,22.193399429321290,148,2,E,Europe/Helsinki,airport,OurAirports
449,Pudasjärvi Airport,Pudasjarvi,Finland,,EFPU,65.402198791500000,26.946899414100002,397,2,E,Europe/Helsinki,airport,OurAirports
450,Pyhäsalmi Airport,Pyhasalmi,Finland,,EFPY,63.731899261500000,25.926300048799998,528,2,E,Europe/Helsinki,airport,OurAirports
451,Raahe Pattijoki Airport,Pattijoki,Finland,,EFRH,64.688102722200000,24.695800781200000,118,2,E,Europe/Helsinki,airport,OurAirports
581,Budel Airport,Weert,Netherlands,,EHBD,51.255298614500000,5.601389884950000,114,1,E,Europe/Amsterdam,airport,OurAirports
583,Deelen Air Base,Deelen,Netherlands,,EHDL,52.060600000000000,5.873060000000000,158,1,E,Europe/Amsterdam,airport,OurAirports
