edition_id,editeur_id,isbn13,publication_date,num_pages,num_catalogue,langue_code,titre,infos
1,1010,8987059752,1996-09-01,276,,en-US,The World's First Love: Mary  Mother of God,
2,1967,20049130001,2004-10-04,352,,eng,The Illuminati,
3,1967,23755004321,2003-03-11,128,,eng,The Servant Leader,
4,1978,34406054602,1999-09-01,168,,eng,What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905,
5,416,49086007763,1983-12-29,80,,eng,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,
6,96,73999140774,2000-04-01,298,,eng,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,
7,95,73999254907,2000-05-01,504,,en-US,William Goldman: Four Screenplays,
8,1136,73999768442,2004-07-01,448,,eng,The Season: A Candid Look at Broadway,
9,835,73999960822,1986-12-01,303,,eng,The Beatles Complete - Updated Edition,
10,1591,76092025986,2004-09-01,464,,eng,Working Effectively with Legacy Code,
11,1891,76783609419,1998-10-06,2088,,eng,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables #1-8),
12,567,635517047547,1999-10-25,48,,eng,Plants Bite Back! (DK Readers),
13,435,645241001173,2000-05-31,438,,eng,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,
14,1739,694055000612,2001-03-01,64,,eng,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,
15,35,702727014581,2004-10-12,172,,eng,Prétear  Vol. 3 (Prétear),
16,354,710430023622,2001-04-01,145,,eng,The Mystery in the Rocky Mountains,
17,354,710430023639,2001-04-01,142,,eng,The Mystery on the Mighty Mississippi,
18,1749,752063326664,2004-07-08,576,,eng,Programming in C,
19,1749,752063326725,2004-10-01,1008,,en-US,PHP and MySQL Web Development (Developer's Library),
20,313,752073003227,2003-11-25,175,,eng,Manhunt Official Strategy Guide,
21,1859,760789719271,2003-04-01,272,,eng,Living La Dolce Vita: Bring the Passion  Laughter  and Serenity of Italy Into Your Daily Life,
22,490,761568107371,2005-10-26,256,,eng,Aliens: Original Sin,
23,1461,785342303476,2005-02-17,296,,en-US,The Zen of CSS Design: Visual Enlightenment for the Web,
24,34,785342314526,1997-09-27,720,,en-GB,Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,
25,479,798499100096,2005-02-23,175,,eng,Healing Therapies for Overcoming Insomnia,
26,1735,9780001000391,2010-01-01,127,,eng,The Prophet,
27,425,9780001713192,1985-06-17,64,,eng,Sam And The Firefly (Beginner Books),
28,882,9780002310192,2001-07-02,251,,eng,After the Funeral,
