oeuvre_id,titre,langue_code,genre_id,infos
1,The World's First Love: Mary  Mother of God,en-US,,
2,The Illuminati,eng,,
3,The Servant Leader,eng,,
4,What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905,eng,,
5,Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,eng,,
6,Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,eng,,
7,William Goldman: Four Screenplays,en-US,,
8,The Season: A Candid Look at Broadway,eng,,
9,The Beatles Complete - Updated Edition,eng,,
10,Working Effectively with Legacy Code,eng,,
11,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables #1-8),eng,,
12,Plants Bite Back! (DK Readers),eng,,
13,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,eng,,
14,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,eng,,
15,Prétear  Vol. 3 (Prétear),eng,,"{""tome"":""3""}"
16,The Mystery in the Rocky Mountains,eng,,
17,The Mystery on the Mighty Mississippi,eng,,
18,Programming in C,eng,,
19,PHP and MySQL Web Development (Developer's Library),en-US,,
20,Manhunt Official Strategy Guide,eng,,
21,Living La Dolce Vita: Bring the Passion  Laughter  and Serenity of Italy Into Your Daily Life,eng,,
22,Aliens: Original Sin,eng,,
23,The Zen of CSS Design: Visual Enlightenment for the Web,en-US,,
24,Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,en-GB,,
25,Healing Therapies for Overcoming Insomnia,eng,,
26,The Prophet,eng,,
27,Sam And The Firefly (Beginner Books),eng,,
28,After the Funeral,eng,,
29,Sleeping Murder,eng,,"{""serie"": ""Miss Marple #13""}"
30,The One Tree (The Second Chronicles of Thomas Covenant #2),en-GB,,
31,The Great And Secret Show,eng,,"{""serie"": ""Book of the Art #1""}"
32,Rage of Angels,eng,,
33,The Four Loves,en-US,,
34,Divine Conspiracy: Rediscovering Our Hidden Life in God,en-US,,
35,Agatha Christie: An Autobiography,eng,,
36,Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,eng,,
37,Executive Orders (Jack Ryan),eng,,"{""tome"":""8""}"
38,Warhost of Vastmark (Wars of Light & Shadow #3; Arc 2 - The Ships of Merior),eng,,"{""tome"":""2""}"
39,Sacrament,eng,,
40,Witness for the Prosecution and Selected Plays,eng,,
41,The Little House,eng,,
42,Mystical Paths,eng,,"{""serie"": ""Starbridge #5""}"
43,Glittering Images,eng,,"{""serie"": ""Starbridge #1""}"
44,Scandalous Risks,eng,,
45,Glamorous Powers,en-GB,,"{""serie"": ""Starbridge #2""}"
46,The Mad Ship (Liveship Traders),eng,,"{""tome"":""2""}"
47,The Reverse of the Medal (Aubrey & Maturin),eng,,"{""tome"":""11""}"
48,Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel),eng,,
49,Zelda's Cut,eng,,
50,Spares,eng,,
51,The Wise Woman,eng,,
52,Girls' Night In,en-GB,,
53,She Came to Stay,en-GB,,
54,The Bonesetter's Daughter,eng,,
55,Ocean Star Express,eng,,
56,The Collection: The Outsiders / Rumble Fish / That Was Then  This Is Now,eng,,
