"edition_id","editeur_id","isbn13","publication_date","num_pages","num_catalogue","langue_code","titre"
28,882,"9780002310192",2001-07-02,251,,eng,
29,569,"9780002317856",2003-08-04,242,,eng,
30,723,"9780006163831",1996-11-18,479,,en-GB,
31,724,"9780006176954",1990-04-26,698,,eng,
32,889,"9780006178736",1999-08-03,512,,eng,
33,891,"9780006280897",2002-06-05,170,,en-US,
34,730,"9780006281146",1998-10-05,384,,en-US,
35,882,"9780006353287",2001-01-02,560,,eng,
36,889,"9780006380832",1998-01-01,608,,eng,
37,882,"9780006479758",1998-01-01,1273,,eng,
38,2140,"9780006482079",2009-07-01,522,,eng,
39,880,"9780006482642",1997-05-01,594,,eng,
40,891,"9780006490456",1995-10-07,352,,eng,
41,889,"9780006496434",1998-02-01,368,,eng,
42,889,"9780006496878",1996-07-01,576,,eng,
43,723,"9780006496892",1996-07-22,512,,eng,
44,864,"9780006496908",2009-07-22,480,,eng,
45,882,"9780006496922",1996-07-22,512,,en-GB,
46,880,"9780006498865",2008-02-04,906,,eng,
47,882,"9780006499268",2010-04-01,261,,eng,
48,869,"9780006499619",1997-07-10,688,,eng,
49,889,"9780006511779",2001-02-01,432,,eng,
50,882,"9780006512677",1998-11-02,317,,eng,
51,889,"9780006514640",2002-02-01,640,,eng,
52,882,"9780006514855",2000-07-03,586,,en-GB,
53,712,"9780006540809",1995-10-09,416,,en-GB,
54,873,"9780006550433",2004-10-01,352,,eng,
55,892,"9780006646006",2002-07-01,32,,eng,
56,889,"9780006751151",1995-06-01,448,,eng,
57,889,"9780006754893",2000-01-01,239,,eng,
58,725,"9780006861355",1993-09-13,220,,eng,
59,882,"9780006906018",2000-01-01,159,,eng,
60,910,"9780007102228",2007-11-05,614,,eng,
61,889,"9780007104840",2000-06-01,109,,eng,
62,891,"9780007105045",2001-02-05,150,,eng,
63,891,"9780007109661",2001-07-02,375,,eng,
64,889,"9780007111503",2001-01-01,347,,eng,
65,882,"9780007116263",2003-11-06,72,,eng,
66,873,"9780007117536",2002-07-01,279,,eng,
67,864,"9780007120680",2001-09-03,336,,eng,
68,889,"9780007120697",2001-09-01,335,,eng,
69,889,"9780007121007",2002-07-01,328,,eng,
70,889,"9780007121076",2008-07-01,288,,eng,
71,889,"9780007126903",2010-02-01,560,,eng,
72,2140,"9780007127771",2002-06-17,552,,eng,
73,1375,"9780007136582",2002-09-16,1200,,eng,
74,882,"9780007137275",2003-04-07,411,,eng,
75,882,"9780007137435",2002-08-05,484,,eng,
76,427,"9780007144082",2002-10-07,1600,,eng,
77,889,"9780007144358",2003-08-04,1270,,eng,
78,2140,"9780007145591",2004-10-01,685,,en-GB,
79,889,"9780007149117",2002-09-02,116,,eng,
80,889,"9780007149124",2002-09-02,178,,eng,
81,882,"9780007149827",2007-05-01,414,,eng,
82,712,"9780007152537",2003-11-03,315,,en-GB,
83,873,"9780007153589",2007-07-02,306,,eng,
84,882,"9780007157150",2005-12-05,224,,eng,
85,873,"9780007158058",2004-10-05,384,,eng,
86,893,"9780007158515",2003-05-06,48,,eng,
87,893,"9780007158522",2003-05-06,48,,eng,
88,712,"9780007162994",2003-04-07,208,,eng,
89,889,"9780007165162",2005-07-01,401,,eng,
90,2086,"9780007169924",2003-08-04,64,,eng,
91,893,"9780007169979",2003-08-04,62,,eng,
92,873,"9780007170401",2004-07-01,398,,eng,
93,891,"9780007171996",2003-11-06,554,,eng,
94,893,"9780007173136",2004-01-05,64,,eng,
95,884,"9780007175192",2004-10-02,64,,eng,
96,1170,"9780007175222",2005-11-01,36,,eng,
97,873,"9780007176151",2004-04-05,666,,eng,
98,733,"9780007177844",2006-05-01,512,,eng,
99,733,"9780007178483",2004-01-02,343,,eng,
100,871,"9780007179732",2015-12-31,241,,eng,
101,873,"9780007179817",2008-01-01,371,,eng,
102,882,"9780007189953",2004-11-08,454,,eng,
103,889,"9780007190683",2005-06-01,727,,en-US,
104,873,"9780007195305",2004-10-01,388,,eng,
105,873,"9780007203949",2005-05-03,752,,eng,
