adresse, ville,region,codepostal,pays
Obere Str. 57                                  ,Berlin          ,              ,12209     ,de 
Avda. de la Constitución 2222                  ,México D.F.     ,              ,05021     ,mx 
Mataderos  2312                                ,México D.F.     ,              ,05023     ,mx 
120 Hanover Sq.                                ,London          ,              ,WA1 1DP   ,gb 
Berguvsvägen  8                                ,Luleå           ,              ,S-958 22  ,sw 
Forsterstr. 57                                 ,Mannheim        ,              ,68306     ,de 
"24, place Kléber"                             ,Strasbourg      ,              ,67000     ,fr 
"C/ Araquil, 67"                               ,Madrid          ,              ,28023     ,es 
"12, rue des Bouchers"                         ,Marseille       ,              ,13008     ,fr 
23 Tsawassen Blvd.                             ,Tsawassen       ,BC            ,T2F 8M4   ,ca 
Fauntleroy Circus                              ,London          ,              ,EC2 5NT   ,gb 
Cerrito 333                                    ,Buenos Aires    ,              ,1010      ,ar 
Sierras de Granada 9993                        ,México D.F.     ,              ,05022     ,mx 
Hauptstr. 29                                   ,Bern            ,              ,3012      ,ch 
"Av. dos Lusíadas, 23"                         ,Sao Paulo       ,SP            ,05432-043 ,br 
Berkeley Gardens 12  Brewery                   ,London          ,              ,WX1 6LT   ,gb 
Walserweg 21                                   ,Aachen          ,              ,52066     ,de 
"67, rue des Cinquante Otages"                 ,Nantes          ,              ,44000     ,fr 
35 King George                                 ,London          ,              ,WX3 6FW   ,gb 
Kirchgasse 6                                   ,Graz            ,              ,8010      ,at 
"Rua Orós, 92"                                 ,Sao Paulo       ,SP            ,05442-030 ,br 
"C/ Moralzarzal, 86"                           ,Madrid          ,              ,28034     ,es 
"184, chaussée de Tournai"                     ,Lille           ,              ,59000     ,fr 
Åkergatan 24                                   ,Bräcke          ,              ,S-844 67  ,sw 
Berliner Platz 43                              ,München         ,              ,80805     ,de 
"54, rue Royale"                               ,Nantes          ,              ,44000     ,fr 
Via Monte Bianco 34                            ,Torino          ,              ,10100     ,it 
Jardim das rosas n. 32                         ,Lisboa          ,              ,1675      ,pt 
"Rambla de Cataluña, 23"                       ,Barcelona       ,              ,08022     ,es 
"C/ Romero ,33"                                ,Sevilla         ,              ,41101     ,es 
"Av. Brasil, 442"                              ,Campinas        ,SP            ,04876-786 ,br 
