film_id,titre,titre_original,annee,sortie,duree,franchise_id,pays
5,Groom Service,Four Rooms,1995,1995-12-09,98,,{us}
11,La Guerre des étoiles,Star Wars,1977,1977-05-25,121,10,{us}
13,Forrest Gump,,1994,1994-06-23,142,,{us}
18,Le Cinquième Élément,The Fifth Element,1997,1997-05-02,126,,"{fr,gb,us}"
28,Apocalypse Now,,1979,1979-08-15,153,,{us}
33,Impitoyable,Unforgiven,1992,1992-08-07,130,,{us}
63,L'Armée des 12 singes,Twelve Monkeys,1995,1995-12-29,130,,{us}
75,Mars Attacks!,Mars Attacks!,1996,1996-12-13,106,,{us}
78,Blade Runner,,1982,1982-09-15,117,422837,"{us,hk,gb}"
79,Hero,英雄,2002,2002-07-22,98,,"{cn,hk,au}"
85,Les aventuriers de l'arche perdue,Raiders of the Lost Ark,1981,1981-09-01,115,84,{us}
87,Indiana Jones et le temple maudit,Indiana Jones and the Temple of Doom,1984,1984-09-12,118,84,{us}
88,Danse lascive,Dirty Dancing,1987,1987-12-23,100,86058,{us}
89,Indiana Jones et la dernière croisade,Indiana Jones and the Last Crusade,1989,1989-05-24,127,84,{us}
90,Le flic de Beverly Hills,Beverly Hills Cop,1985,1985-03-27,105,85861,{us}
96,Le flic de Beverly Hills 2,Beverly Hills Cop II,1987,1987-08-26,103,85861,{us}
97,TRON,Tron,1982,1982-07-09,96,63043,{us}
101,Léon,Léon: The Professional,1994,1994-09-14,110,,"{us,fr}"
103,Taxi Driver,,1976,1976-02-09,115,,{us}
104,"Cours, Lola, cours",Lola rennt,1998,1998-03-03,81,,{de}
105,Retour vers le futur,Back to the Future,1985,1985-10-30,116,264,{us}
106,Le Prédateur,Predator,1987,1987-08-19,107,399,"{mx,us}"
111,Scarface,,1983,1983-12-09,165,,{us}
114,Pretty Woman,,1990,1990-03-23,119,,{us}
115,The Big Lebowski,,1998,1998-04-22,117,,"{gb,us}"
117,Les Incorruptibles,The Untouchables,1987,1987-06-03,119,,{us}
120,Le Seigneur des anneaux : La Communauté de l'anneau,The Lord of the Rings: The Fellowship of the Ring,2001,2001-12-18,179,119,"{nz,us}"
121,Le Seigneur des anneaux : Les Deux Tours,The Lord of the Rings: The Two Towers,2002,2002-12-18,180,119,"{nz,us}"
122,Le Seigneur des anneaux : Le Retour du roi,The Lord of the Rings: The Return of the King,2003,2003-12-01,201,119,"{nz,us}"
123,Le Seigneur des anneaux,The Lord of the Rings,1978,1978-11-15,132,,"{es,gb,us}"
137,Un jour sans fin,Groundhog Day,1993,1993-07-28,101,,{us}
146,Tigre et Dragon,卧虎藏龍,2000,2000-07-06,120,290973,"{cn,hk,tw,us}"
150,48 heures,48 Hrs.,1983,1983-04-27,96,93295,{us}
162,Edward aux mains d'argent,Edward Scissorhands,1990,1990-12-07,105,,{us}
165,Retour vers le futur II,Back to the Future Part II,1989,1989-11-22,108,264,{us}
166,La boum,,1980,1980-12-17,110,41649,{fr}
169,Predator 2,,1990,1990-11-21,108,399,{us}
170,28 jours plus tard,28 Days Later,2002,2002-10-31,112,1565,{gb}
171,La Boum 2,,1982,1982-12-08,108,41649,{fr}
174,Star Trek VI : Terre inconnue,Star Trek VI: The Undiscovered Country,1991,1991-12-06,110,151,{us}
175,Le Grand Bleu,Le Grand Bleu,1988,1988-05-10,168,,{fr}
180,Minority Report,Minority Report,2002,2002-06-20,145,,{us}
192,Le Nom de la rose,The Name of the Rose,1986,1986-09-24,131,,"{fr,de,it}"
193,Star Trek : Générations,Star Trek: Generations,1994,1994-11-18,115,115570,{us}
196,Retour vers le futur III,Back to the Future Part III,1990,1990-05-25,118,264,{us}
197,Braveheart,,1995,1995-05-24,178,,{us}
207,Le Cercle des poètes disparus,Dead Poets Society,1989,1989-06-02,128,,{us}
218,Terminator,The Terminator,1985,1985-04-24,108,528,"{gb,us}"
227,Outsiders,The Outsiders,1983,1983-03-25,91,,{us}
232,Rusty James,Rumble Fish,1983,1983-10-09,94,,{us}
233,Les Seigneurs,The Wanderers,1979,1979-07-13,117,,{us}
235,Stand by Me,Stand by Me,1986,1986-08-08,85,,{us}
238,Le Parrain,The Godfather,1972,1972-03-14,175,230,{us}
240,"Le Parrain, 2e partie",The Godfather Part II,1974,1974-12-20,202,230,{us}
242,"Le Parrain, 3e partie",The Godfather Part III,1990,1990-12-25,160,230,{us}
249,La Guerre des Rose,The War of the Roses,1989,1989-12-08,117,,{us}
251,Mon Fantôme d'amour,Ghost,1990,1990-11-07,127,,{us}
253,Vivre et laisser mourir,Live and Let Die,1973,1973-06-27,122,645,"{gb,us}"
268,Batman,,1989,1989-06-21,126,120794,{us}
274,Le silence des agneaux,The Silence of the Lambs,1991,1991-04-10,118,9743,{us}
277,Underworld,Underworld,2003,2003-09-19,115,2326,"{de,hu,gb,us}"
278,Les Évadés,The Shawshank Redemption,1994,1994-09-23,140,,{us}
279,Amadeus,,1984,1984-10-31,180,,"{fr,us}"
280,Terminator 2 : Le Jugement dernier,Terminator 2: Judgment Day,1991,1991-07-03,127,528,"{fr,us}"
281,Strange Days,,1995,1995-10-13,145,,{us}
287,Duo à trois,Bull Durham,1988,1988-06-15,108,,{us}
296,Terminator 3 : Le Soulèvement des machines,Terminator 3: Rise of the Machines,2003,2003-07-02,109,528,"{de,gb,us}"
306,Le Flic de Beverly Hills 3,Beverly Hills Cop III,1994,1994-05-24,105,85861,{us}
311,Il était une fois en Amérique,Once Upon a Time in America,1984,1984-05-23,220,,"{us,it}"
319,True Romance,,1993,1993-09-09,120,,"{fr,us}"
329,Jurassic Park,,1993,1993-06-11,126,328,{us}
335,Il était une fois dans l'Ouest,C'era una volta il West,1968,1968-12-21,166,,"{it,us}"
348,"Alien, le huitième passager",Alien,1979,1979-09-12,117,8091,"{us,gb}"
350,Le diable s'habille en Prada,The Devil Wears Prada,2006,2006-06-29,110,,{us}
364,Batman : Le Défi,Batman Returns,1992,1992-06-19,126,120794,{us}
377,Les Griffes de la nuit,A Nightmare on Elm Street,1985,1985-03-06,90,8581,"{us,gb}"
378,Arizona Junior,Raising Arizona,1987,1987-03-01,94,,{us}
379,Miller's Crossing,,1990,1990-09-21,122,,{us}
380,Rain Man,,1988,1988-12-12,133,,{us}
387,Le Bateau,Das Boot,,,149,,{de}
391,Pour une poignée de dollars,,1966,1966-03-15,95,,"{de,es,it}"
402,Basic Instinct,,1992,1992-05-08,130,86336,"{us,fr}"
403,Miss Daisy et son chauffeur,Driving Miss Daisy,1989,1989-12-13,99,,{us}
414,Batman Forever,,1995,1995-06-16,121,120794,{us}
424,La Liste de Schindler,Schindler's List,1993,1993-12-15,195,,{us}
429,"Le Bon, la Brute et le Truand",,1968,1968-08-03,161,,"{us,it,es,de}"
451,Leaving Las Vegas,,1995,1995-10-27,111,,"{fr,gb,us}"
462,"Erin Brockovich, seule contre tous",Erin Brockovich,2000,2000-03-17,131,,{us}
