f_id,genre_id
79,36
79,18
79,12
79,28
104,28
104,18
104,53
497,80
497,18
497,14
568,36
568,18
590,18
591,9648
591,53
664,28
664,12
664,18
752,878
752,53
752,28
773,35
773,18
869,12
869,53
869,878
869,28
871,18
871,12
871,878
871,28
2666,9648
2666,878
2898,10749
2898,35
2898,18
6037,35
6037,80
6037,9648
6037,53
6081,9648
6081,35
6081,80
6538,36
6538,18
6538,35
6917,14
6917,27
6964,10749
6964,18
6964,35
7459,12
7459,10751
7459,28
7459,35
8358,12
8358,18
8690,27
8690,12
9048,14
9048,35
9048,28
9050,35
9050,14
9050,28
9446,35
9446,10751
9489,10749
9489,35
9591,10749
9591,35
9591,18
9591,10402
9699,9648
9699,80
9699,35
9741,18
9741,53
9741,9648
9952,10752
9952,12
9952,18
10017,28
10017,878
10163,878
10163,27
10219,10749
10219,18
10331,27
10331,878
10331,53
10393,35
10410,36
10410,80
10618,35
10618,28
10619,28
10620,37
10620,28
10640,12
10640,878
10640,53
10640,28
10708,10751
10708,35
10786,10749
10786,12
10823,27
10823,53
11000,35
11205,35
11205,10749
11205,28
11205,80
11499,36
11499,18
11573,80
11573,35
12159,10749
12159,14
12159,18
14207,14
14207,28
14207,12
14208,12
14208,28
14208,14
14728,12
14728,35
14728,14
19174,35
19174,28
19174,80
19185,27
21512,878
21512,28
21512,12
21733,35
21733,28
21733,10749
21949,80
21949,28
21949,53
22832,12
22832,28
22832,53
24070,10749
24070,18
24070,35
25748,27
27578,28
27578,53
27578,12
27905,878
27905,27
28043,27
30421,14
30421,28
31264,12
31264,14
31264,28
32100,28
32100,35
36576,35
36576,9648
36576,80
38268,12
38268,28
38268,878
39043,18
39043,27
39222,27
39263,27
39263,9648
39973,12
39973,27
40075,14
40075,12
40075,28
40213,53
40213,28
40729,27
40729,14
41972,18
41972,878
41972,27
42287,28
46443,37
46443,28
52316,12
52316,28
52316,36
54160,28
54160,878
54160,12
58734,35
58734,28
58734,12
61791,18
61791,53
61791,28
61791,878
64686,28
64686,14
64686,18
67221,28
67221,878
67342,28
67342,27
67342,35
67343,27
67343,28
67343,35
67344,28
67344,35
67344,27
67345,35
67345,27
67346,14
67346,35
67346,80
70530,14
70530,28
70530,12
70530,9648
76163,28
76163,12
76163,53
83542,878
83542,18
106517,27
106517,35
119450,53
119450,18
119450,28
119450,878
132169,35
132169,27
138103,12
138103,53
138103,28
170592,27
263341,12
263341,28
263341,18
281338,10752
281338,878
281338,18
299054,12
299054,53
299054,28
302750,28
653346,28
653346,12
653346,878
