f_id,slogan
11,Il y a bien longtemps dans une galaxie très lointaine…
13,Le monde ne sera plus jamais le même quand vous l’aurez vu avec les yeux de Forrest Gump.
18,Il n'y a pas d'avenir sans cela.
28,La fin est proche…
33,Certaines légendes ne seront jamais oubliées. Certains torts ne peuvent jamais être pardonnés.
63,L’avenir appartient à l’histoire.
75,Sympa ta planète… on la prend !
78,L’homme en a fait son égal… maintenant c’est son problème.
85,Indiana Jones - le nouveau héros des créateurs des DENTS DE LA MER et de la GUERRE DES ETOILES.
87,"Depuis « Les Aventuriers de l’arche perdue », l’aventure a un nom : Indiana Jones."
88,On laisse pas bébé dans un coin
89,"Il est de retour. Et, cette fois‐ci, avec son père."
90,"À Detroit, un policier apprend à supporter la chaleur. À L.A. il apprend à garder son sang-froid."
96,Axel Foley is back. Back where he doesn't belong.
97,"Un monde à l'intérieur de l'ordinateur où l'homme n'a jamais été, jusqu'à maintenant."
101,"Si vous voulez un travail bien fait, faites appel à un professionnel."
103,"Il est un homme oublié, solitaire et désespéré de prouver qu'il est vivant."
105,"Jamais à temps à l’école, jamais à temps à la maison, un jour il se retrouve complètement hors du temps…"
106,"Il est le chasseur, Schwarzenegger est sa proie !"
111,Il voulait vivre le rêve américain. Jusqu'au bout.
114,Il s’est offert ses charmes… Elle a volé son coeur.
115,Ils l’ont pris pour un bon à rien… Ils auraient dû se méfier !
117,Al Capone : Il dirige Chicago avec un pouvoir absolu. Personne ne peut le toucher. Personne ne peut l’arrêter.
120,Le périple de Frodon commence…
123,Fantasy...beyond your imagination
137,"Prisonnier du temps, il revit tous les jours le même jour, jusqu'au plus beau jour de sa vie."
150,Un flic. Un taulard. Pas de pitié.
162,Il ne connaît que l’innocence. Elle ne voit que la beauté.
165,Le retour n'était que le début.
169,Le monstre est en ville... La chasse est ouverte !
170,Les jours sont comptés.
174,La bataille pour la paix a commencé.
175,La mer a un secret.
180,Le futur vous rattrape !
192,"Qui, au nom de Dieu, s'en tire avec un meurtre ?"
193,Deux capitaines. Un destin.
196,"Ils ont gardé le plus beau voyage pour la fin… Mais cette fois, ils sont peut‐être allés trop loin."
197,Un seul homme pouvait défier son Roi.
207,Il fut leur inspiration. Il a transformé leur vie à jamais.
218,Insensible à la douleur et à la pitié. Impossible à arrêter.
227,Ils ont grandi en marge de la société. Ils ne cherchaient pas la bagarre. Ils cherchaient à s'intégrer.
232,Rusty James can't live up to his brother's reputation. His brother can't live it down.
233,It was The Wanderers against the world ... and the world never had a chance!
235,Compte sur moi
238,Une offre que vous ne pouvez pas refuser.
240,Les affaires reprennent.
242,Le vrai pouvoir ne se donne pas. Il se prend.
249,Oliver et Barbara Rose... pour le meilleur et pour le pire !
251,On y croit tous.
253,Roger Moo7re est James Bond
268,Justice is always darkest before the dawn.
274,To enter the mind of a killer she must challenge the mind of a madman.
277,Une guerre ancestrale. Deux clans immortels...
278,Même à Shawshank on n'enferme pas l'espoir…
279,L'homme… La musique… La folie… Le meurtre…
280,C'est rien de personnel.
281,Nouvel An 1999. Tout est possible. Rien n'est interdit.
287,"Une femme, un homme et leur sport favori …"
306,C'est l'enquête de sa vie !
311,"Enfants, ils se sont dit qu'ils mourraient l'un pour l'autre. Adultes, ils l'ont fait."
319,Qui a dit que le romantisme était mort ?
329,Il a fallu 65 millions d'années pour que cette aventure devienne possible.
335,"Il y avait trois hommes dans sa vie. Un pour la prendre, un pour l'aimer et un pour la tuer."
348,"Dans l’espace, personne ne vous entend crier."
350,"Un job d’enfer, une boss infernale !"
364,"La Chauve-Souris, le Chat, le Pingouin."
377,"Si Nancy ne se réveille pas en criant, elle ne se réveillera pas du tout !"
379,"Le haut est le bas, le noir est le blanc, et rien n'est ce qu'il semble être."
380,Ils sont différents. Ils sont frères. Ils se rencontrent pour la première fois.
387,Un voyage aux limites de l'enfer.
391,"À sa manière, il est peut-être l’homme le plus dangereux qui ait jamais vécu !"
402,Un meurtre brutal. Un tueur brillant. Un flic qui ne peut pas résister au danger.
403,"L'histoire drôle, touchante et totalement irrésistible d'une relation de travail qui s'est transformée en une amitié de 25 ans."
414,"Courage maintenant, vérité toujours..."
424,"Celui qui sauve une vie, sauve le monde."
429,"Pour trois hommes, la guerre civile n'était pas un enfer. C'était de la pratique."
451,Je T'Aime... Tel.Ie Que Tu Es.
462,Elle a mis une petite ville à ses pieds et une multinationale à genoux.
466,You'd never take her for a call girl. You'd never take him for a cop.
468,"Où que vous soyez, passez une bonne journée."
475,Ils sont jeunes … ils s'aiment … ils vivent dangereusement …
476,"Sooner or later, someone will pay the price."
483,A wild and crazy love story.
500,Qui les a balancé ?
505,"They changed his looks, his life and his future... but they couldn't change his past ."
509,La plus grande des stars peut-elle tomber amoureuse de monsieur Tout-le-monde ?
510,"Pour échapper à la prison, il est prêt à tout."
522,Le cinéma était sa passion… Les femmes son inspiration.
524,Personne ne reste au sommet pour toujours.
525,Ils ne se feront jamais attraper. Ils sont en mission de Dieu.
526,Aucune force céleste ne les libérera. Aucun pouvoir sur Terre ne peut les sauver.
535,Elle travaille dans un monde d'hommes. Elle danse dans le monde de ses rêves.
551,"L'enfer, à l'envers"
562,40 étages en otage !
568,"« Houston, on a un problème. »"
571,Le prochain cri que vous entendrez pourrait être le vôtre !
576,Des hommes inchangés dans un pays en mutation
578,Elle fut la première…
579,La terrible menace rôde encore… et frappe !
580,Du plus profond la terreur refait surface.
581,Le lieutenant John Dunbar est sur ​​le point de découvrir la frontière… avec lui-même.
592,Harry Caul est le meilleur pour s'introduire dans votre vie privée.
595,L'histoire d'un père qui doit exposer ses enfants aux passions outrées d'une petite ville… et ne peut les protéger que par son amour.
599,Elle a acheté un jeune homme pour satisfaire ses désirs de femme mature
600,Une épopée de la guerre du Viêt Nam.
601,Il a peur. Il est seul. Il est à 3 millions d’années lumière de chez lui.
603,Croire à l’incroyable.
604,Libère ton esprit.
605,Ce qui a commencé doit finir.
606,Souvenir d'Afrique.
609,Ils sont là. Ils veulent se venger. Ils savent comment.
616,"Face à un ennemi, dans le cœur d'un homme, repose l'âme d'un guerrier."
619,Ne la quitte jamais des yeux. Reste toujours sur tes gardes. Ne tombe jamais amoureux.
620,Ils sont là pour sauver le monde.
621,Ça le fait toujours !
622,Chaque livre a une vie qui lui est propre.
623,"Une histoire de meurtre, de cupidité, de luxure, de revanche et de poisson."
624,Un homme est parti en vain à la recherche de l'Amérique.
625,"Le supplice d'une nation, le courage d'un seul homme."
628,Qui boira mon sang aura la vie éternelle.
634,Avertissement santé : Adopter le mode de vie de Bridget pourrait sérieusement nuire à votre santé.
635,Aux portes de l'enfer.
637,"Une fable inoubliable qui prouve que l'amour, la famille et l'imagination peuvent tout vaincre."
639,Deux amis peuvent-ils coucher ensemble et s'aimer encore au petit matin ?
642,Juste pour le plaisir !
644,Voyage vers un monde où les robots rêvent et désirent.
651,"M*A*S*H, la rigolade dans l'enfer."
652,Pour l'honneur...
657,James Bond 007 est de retour !
658,James Bond de nouveau en action !
660,Le devoir l'appelle encore.
667,"Bienvenue au Japon, Monsieur Bond."
671,Un voyage au‐delà de votre imagination.
672,Quelque chose de maléfique est de retour à Poudlard !
673,Tout va changer.
674,Des heures sombres et difficiles s’annoncent.
675,La révolte a commencé.
679,Cette fois c'est la guerre.
680,Vous ne connaîtrez pas les faits tant que vous n’aurez pas vu la fiction.
681,Lui aussi est éternel !
682,Il ne rate jamais sa cible et sa cible est maintenant 007.
686,"Du plus profond de l'univers, un message se fait entendre…"
688,Le chemin de l'avenir de Francesca Johnson semble tracé à cause d'un embranchement inattendu sur la route...
691,L'un est Britannique. L'autre est Russe.
694,Un tiens vaut mieux que deux tu l’auras.
695,Short Cuts lève le toit sur l'Amérique.
696,Woody Allen's New Comedy Hit
698,Désormais l’espace appartient à 007
699,Rien ne peut arrêter James Bond.
700,Le meilleur des Bond !
707,James Bond a‐t‐il enfin trouvé adversaire à sa taille ?
712,5 bonnes raisons de rester célibataire.
744,"Là-haut avec les meilleurs, parmi les meilleurs."
745,"Voir, Gouter, Entendre, Toucher, Sentir… Trembler."
746,Il restera à jamais comme... Le Dernier Empereur
760,THE WILD... THE HILARIOUS... THE SCREWBALL... THE RIOTOUS
761," Moi, je nourris des millions de personnes. Et demain, je nourrirais peut-être la terre entière ! Simplement, naturellement. "" (Jacques Tricatel)"
764,L’expérience ultime de la terreur
767,De sombres secrets dévoilés
769,Trente ans passés dans la Mafia
772,Devinez qui va se retrouver tout seul à New York pour Noël ?
782,"Un seul critère de sélection, la perfection génétique."
788,Jamais un père n'avait été aussi proche de ses enfants !
790,Derrière la brume… l'horreur !
792,L’innocence est la première victime de la guerre.
801,"Le mauvais homme, au mauvais endroit,  au bon moment."
805,Ce n'est pas ce que vous croyez…
807,Sept péchés capitaux. Sept façon de mourir.
813,"Dieu merci, ce n'est qu'un film !"
819,Quatre amis font une erreur qui peut changer leur vie pour toujours.
820,Il est prêt à risquer tout ce qu'il a de plus cher pour ce qu'il a de plus sacré...  La vérité.
826,Soyez heureux dans votre travail...
829,Vous devenez dur ou tendre. Vous vous rapprochez les uns des autres. Peut‐être même vous rapprochez‐vous de la vérité.
830,Des terriens dans un fabuleux et périlleux voyage dans l'espace !
834,"Mon Dieu. Frère, qu'a tu fait ?"
837,"D'abord, il contrôle votre esprit… ensuite il détruit votre corps."
838,Où étiez-vous en 62 ?
840,Nous ne sommes pas seuls
841,Un monde au-delà de vos rêves. Un film au-delà de votre imagination.
847,Un monde d’aventures et de magie.
849,À des millions d'années‐lumière de votre imagination.
854,Splendiiiiide !
856,"Un homme, une femme et un lapin emmêlés dans une drôle de salade."
858,Elle ne l'a jamais vu. Il ne la connaît pas. Et pourtant... ils s'aiment déjà !
859,"Luxure, séduction, vengeance, une intrigue cruelle et rafinée"
860,Et si un jeu vidéo déclenchait une guerre nucléaire ?
861,"They stole his mind, now he wants it back."
865,Il court contre la mort…
867,"Vous aimez être voyeur, n'est-ce pas ?"
873,C'est la vie. C'est l'amour. Il s'agit de nous.
874,...a motion picture for all times!
879,Et si Peter Pan avait grandi ?
881,"Un homme ne recule devant rien pour garder son honneur, et un autre ne recule devant rien pour trouver la vérité."
891,L’enquête la plus explosive du siècle.
902,Certaines personnes suivent leurs rêves. D'autres les volent.
907,"L'époque était agitée, et ardente était l'histoire d'amour de Jivago, sa femme et la tendre Lara."
912,Le plus long baiser de l'histoire du cinéma
916,"Il y a de mauvais flics, de bons flics – et puis il y a Bullitt."
918,A date with her is every man's dream come true. And with dreams like her - who needs nightmares?
925,"C'est la journée la plus chaude de l'été. Vous ne pouvez rien faire, vous pouvez faire quelque chose, ou vous pouvez…"
927,Mignons. Malins. Méchants. Intelligents. Dangereux.
928,"Souvenez-vous, on vous avait prévenus ! Mais vous n'avez pas écouté..."
931,Faites passer l'avertissement.
935,Comment j'ai appris à ne plus m'en faire et à aimer la bombe.
938,L'homme sans nom est de retour.
941,"Deux flics, Glover a une arme, Gibson est une arme."
942,Retour d'un duo de choc !
948,"Cette nuit là, IL est revenu…"
949,Un face à face de légende.
951,Le flic le plus dur de L.A. plonge dans un monde sans pitié.
957,Que la Farce soit avec vous.
966,7 hommes contre une horde sauvage !
968,Tout peut arriver pendant les canicules de l'été.
987,Ils feraient n'importe quoi pour une histoire… et le feraient.
988,Il est parfois trop tard pour dire la vérité.
991,"Power, space, time and a visitor."
994,Sometimes a man is forced to defend his honor.
1051,Il n'y a pas de règles ni de limites pour Popeye !
1052,"Sometimes, reality is the strangest fantasy of all."
1073,Méfiez-vous des apparences.
1089,Toute amitié a ses limites. Tout homme a ses limites. Ensembles ils vont vivre l'aventure jusqu'au point de non retour.
1091,L'homme est la meilleure cachette qui soit.
1093,"Soif de vie et d'amour, soif d'excitation."
1103,New York est maintenant une prison de haute sécurité... Il est impossible d'en sortir !
1245,La vie de la classe supérieure et des domestiques dans l'Angleterre de l'après Première Guerre mondiale.
1366,Sa vie est à un million contre un
1367,"La première fois, il s'est battu pour un rêve. Maintenant, il se bat pour l'amour !"
1368,"« Eux ont versé le premier sang, pas moi ! »"
1369,"Aucun homme, aucune loi, aucune guerre ne peuvent l'arrêter."
1370,"Cette fois, il se bat pour sauver un ami."
1371,Le plus grand défi.
1374,Il affronte un adversaire impitoyable. Et combat pour sa vie.
1375,"Pour faire face à un nouveau challenge, il va devoir retrouver le goût du combat."
1377,Tout ne peut qu'aller bien sur une péniche paradisiaque !
1380,All he cared about was gleaming the cube...until the night they killed his brother.
1408,Le cap a été fixé.  Faites appel à votre courage. Découvrez l'aventure d'une vie !
1410,Bombed Out in Space with a Spaced Out Bomb!
1417,L’innocence est plus forte que le mal
1443,"Belles, mystérieuses, obsédantes, toujours fatales. Comme la vie."
1492,"Des siècles avant l'exploration de l'espace, il y a eu un autre voyage vers l'inconnu."
1541,L'envie de vivre les réunit. Rien ne les arrêtera…
1551,Certaines lignes ne doivent pas être franchies.
1552,"Une comédie sur la vie, l'amour et le doux art d'élever des enfants."
1572,Il y a des jours comme ça…
1573,Et on dit que la foudre ne tombe jamais deux fois au même endroit ! ?
1578,Vous ne nous avez jamais laissé tomber.
1598,Le passé revient les hanter.
1607,"Seul contre la mafia, il veut sauver son fils."
1621,"Comment, pour un dollar, jouer le mendiant à la hausse et le PDG à la baisse?"
1632,1964. Quand l'Amérique était en guerre contre elle-même.
1634,L'histoire d'une amitié extraordinaire
1637,Passez à la vitesse maxi.
1648,L'histoire est sur le point d'être réécrite par deux gars qui ne savent pas épeler.
1654,Entraînez-les ! Excitez-les ! Armez-les ! … Puis lâchez-les sur les Nazis !
1662,… where crime is a family affair.
1669,La chasse est lancée !
1687,Des visiteurs... ou des évadés du futur ? Seul le bébé Milo sait... mais il ne parle pas encore.
1694,Il se prend pour Dieu … Mais Dieu a horreur de la concurrence.
1700,"Paul Sheldon gagnait sa vie en écrivant. Maintenant, il écrit pour rester en vie."
1705,Le dernier chapitre de l'incroyable saga des singes.
1710,Un homme copie les tueurs les plus célèbres de l'histoire. Ensemble deux femmes vont devoir l'arrêter... Sinon elles seront les prochaines.
