id2,site_id,identifiant
5,1,5
11,1,11
13,1,13
18,5,Q106506
18,1,18
18,2,tt0119116
28,1,28
33,1,33
63,1,63
75,2,tt0116996
75,1,75
75,5,Q271690
78,1,78
78,2,tt0083658
79,1,79
79,5,Q260379
79,2,tt0299977
85,1,85
85,2,tt0082971
87,2,tt0087469
87,1,87
88,1,88
88,2,tt0092890
89,1,89
90,1,90
90,2,tt0086960
96,2,tt0092644
96,1,96
97,1,97
101,2,tt0110413
101,5,Q484675
101,1,101
103,1,103
104,5,Q468697
104,1,104
104,2,tt0130827
105,2,tt0088763
105,1,105
106,2,tt0093773
106,1,106
111,1,111
114,1,114
115,2,tt0118715
115,1,115
117,1,117
120,2,tt0120737
120,1,120
121,2,tt0167261
121,1,121
122,1,122
122,5,Q131074
122,2,tt0167260
123,1,123
137,1,137
137,2,tt0107048
146,5,Q273978
146,2,tt0190332
146,1,146
150,1,150
150,2,tt0083511
162,1,162
165,1,165
166,2,tt0082100
166,1,166
169,1,169
170,2,tt0289043
170,1,170
170,5,Q221075
171,1,171
174,1,174
175,1,175
175,2,tt0095250
180,5,Q244604
180,2,tt0181689
180,1,180
192,1,192
193,1,193
196,1,196
197,1,197
207,1,207
207,2,tt0097165
207,5,Q106316
218,2,tt0088247
218,1,218
227,1,227
232,1,232
233,1,233
235,5,Q494722
235,2,tt0092005
235,1,235
238,1,238
240,1,240
242,1,242
249,1,249
251,1,251
253,1,253
253,2,tt0070328
253,5,Q27204
268,1,268
274,2,tt0102926
274,1,274
277,2,tt0320691
277,1,277
278,1,278
279,1,279
280,1,280
281,1,281
287,1,287
296,2,tt0181852
296,5,Q29054009
296,1,296
306,1,306
311,1,311
319,1,319
329,1,329
335,1,335
348,1,348
350,1,350
350,2,tt0458352
350,5,Q223316
364,1,364
377,2,tt0087800
377,1,377
378,1,378
379,1,379
380,1,380
387,1,387
391,1,391
402,1,402
402,2,tt0103772
403,1,403
414,1,414
424,1,424
429,1,429
451,1,451
462,5,Q220955
462,2,tt0195685
462,1,462
466,1,466
468,1,468
475,1,475
476,1,476
482,1,482
482,2,tt0067741
483,1,483
497,1,497
497,5,Q208263
497,2,tt0120689
500,1,500
505,1,505
509,1,509
509,5,Q200672
509,2,tt0125439
510,1,510
522,1,522
524,1,524
525,1,525
526,1,526
535,2,tt0085549
535,1,535
551,1,551
551,2,tt0069113
562,1,562
568,5,Q106428
568,1,568
568,2,tt0112384
571,1,571
576,1,576
577,1,577
578,1,578
578,2,tt0073195
579,1,579
580,1,580
581,1,581
590,1,590
590,5,Q157044
590,2,tt0274558
591,5,Q160560
591,2,tt0382625
591,1,591
592,1,592
595,1,595
599,1,599
600,1,600
600,2,tt0093058
601,2,tt0083866
601,1,601
