id,site_id,identifiant
36f5b9d6-8dd4-4263-a86d-3196dee4a03e,5,Q229325
9e7fb208-0ecf-4c5c-869c-4298eb9f0a4c,1,4785
2fde32d6-3e8b-48ac-96ba-80056449cbbe,5,Q295847
b63e065e-e5df-4476-a439-133a15f24b28,1,14277
f2e5d1d2-d870-4ad4-a6d3-1a12848f119d,2,nm0180404
764fac78-49cd-4a5c-87e7-8bceeb8a828b,1,4173
04fae85f-e44e-4d9f-860c-80656a19126d,1,96930
322af6f9-3530-4903-81b3-39bc339e158f,2,nm1500155
d43f9fda-6e7f-4b07-ac54-056a330411d0,5,Q1744
180b3083-5cd0-40f6-9817-7d948fd63436,1,27319
9d306803-2aca-406e-8504-818f381153a8,1,5443
373eaca2-1eaa-449d-a24b-1f25af2a2263,1,21175
73085b7c-25bc-43a5-8075-d467d60a6469,1,27755
88174344-3659-4da8-8a99-804e569c5d88,5,Q289040
081629e8-d46f-4a52-b54e-75a4eb7d3b11,1,59951
87532874-6c1c-4fc3-95fa-9a7d9dac7591,1,21876
c2984bd4-a6c1-4b3b-b643-4dc82161b522,5,Q358089
126b4f2c-7c5c-45c0-8af5-5eb2602e53e3,2,nm2240346
5377da7d-d434-4dca-9206-406855c1d96c,5,Q361400
01908524-66f5-44da-9db2-e560b6b620c1,1,70851
bbad8dff-5362-43d2-9fa0-dd29dd9ad2fd,1,3416
bcf44671-c2d5-47a7-91c1-37afb764c162,1,63
d06d8895-067c-4dac-b153-4876c13e032e,5,Q208339
ff02ad2e-a20b-444a-87be-3bf55bc7953d,5,Q42101
094ef442-8ffb-4b90-82cf-5d38bf284fcc,2,nm0235460
422867a3-8092-4e45-90a5-aed3ad5ea7ac,1,230073
9541d6e9-f51a-4a09-bf1a-9dfa415d89f3,1,24040
5517f2ec-92d8-4b53-ab13-0bd701307185,1,37777
a38d8aa9-35ad-4549-8266-58b1b6da861b,1,16475
7c24d6f5-5c8a-473c-8945-2467d86e3abc,1,16660
9f69c024-b15c-4bf2-8f53-d968337306ea,2,nm0000244
077238b5-336b-4155-a272-9d9e8c41b01d,1,61114
c3c06317-cbc4-4252-b304-0e80c7ad6cbc,5,Q11617
de79b389-c8fe-4851-8c34-c8fc1d4d52a1,2,nm0484840
6af682a3-a622-4ad1-996e-7cc2282c4fbd,5,Q556343
28938581-a315-4bbf-901c-568ce241b5f0,1,18669
04965c78-ff52-46e9-9007-c0d1c92d4d5c,1,80253
c31959cd-ddef-4820-a26f-05bd58dda950,1,45447
9c6c466d-e69a-47d1-b3d1-2d618d438b09,1,15152
