personne_id,nom,prenom,naissance,deces,nationalite,artiste,popularite
1e8b43c2-94ed-4610-ba42-9e90fdd23259,Morrell,David,1943-04-24,,ca,,0
4ed9956d-54fa-47f5-8432-4f90de4649af,Eco,Umberto,,,,,0
5cacda27-bc0d-4f4e-9613-adc4ec450a7f,Kishiro,Yukito,1967-03-20,,jp,,0
ea853bcb-5133-40e4-9269-735d810c84b2,Davis,Geena,1956-01-21,,us,,22.187
bb85abd1-9c9b-4281-aff3-9cc5ca4a8578,Oldman,Gary,1958-03-21,,,,59.185
22b17317-6ab4-4885-a6f3-583372f1b99b,Anspaugh,David,1946-09-24,,,,0
2f40387a-b1db-41f4-8df9-be91eb0eeb0b,Zellweger,Renée,1969-04-25,,,,34.963
67fb24d5-3a19-4848-b58c-e371faf3706e,Perlman,Ron,1950-04-13,,,,55.517
fdec0e3f-a9a4-43a7-9a9d-a7b7cd1becea,Grant,Hugh,1960-09-09,,,,46.6
36f5b9d6-8dd4-4263-a86d-3196dee4a03e,Gershon,Gina,1962-06-10,,,,68.994
9e7fb208-0ecf-4c5c-869c-4298eb9f0a4c,Goldblum,Jeff,1952-10-22,,us,,45.538
80e248a5-f258-4c3b-b42a-aa5f48b67e87,Jeunet,Jean-Pierre,1953-09-03,,,,0
b63e065e-e5df-4476-a439-133a15f24b28,Kinski,Klaus,1926-10-18,1991-11-23,,,22.75
31899d50-2dbe-4349-ad36-e0ea192a1914,Girardot,Annie,1931-10-25,2011-02-28,,,15.544
b5f65952-da0f-4787-833e-bf90d7338c8b,DiSalle,Mark,,,,,0
25a98913-b3cb-49c3-b605-6287fa808770,Kleiser,Randal,1946-07-20,,,,0
04fae85f-e44e-4d9f-860c-80656a19126d,Nebout,Claire,1964-05-20,,,,7.736
322af6f9-3530-4903-81b3-39bc339e158f,Pattinson,Robert,1986-05-13,,,,87.065
f23b9992-3b90-432f-9b10-6d939a724252,De-Wilde,Brandon,,,,,0
ce02416d-4d88-4675-a232-f717eb9615c0,Vom Dorp,Timothé,2007-03-03,,,,1.688
e10fb817-1ef1-4fa2-9cae-f7ac0e1d0a78,Bourseiller,Christophe,1957-09-27,,,,3.093
9d306803-2aca-406e-8504-818f381153a8,Lindon,Vincent,1959-07-15,,,,13.604
c429975f-0962-4ca9-8b36-cfd42936e21c,Marshall,Frank,1946-09-13,,,,0
28188765-6046-4c73-9145-e4d860750b5b,Potts,Annie,1952-10-28,,us,,55.111
65c2405e-b490-4fbf-9be7-2fcaf8351782,Moodysson,Lukas,1969-01-17,,,,0
73085b7c-25bc-43a5-8075-d467d60a6469,George,Melissa,1976-08-06,,,,26.593
c1d9f8bc-f51c-407d-8e9f-6e789378e2d0,Holcomb,Rod,,,,,0
87585c82-b02b-4ee5-a5f3-7d46b0c37ecf,Cokeliss,Harley,1945-02-11,,,,0
e75ab8e6-f9af-46a3-80b1-d606c68547da,Solo,Bruno,1964-09-23,,,,1.96
c720b34c-a032-4074-85d4-ee431ec5e465,Wargnier,Régis,1948-04-18,,,,0
0a601a36-372f-480b-80ba-3c7254ed6d24,Blakeson,J,1977-01-01,,,,0
efc9c376-c9fe-4cb3-bab9-c43c59119d3b,Moore,John,1970-01-01,,,,0
