film_id,societe_id
5,12
5,14
11,1
11,2
11,15
11,25
13,4
18,5
18,9
28,9
33,7
63,8
63,33
75,7
78,7
85,1
85,2
85,4
87,1
87,2
87,4
89,1
89,2
89,4
90,4
90,30
96,4
96,30
97,18
101,9
103,5
105,8
105,23
105,33
106,15
106,25
111,8
111,33
114,14
117,4
120,11
120,12
121,11
121,12
122,11
122,12
123,9
137,5
150,4
162,15
162,25
165,8
165,23
165,33
166,9
166,17
169,15
169,25
171,9
171,17
174,4
175,9
180,7
180,11
180,15
180,23
180,25
193,4
196,8
196,23
196,33
207,14
218,19
227,7
232,8
232,33
233,7
233,19
235,5
238,4
240,4
242,4
249,15
249,18
249,25
251,4
253,9
268,7
274,19
279,19
280,6
280,21
281,15
281,25
287,1
287,19
287,21
306,30
311,7
329,8
329,23
329,33
335,4
348,15
348,25
350,15
350,25
364,7
377,12
378,15
378,25
379,15
379,25
380,9
387,5
391,9
402,6
402,21
403,7
414,7
424,23
429,9
451,9
466,7
468,12
482,21
505,21
509,8
509,33
510,9
522,14
524,8
524,33
525,8
525,33
526,7
526,15
526,25
535,4
551,15
551,25
562,15
562,25
568,3
568,8
568,23
568,33
577,5
578,8
578,33
579,8
579,33
580,8
580,33
590,4
590,14
591,23
599,4
600,7
601,8
601,23
601,33
603,7
606,8
606,33
609,1
609,21
616,7
619,7
620,5
621,4
622,25
623,1
623,21
624,5
634,8
634,12
634,14
634,33
635,21
639,5
642,15
642,25
644,7
644,11
644,23
646,9
650,5
651,15
651,25
652,7
657,9
664,33
667,9
671,7
672,7
673,7
674,7
675,7
679,15
679,25
680,12
680,14
681,9
682,9
686,7
688,7
688,23
694,7
695,8
696,9
698,9
699,9
707,9
744,4
746,5
754,4
754,14
761,22
764,12
767,7
771,15
771,25
772,15
772,25
782,5
786,5
786,7
786,11
788,15
788,25
792,19
801,14
807,12
813,4
814,8
814,33
819,7
820,7
829,4
830,1
830,21
838,1
838,2
838,8
838,33
840,5
847,1
847,2
847,3
847,9
847,21
847,23
849,5
854,12
856,14
856,23
858,6
859,7
860,9
861,6
861,21
865,6
867,4
869,25
871,25
873,7
873,23
874,5
879,6
879,23
888,23
907,1
907,21
912,9
918,6
925,8
925,33
927,7
927,23
928,7
928,23
935,5
938,9
941,7
942,7
949,7
951,3
951,8
951,23
951,33
957,1
957,21
966,9
968,7
987,8
987,33
988,5
990,15
990,25
1051,15
1051,25
1052,1
1052,21
1089,15
1089,25
1091,8
1091,33
1245,5
1367,9
1368,19
1368,21
1369,21
1370,6
1370,21
1371,9
1374,9
1375,1
1375,9
1375,21
1377,4
1380,15
1380,25
1406,5
1408,1
1408,21
1492,4
1492,9
1541,1
1541,21
1551,5
1552,3
1552,8
1552,23
1552,33
1572,15
1572,25
1573,15
1573,25
1578,9
1584,4
1587,4
1592,4
1598,8
1598,23
1598,33
1621,4
1632,19
1634,7
1637,15
1637,25
1639,15
1639,25
1642,5
1648,19
1654,1
1654,21
1669,4
1687,15
1687,25
1700,5
1705,15
1705,25
1710,7
1713,8
1713,33
1716,25
1723,5
1727,8
1727,33
1788,4
1813,7
1825,7
1825,16
1825,24
1870,9
1875,17
1880,9
1884,1
1884,2
1885,5
1891,1
1891,2
1892,1
1892,2
1923,12
1949,4
1949,7
1955,4
2005,14
2007,8
2007,33
2019,8
2019,33
2038,21
2039,1
2039,21
2071,1
2071,21
2075,15
2075,25
2087,8
2087,33
2108,8
2108,33
2116,1
2116,21
2119,4
2139,7
2149,1
2149,21
2153,15
2153,25
2161,15
2161,25
2164,1
2164,21
2246,5
2246,12
2277,5
2277,14
2280,15
2280,18
2280,25
2291,21
2320,7
2321,19
2322,8
2322,33
2323,8
2323,33
2453,1
2453,21
2459,17
2462,9
2501,8
2501,33
2502,8
2502,33
2503,8
2503,33
2565,7
2565,23
2604,8
2604,33
2605,6
2609,4
2614,7
2614,23
2617,8
2617,33
2619,14
2620,5
2623,4
2625,6
2636,7
2655,7
2655,11
2655,15
2655,25
2666,12
2668,4
2756,15
2756,25
2758,4
2768,4
2788,8
2788,33
2898,18
2907,4
2924,3
2924,8
2924,23
2924,33
2926,15
2926,25
2978,5
2984,8
2984,33
2990,15
2990,25
3036,6
3049,7
3053,1
3053,21
3054,5
3055,15
3055,25
3101,6
3116,9
3512,7
3525,15
3525,25
3536,8
3536,33
3580,3
3580,8
3580,23
3580,33
3586,12
3586,14
3604,8
3604,33
3870,4
3870,9
3980,12
4011,7
4032,3
4032,5
4032,23
4104,1
4104,21
4105,4
4180,25
4202,9
4235,15
4235,25
4327,5
4437,1
4437,21
4476,6
4477,5
4478,4
4482,25
4484,9
4488,4
4546,20
4547,5
4584,5
4587,19
4722,7
4823,7
4909,8
4909,33
4929,9
5121,8
5121,33
5143,19
5228,9
5503,7
5548,19
5549,19
5902,9
5919,7
5919,15
5919,25
5923,15
5923,25
5968,19
5971,4
6068,14
6069,7
6071,15
6071,25
6075,8
6075,33
6114,5
6217,8
6217,33
6279,14
6312,25
6320,9
6320,25
6341,5
6404,9
6471,8
6471,33
6474,9
6488,23
6520,5
6538,33
6620,4
6644,4
6950,7
6964,5
6977,12
6977,14
6978,15
6978,25
7007,15
7007,25
7227,8
7227,33
7340,9
7520,14
8005,9
8005,15
8005,25
8007,15
8007,25
8009,15
8009,25
8011,12
8011,14
8012,1
8012,21
8068,5
8069,4
8077,15
8077,25
8078,15
8078,25
8130,19
8217,19
8271,7
8271,11
8337,8
8337,33
8348,9
8358,7
8358,25
8367,7
8428,12
8446,4
8467,12
8469,8
8469,33
8491,15
8491,25
8512,6
8592,14
8665,4
8764,4
8831,8
8831,33
8839,8
8839,23
8839,33
8844,6
8845,7
8851,4
8852,8
8852,21
8852,33
8856,5
8872,4
8984,7
8986,4
8987,8
8987,33
9037,4
9040,4
9041,25
9051,7
9051,19
9059,8
9059,33
9061,7
9079,15
9079,25
9080,7
9086,15
9086,25
9087,5
9087,8
9087,33
9089,4
9090,8
9090,23
9090,33
9208,15
9208,25
9263,12
9264,12
9271,4
9272,15
9272,25
9273,7
9277,8
9277,33
9281,4
9292,6
9312,12
9315,3
9315,14
9315,23
9317,22
9319,7
9326,15
9326,25
9331,4
9340,7
9340,23
9348,1
9348,9
9348,21
9349,6
9349,21
9350,6
9350,21
9354,2
9354,10
9355,7
9356,6
9359,7
9361,15
9361,25
9362,8
9362,33
9366,6
9374,8
9374,33
9377,4
9378,5
9378,7
9382,7
9387,8
9387,33
9390,6
9390,18
9395,7
9396,4
9399,8
9399,33
9411,7
9428,14
9446,2
9475,8
9475,33
9479,14
9479,32
9481,5
9481,8
9481,33
9491,9
9493,8
9493,33
9494,6
9504,12
9507,6
9533,1
9533,8
9533,21
9533,24
9533,33
9545,6
9549,7
9552,7
9556,8
9556,33
9559,7
9560,15
9560,25
9569,7
9570,18
9574,2
9574,10
9576,5
9586,7
9587,5
9588,1
9588,9
9588,21
9591,25
9593,5
9594,5
9595,15
9595,25
9599,6
9602,4
9602,30
9603,4
9604,6
9604,21
9610,8
9610,33
9612,4
9618,7
9626,1
9626,9
9626,21
9644,12
9647,4
9663,5
9665,6
9671,4
9686,14
9691,7
9710,16
9710,24
9717,14
9739,7
9740,1
9740,8
9740,21
9740,33
9748,14
9748,32
9749,8
9749,33
9754,7
9768,3
9768,8
9768,23
9768,33
9800,6
9804,8
9804,33
9838,16
9838,24
9846,1
9846,21
9869,4
9873,19
9874,7
9874,16
9874,24
9876,8
9876,33
9882,15
9882,25
9886,6
9930,8
9930,33
9941,14
9944,7
9952,21
9967,4
9972,6
9972,21
10003,4
10013,6
10014,12
10019,15
10019,24
10019,25
10021,8
10021,33
10023,8
10023,33
10057,2
10057,10
10061,4
10065,1
10065,21
10068,1
10068,21
10072,12
10083,19
10122,2
10122,10
10127,12
10130,7
10130,8
10130,33
10131,12
10134,16
10134,24
10135,9
10136,4
10136,30
10141,19
10142,5
10149,12
10149,14
10150,20
10153,7
10157,7
10160,12
10163,12
10168,6
10173,15
10173,25
10206,15
10206,25
10219,33
10222,24
10246,15
10246,25
10249,2
10249,10
10264,21
10303,15
10303,25
10306,1
10306,21
10326,7
10328,15
10328,25
10329,4
10333,5
10337,6
10344,15
10344,25
10372,1
10372,2
10377,15
10377,25
10379,12
10395,5
10396,7
10403,8
10407,3
10407,8
10407,23
10407,33
10410,25
10424,4
10428,9
10435,6
10435,21
10439,2
10439,10
10443,7
10449,14
10466,8
10466,23
10466,33
10474,12
10486,14
10489,7
10493,7
10495,5
10514,8
10514,33
10518,4
10536,4
10537,3
10537,6
10537,21
10537,23
10543,3
10543,8
10543,23
10543,33
10551,6
10553,19
10585,9
10587,7
10604,15
10604,25
10648,7
10651,7
10655,12
10656,9
10656,25
10658,1
10658,2
10658,8
10658,33
10660,6
10673,15
10673,25
10675,7
10699,5
10714,2
10714,10
10724,7
10729,7
10730,4
10731,7
10734,4
10750,6
10765,7
10766,15
10766,25
10768,15
10768,25
10771,7
10771,11
10774,1
10774,21
10776,7
10780,1
10780,21
10786,5
10792,9
10802,21
10803,1
10803,21
10806,4
10843,7
10849,19
10859,14
10860,6
10868,4
10890,5
10897,8
10897,23
10897,33
10911,5
10925,19
10935,9
10937,16
10937,24
10939,9
10945,15
10945,25
10957,2
10957,10
10998,4
10999,15
10999,25
11002,7
11006,8
11006,33
11008,8
11008,33
11009,4
11011,7
11018,1
11018,21
11027,4
11034,4
11037,6
11046,1
11046,21
11050,4
11051,8
11051,33
11060,4
11066,4
11068,7
11074,5
11077,3
11077,8
11077,23
11077,33
11082,6
11092,7
11120,7
11133,1
11133,21
11153,7
11157,19
11158,2
11158,10
11177,8
11177,33
11186,8
11186,33
11215,9
11221,4
11223,1
11223,21
11231,5
11259,3
11259,8
11259,23
11259,33
11281,8
11281,33
11284,12
11286,15
11286,25
11287,5
11296,6
11308,19
11317,3
11317,5
11317,23
11324,4
11327,5
11338,8
11338,33
11352,8
11352,9
11352,23
11352,33
11364,4
11372,20
11381,4
11393,6
11400,12
11411,7
11411,16
11411,24
11416,7
11422,8
11422,33
11428,5
11448,12
11448,14
11465,19
11472,15
11472,25
11474,4
11479,14
11479,25
11482,4
11484,9
11495,8
11495,33
11499,23
11499,33
11507,5
11509,5
11510,21
11519,5
11519,8
11519,33
11521,19
11522,4
11524,9
11527,7
11527,19
11528,15
11528,25
11530,22
11533,5
11541,1
11541,21
11546,7
11548,8
11548,23
11548,33
11557,5
11561,9
11566,7
11583,9
11584,5
11589,1
11589,21
11591,7
11593,4
11595,4
11595,30
11596,12
11607,6
11607,21
11620,1
11620,21
11623,20
11630,14
11649,16
11649,24
11654,1
11654,21
11667,8
11667,33
11687,9
11687,17
11690,24
11694,5
11709,9
11709,22
11718,6
11778,8
11778,33
11780,9
11797,5
11814,8
11814,33
11816,8
11816,20
11816,33
11827,5
11850,9
11851,4
11853,15
11853,25
11856,21
11858,14
11859,7
11861,8
11861,23
11861,33
11862,14
11863,4
11864,15
11864,25
11873,14
11890,14
11893,16
11893,24
11896,19
11899,6
11904,4
11904,23
11932,8
11932,33
11934,7
11943,7
11950,7
11955,6
11955,21
11963,4
11966,6
11967,15
11967,25
11974,3
11974,8
11974,23
11974,33
11976,8
11976,15
11976,25
11976,33
11977,7
11977,19
11979,7
11982,6
12089,9
12101,1
12101,21
12102,5
12104,1
12104,21
12106,6
12110,5
12111,22
12120,5
12122,8
12122,33
12139,7
12150,8
12150,33
12151,14
12154,14
12157,14
12158,4
12160,7
12185,4
12208,5
12235,5
12236,19
12245,7
12309,15
12309,25
12310,15
12310,25
12444,7
12445,7
12476,12
12500,16
12500,24
12503,19
12506,8
12506,33
12560,5
12579,25
12584,4
12623,6
12651,7
12704,5
12705,8
12705,33
12710,14
12715,16
12715,24
12716,9
12716,25
12717,9
12717,25
12764,16
12764,24
12778,3
12778,8
12778,23
12778,33
12919,14
13064,7
13105,15
13105,25
13192,7
13333,5
13342,8
13342,33
13346,15
13346,25
13595,15
13595,25
13597,1
13597,2
13597,6
13633,8
13633,33
13671,7
13681,6
13704,15
13704,25
13727,25
13766,15
13766,25
13776,1
13776,21
13818,4
13939,4
14040,7
14140,18
14257,9
14347,15
14347,25
14362,7
14367,14
14372,1
14372,21
14373,16
14373,24
14412,7
14425,15
14425,25
14534,6
14550,3
14550,8
14550,23
14550,33
14612,18
14621,7
14628,8
14628,33
14742,7
14746,8
14746,33
14854,19
14864,19
14886,5
15120,8
15120,33
15144,8
15144,33
15152,9
15196,4
15301,7
15379,16
15379,24
15392,5
15417,7
15588,9
15592,14
15596,19
15613,4
15677,5
15698,1
15698,21
15739,5
15764,8
15764,20
15764,33
15785,19
15983,16
15983,24
16082,5
16084,18
16113,16
16113,24
16121,9
16153,7
16235,19
16248,4
16281,7
16297,7
16314,14
16642,4
16769,8
16769,33
16814,4
16820,19
16858,5
16858,15
16858,25
17006,9
17169,7
17258,15
17258,25
17277,4
17339,5
17360,4
17362,6
17365,4
17465,9
17466,1
17466,21
17466,24
17496,4
17529,4
17538,8
17538,33
17692,8
17692,33
17819,7
18133,14
18169,6
18172,15
18172,25
18196,8
18196,33
18282,7
18298,25
18331,4
18387,7
18391,19
18410,15
18410,25
18419,25
18457,7
18628,9
18835,8
18835,33
18905,9
19086,1
19086,21
19086,24
19114,8
19114,33
19123,17
19185,5
19345,15
19345,25
19382,8
19382,33
19494,15
19494,25
19606,7
19736,14
19761,20
19855,8
19855,33
20242,14
20287,6
20287,21
20416,5
20481,15
20481,25
20701,4
21219,8
21219,33
21309,1
21309,21
21332,5
21352,4
21484,9
21629,5
21666,8
21666,33
21779,5
21873,15
21873,25
21874,7
21949,25
22160,5
22240,25
23330,7
24099,15
24099,25
24100,12
24229,8
24229,33
24248,5
24583,9
24583,25
24679,7
24742,19
24750,7
24750,19
24795,2
24795,10
24803,5
24873,16
24873,24
24951,19
25095,4
25188,5
25253,9
25528,24
25553,1
25553,21
25562,4
25566,4
25678,16
