societe_id,societe,uei
1,Lucasfilm,
2,Walt Disney Pictures,
4,Paramount Pictures,
5,Columbia Pictures,
7,DreamWorks Pictures,
9,Gaumont,
12,New Line Cinema,
14,Miramax Films,
21,MGM (Metro-Goldwyn-Mayer),
23,Imagine Entertainment,
25,20th Century Fox Film Corporation,
33,Universal Pictures,
35,Lions Gate Films,
41,Orion Pictures,
56,Amblin Entertainment,
60,United Artists,
82,Renn Productions,
104,Canal +,
174,Warner Bros. Pictures,
275,Carolco Pictures,
310,CNC,
356,TF1 Films Production,FR87320734502
360,Geffen Pictures,
461,Les Films Christian Fechner,
508,Regency Enterprises,
559,TriStar Pictures,
591,France 3 Cinéma,
875,Films A2,
915,Hollywood Pictures,
1115,M6 Films,
1155,ITC Entertainment,
1382,PolyGram Filmed Entertainment,
1444,The Cannon Group,
1475,UGC,
1632,Lionsgate,
1885,Silver Pictures,
2521,Orange Sky Golden Harvest,
3166,Walt Disney Productions,
6896,EuropaCorp,
7961,Gaumont International,
9195,Touchstone Pictures,
9266,American International Pictures,
10308,Dino de Laurentiis Company,
13549,Golan-Globus Productions,
172630,Warner Bros.,
