film_id,vote_votants,vote_moyenne
5,56,3.27
11,82,3.69
13,8,3.94
18,26,3.29
28,18,4.08
33,4137,7.91
63,6,2.83
75,5130,6.40
78,10,3.20
79,26,2.96
85,16,4.06
87,3,1.67
88,23,2.89
89,17,3.44
90,3781,7.19
96,1,1.00
97,8,3.88
101,17,3.88
103,4,4.00
104,94,3.29
105,48,3.11
106,7587,7.50
111,118,4.22
114,1,3.00
115,10718,7.84
117,6,3.00
120,24005,8.40
121,5,3.80
122,19,3.05
123,7,4.00
137,1,1.00
146,3,4.33
150,200,3.90
162,33,4.14
165,142,3.44
166,4,3.00
169,8,2.56
170,26,3.29
171,6,4.33
174,4,2.25
175,23,3.96
180,44,3.31
192,2819,7.47
193,35,2.31
196,55,2.81
197,9646,7.94
207,28,3.38
218,15,3.33
227,16,3.16
232,24,4.21
233,13,4.27
235,78,3.90
238,5,3.00
240,5,3.40
242,4,3.75
249,20,3.38
251,1,3.00
253,125,3.40
268,4,4.25
274,3,2.67
277,35,3.36
278,5,3.00
279,4,2.88
280,22,4.11
281,18,3.86
287,5,3.20
296,324,4.26
306,32,4.17
311,5096,8.40
319,38,3.97
329,114,3.35
335,3,3.00
348,40,3.94
350,70,3.33
364,200,3.78
377,180,3.57
378,12,3.25
379,21,3.26
380,198,3.52
387,3,3.67
391,3,3.00
402,3627,6.90
403,1486,7.24
414,7,2.50
424,3,3.00
429,9,2.56
451,7,3.43
462,2979,7.43
466,59,3.17
468,33,3.30
475,31,4.21
476,1,4.00
482,10,2.85
483,4,2.75
497,17245,8.50
500,153,3.47
505,7,2.71
509,78,3.75
510,5,2.30
522,9,2.83
524,36,3.56
525,3974,7.74
526,1,1.00
535,26,3.88
551,90,3.65
562,30,3.72
568,5325,7.45
571,1,4.00
576,1108,7.61
577,2,2.00
578,9887,7.66
579,1785,5.98
580,3,3.00
581,17,4.24
590,1675,7.28
591,9195,6.73
592,196,3.40
595,176,3.75
599,14,4.04
600,1,4.00
601,10759,7.52
603,1,3.00
604,10439,7.04
605,19,3.34
606,6,2.75
609,14,3.11
616,42,3.46
619,4,2.13
620,2,3.25
621,3,3.33
622,2830,6.47
623,2049,7.21
624,1856,7.07
625,691,7.48
628,50,3.88
634,4797,6.75
635,7,3.86
637,29,2.76
639,5,3.20
642,2064,7.60
644,5860,7.04
646,3388,7.00
650,8,3.19
651,1,1.00
652,9677,7.16
657,2805,7.08
658,3366,7.35
660,2165,6.66
664,3349,6.52
667,3,3.67
671,33,4.03
672,21011,7.70
673,50,2.68
674,21,2.69
675,18685,7.68
679,1,4.00
680,6,3.92
681,1,3.00
682,1905,6.45
686,4209,7.42
687,2,3.00
688,10,2.45
691,7,3.36
694,10,2.85
695,2,4.00
696,2,2.00
698,1,3.00
699,1731,6.52
700,7,3.14
707,27,3.11
712,2549,6.80
744,8069,7.10
745,62,4.19
746,1,2.00
752,14313,7.90
754,3,3.67
760,3,3.33
761,18,3.11
764,1,5.00
767,1,4.00
769,1,3.00
771,10705,7.43
772,9159,6.74
773,6915,7.69
782,6,3.33
786,69,3.11
788,68,3.08
790,1438,6.73
792,4264,7.75
801,12,3.21
805,49,3.77
807,20090,8.37
813,3,2.67
814,2296,7.39
819,3334,7.60
820,1,5.00
826,1955,7.80
829,7,1.00
830,26,3.13
834,1,3.00
837,18,3.67
838,41,3.82
840,2,3.50
841,7,3.71
847,1822,7.03
849,28,2.70
854,1,4.00
856,5388,7.52
858,200,4.49
859,1085,7.22
860,1740,7.08
861,12,3.50
865,1,4.00
867,1,3.00
869,4024,5.80
871,3502,7.70
873,1657,7.75
874,389,7.30
879,5,3.30
881,4,3.00
888,3,3.67
891,9,2.22
902,44,3.59
907,11,4.09
912,117,4.24
916,26,4.02
918,14,3.57
925,1645,7.76
927,5,4.50
928,23,4.17
931,16,3.81
935,6,4.08
936,13,3.69
938,11,3.82
941,4,3.88
942,26,3.88
948,11,3.59
949,16,3.59
951,26,4.21
957,1,4.00
966,1,4.00
968,27,4.11
987,1,3.00
988,4,3.75
990,1,2.50
991,12,3.50
994,22,4.25
1051,7,3.00
1052,1159,7.37
1073,148,3.75
1089,132,4.16
1091,27,2.63
1093,36,3.11
1103,40,3.94
1245,27,3.85
1366,13,3.96
1367,37,2.96
1368,5895,7.49
1369,2,2.50
1370,66,3.29
1371,47,3.05
1374,72,3.75
1375,54,3.31
1377,64,3.09
1380,90,3.48
1406,4,3.25
1408,43,3.62
1410,4,2.75
1412,836,6.95
1417,1,2.00
1443,3021,7.10
1492,776,6.23
1541,16,2.88
1551,1439,6.49
1552,59,3.26
1572,3,4.17
1573,83,3.45
1578,4074,7.95
1584,92,3.73
1587,24,3.33
1592,7,2.79
1594,14,3.43
1598,4,3.75
1607,2273,7.86
1621,2,3.00
1632,1,2.50
1634,1737,6.18
1637,5814,7.10
1639,65,3.57
1642,4,2.38
1648,9,3.17
1654,2,3.50
1662,307,6.97
1669,1,4.00
1687,21,2.95
1694,16,3.81
1700,4348,7.76
1705,836,5.72
1710,888,6.50
1713,16,2.50
1716,458,7.25
1723,151,6.92
1727,7,3.00
1788,4,4.25
1813,5621,7.46
1825,1563,6.39
1829,193,6.80
1863,7,2.21
1870,1,4.00
1871,679,6.83
1875,6,3.00
1880,2,4.00
1883,31,3.29
1884,44,3.63
1885,24,3.67
1891,1,2.00
1892,23,3.26
1923,123,3.55
1924,9,3.56
1945,29,4.45
1949,10,3.60
1955,31,3.84
2005,51,3.68
2007,1,2.00
2019,54,4.28
2038,8,3.56
2039,1,3.50
2071,8,3.75
2075,3,3.83
2087,38,3.63
2108,39,3.69
2116,19,3.42
2119,6,3.00
2124,35,3.29
2139,27,3.22
2144,46,3.83
2148,6,3.67
2149,2,2.00
2153,13,2.15
2161,38,3.30
2164,2,1.00
2186,23,4.26
2210,1,4.00
2246,1,2.00
2259,11,2.50
2277,3448,7.25
2280,5,3.50
2291,89,3.85
2320,4,2.75
2321,64,3.63
2322,7,3.00
2323,1,2.00
2436,8,3.50
2453,7,3.29
2457,5,3.20
2459,17,3.50
2462,4,2.13
2469,22,3.32
2487,1,3.00
2493,1,3.50
2501,35,4.10
2502,106,3.92
2503,7312,7.43
2528,28,3.30
2565,21,3.38
2604,1599,7.01
2605,41,3.15
2609,2,3.50
2614,1174,6.82
2616,27,2.63
2617,79,3.28
2619,1261,3.25
2620,3,4.33
2623,1035,7.01
2625,1,4.00
2636,1,5.00
2640,75,3.43
2649,1,5.00
2655,1,3.00
2666,2718,7.30
2668,10,3.00
2669,3,3.33
2731,14,3.89
2742,994,7.03
2756,2747,7.30
2758,1,4.00
2768,588,6.12
2788,22,4.09
2898,3714,7.40
2907,6,3.00
2912,17,3.76
2924,6,4.58
2926,21,3.67
2978,8,3.19
2984,1,5.00
2990,17,3.29
3004,13,2.62
3036,4,4.00
3049,5509,6.56
3053,10,2.80
3054,7,2.57
3055,2,3.50
3101,49,3.67
3116,1,4.00
3176,66,3.50
3480,7,3.71
3512,19,3.55
3525,5,3.40
3536,18,3.50
3580,1,5.00
3586,197,5.25
3591,18,3.31
3604,5,3.80
3870,1,3.00
3934,1,4.00
3980,14,3.25
4011,95,4.04
4032,1961,7.37
4034,73,3.91
4043,2,3.50
4104,2,0.75
4105,24,3.65
4180,1,4.00
4192,731,7.16
4193,397,6.89
4202,154,6.90
4203,4,2.13
4228,10,3.15
4235,30,4.18
4271,3,3.33
4274,2,2.50
4327,14,3.82
4437,4,4.13
4476,2441,7.39
4477,1,1.00
4478,6,3.58
4480,4,3.00
4481,468,7.60
4482,4,2.50
4483,4,2.50
4484,378,6.85
4485,211,6.78
4488,4,2.88
4546,5,3.80
4547,4669,6.77
4580,64,5.88
4584,1,5.00
4587,7,2.64
4680,1,2.00
4683,72,6.30
4722,3,4.33
4727,6,2.33
4728,8,2.94
4729,529,6.50
4730,8,4.40
4788,49,6.82
4823,19,3.21
4909,508,7.49
4918,162,6.19
4929,5,2.70
4946,446,7.00
4983,5,5.20
5121,3,4.50
5143,976,7.50
5144,39,5.62
5203,1,4.00
5228,72,5.60
5503,1,1.00
5548,2,3.50
5549,1762,5.99
5602,4,3.88
5902,42,3.77
5919,861,7.00
5923,2,2.75
5924,1796,7.85
5925,2385,7.94
5968,2,3.50
5971,26,4.23
6028,189,6.16
6037,1,3.00
6068,1378,6.06
6069,1306,6.53
6071,295,5.62
6075,2966,7.84
6081,401,6.40
6114,1,3.50
6217,472,6.07
6279,1,4.00
6312,1422,6.70
6320,103,5.90
6341,2,3.50
6399,573,6.87
6404,1,3.50
6444,212,6.52
6471,766,6.90
6474,1,2.00
6476,2,3.00
6488,1290,6.38
6520,1123,6.10
6538,1447,6.54
6620,17,3.65
6644,1,0.50
6916,760,7.43
6917,352,6.00
6950,1,2.50
6964,1549,6.60
6977,2,3.25
6978,5,3.30
7007,6,3.33
7091,9,4.11
7219,1,4.00
7227,271,5.61
7234,5,3.90
7326,6895,7.05
7340,1,4.50
7452,579,7.37
7459,1525,6.28
7520,1366,6.11
8005,1962,6.59
8007,1381,6.36
8009,1,3.50
8011,5,3.30
8012,4,4.38
8047,219,6.66
8068,2688,6.90
8069,672,6.00
8073,526,7.55
8075,262,7.10
8077,5257,6.40
8078,4548,6.10
8130,2,3.00
8217,271,6.40
8271,3367,6.69
8290,1,0.50
8337,9,3.67
8348,490,6.72
8358,11235,7.67
8367,2,3.00
8398,872,5.86
8428,328,7.00
8446,265,6.60
8467,5795,6.62
8469,1464,6.99
8491,3,3.50
8512,359,6.41
8536,2143,6.73
8592,887,6.15
8665,74,3.79
8690,1,3.00
8692,86,5.50
8736,651,6.71
8764,1083,7.10
8810,18,2.64
8831,1,2.50
8833,4,3.88
8839,1,2.50
8844,10093,7.24
8845,1439,6.27
8851,1,2.00
8852,920,6.77
8856,2053,6.27
8867,543,5.80
8872,1,3.50
8963,1,0.50
8984,34,2.91
8986,1,4.00
8987,2,3.50
9037,646,5.10
9040,1798,7.54
9041,184,6.94
9048,81,6.30
9050,114,6.67
9051,224,5.59
9056,836,7.50
9059,447,6.83
9061,511,6.21
9064,1034,6.40
9079,426,6.68
9080,584,6.19
9086,503,6.50
9087,666,6.55
9089,166,6.30
9090,605,7.27
9102,500,6.20
9208,1404,6.00
9263,402,6.90
9264,335,5.50
9271,502,5.51
9272,893,6.70
9273,3919,6.31
9277,2447,8.02
9281,1559,7.09
9292,936,5.66
9312,2152,5.84
9315,2465,6.45
9317,819,6.37
9319,1763,6.81
9326,1717,6.76
9331,1400,6.65
9340,5435,7.52
9343,706,7.63
9348,1516,5.95
9349,1580,6.28
9350,2225,6.49
9354,2889,6.30
9355,2649,6.20
9356,1320,5.49
9359,1499,6.87
9361,2877,7.40
9362,3037,6.89
9366,4190,7.50
9374,2448,6.75
9377,4656,7.60
9378,1981,6.23
9382,198,6.30
9387,2335,6.80
9390,3076,6.95
9394,1241,7.60
9395,637,6.07
9396,1042,5.82
9399,970,6.50
9411,1320,6.80
9426,4153,7.40
9428,4332,7.49
9446,457,5.27
9462,1067,7.40
9474,876,7.26
9475,3178,7.78
9479,8999,7.84
9481,3288,6.79
9482,2253,5.78
9489,3214,6.69
9491,369,5.82
