nom,popularite,pays
De Rome,314983,it
Russo,101646,it
De Savoie,66144,it
Esposito,63496,it
Rossi,61826,it
Marino,54030,it
Este,50037,it
Romano,49029,it
Visconti,46252,it
Gallo,45351,it
Greco,43486,it
Rizzo,42855,it
Amato,42524,it
Bruno,40187,it
De Lombardie,39660,it
Ferrari,36323,it
Angelo,35360,it
Giordano,35342,it
Lombardo,35020,it
Messina,34340,it
Longo,33936,it
Palumbo,32246,it
Caruso,32231,it
Iacono,31497,it
Ricci,31479,it
Bonaparte,30928,it
Costa,30725,it
Ferrara,29698,it
Gentile,29426,it
Lombardi,29215,it
Licata,27830,it
Vella,27713,it
Orlando,27452,it
De Frioul,27184,it
Leone,27110,it
Italie,27019,it
De Medicis,26172,it
Orsini,25772,it
Catalano,25749,it
Amico,25541,it
Ferraro,25533,it
Martino,24837,it
Piazza,24699,it
Santoro,24171,it
Vaccaro,24062,it
De Hauteville,23952,it
Montalbano,23945,it
De Luca,23774,it
Mattera,23417,it
Vitale,23181,it
Mancini,22867,it
Agostino,22626,it
Alaimo,22151,it
Mule,21943,it
Ughetto,21930,it
Anjou,21839,it
Falcone,21770,it
Conte,21528,it
Di Marco,21413,it
Onofrio,21179,it
Barone,20469,it
Maggio,20249,it
Parisi,19625,it
Bianco,19444,it
Miceli,19401,it
Di Martino,19186,it
Barbieri,19112,it
Coppola,19024,it
Fontana,18668,it
Riccio,18565,it
Rinaldi,18216,it
Sforza,17852,it
Battaglia,17803,it
Ragusa,17789,it
Burgio,17779,it
Fusco,17727,it
Alfano,17634,it
Di Stefano,17559,it
Volpe,17413,it
Di Rosa,17234,it
Monaco,17229,it
Basile,17179,it
De Medici,17068,it
Gagliano,17036,it
Pagano,16892,it
Conti,16860,it
Marchese,16817,it
Maniscalco,16758,it
Sanfilippo,16583,it
Lauricella,16572,it
Costanza,16479,it
Bianchi,16313,it
Ruggiero,16127,it
Farina,15867,it
Ferrante,15841,it
Valenti,15779,it
Fiore,15678,it
Perrone,15673,it
Mazza,15647,it
Palmieri,15620,it
Pecoraro,15615,it
Campo,15556,it
Mancuso,15545,it
Pace,15401,it
Valente,15365,it
Carbone,15192,it
La Rocca,15108,it
Todaro,15018,it
Franco,15017,it
Geraci,14762,it
De France,14734,it
Testa,14703,it
Palermo,14650,it
Aragon,14637,it
Di Lorenzo,14545,it
Salerno,14530,it
Ferro,14514,it
Sacco,14442,it
Di Francesco,14432,it
Di Carlo,14422,it
Arnone,14269,it
Macaluso,14144,it
Colletti,13965,it
Marrone,13951,it
De Bourbon,13866,it
Cusumano,13677,it
Martini,13676,it
Spinelli,13660,it
Romeo,13616,it
Cannella,13605,it
Cimino,13593,it
Di Caro,13553,it
Lo Presti,13551,it
Calabrese,13470,it
Schembri,13460,it
Morreale,13289,it
Catania,13252,it
Farnese,13238,it
Martinelli,13216,it
Grimaldi,13212,it
Napoli,13183,it
Morelli,13122,it
Collura,13089,it
Caputo,13069,it
Castellano,13039,it
Guarino,13037,it
Bono,13010,it
Giardina,12966,it
Lupo,12940,it
Viola,12909,it
De Santis,12836,it
Doria,12824,it
Ambrosio,12809,it
Di Pietro,12742,it
Cacciatore,12653,it
Di Scala,12631,it
De Montferrat,12608,it
Basso,12574,it
Andrea,12551,it
Napolitano,12476,it
Bernardi,12457,it
Cardinale,12425,it
Corso,12396,it
Di Paolo,12391,it
Pellegrini,12357,it
Gambino,12339,it
Rome,12298,it
Serra,12274,it
Lentini,12254,it
Cavallo,12192,it
Di Santo,12174,it
Pepe,12144,it
Del Vecchio,12134,it
Carlino,12073,it
Di Leo,12057,it
De Sicile,11924,it
Di Benedetto,11862,it
Di Maria,11815,it
Errico,11744,it
Peyronel,11658,it
Falco,11652,it
Papa,11598,it
Di Salvo,11565,it
Sciortino,11520,it
Santangelo,11518,it
Di Simone,11512,it
Mariani,11505,it
Puccio,11492,it
Abbate,11412,it
Zambito,11398,it
Gonzaga,11394,it
Bellavia,11385,it
Colonna,11241,it
Buono,11235,it
Vecchio,11233,it
Longobardi,11232,it
Van Rome,11189,it
Zito,11185,it
Cipolla,11160,it
Pellegrino,11078,it
Campagna,10966,it
Biondi,10942,it
Modica,10916,it
Ferrero,10900,it
Castelli,10900,it
Oliveri,10893,it
Rizzi,10885,it
Tedesco,10884,it
Di Gregorio,10876,it
Milesi,10862,it
Bonanno,10860,it
Silvestri,10833,it
Berardi,10778,it
Aiello,10763,it
Marotta,10753,it
Argento,10729,it
Malavasi,10699,it
Pusateri,10690,it
Capobianco,10660,it
Meli,10653,it
Milazzo,10651,it
Forte,10607,it
Trapani,10590,it
Locatelli,10582,it
Rosa,10557,it
Marsala,10530,it
Grasso,10494,it
Farruggia,10491,it
Moretti,10464,it
Alessandro,10411,it
Colucci,10379,it
Noto,10375,it
Arrigo,10357,it
Mazzella,10343,it
Di Biase,10302,it
Gatto,10297,it
Di Maio,10295,it
Di Franco,10289,it
Grillo,10278,it
Siragusa,10272,it
Di Meglio,10238,it
Lovera,10238,it
De Rosa,10220,it
Urso,10214,it
Nicolosi,10181,it
Molinari,10180,it
Albanese,10179,it
Di Fiore,10170,it
Magro,10151,it
Tortorici,10150,it
Cuomo,10147,it
Alessi,10058,it
Vinci,10048,it
Bosco,10046,it
Sanzone,10044,it
Rosso,10028,it
Lanza,10015,it
Damiano,10010,it
Sorrentino,9971,it
Lauria,9970,it
Caracciolo,9954,it
Simone,9900,it
De Vermandois,9896,it
Provenzano,9896,it
Salamone,9883,it
Patti,9843,it
Cammarata,9841,it
De Angelis,9838,it
Malan,9835,it
Guerra,9831,it
Di Matteo,9830,it
Pinto,9810,it
Palmisano,9803,it
Orleans,9788,it
Grisafi,9750,it
Martin,9726,it
Luciani,9721,it
Pugliese,9696,it
Aquino,9657,it
Randazzo,9656,it
Di Cesare,9652,it
Martorana,9647,it
Ippolito,9601,it
Sciascia,9596,it
Rocca,9591,it
Anna,9585,it
Mantia,9543,it
Moro,9529,it
Di Napoli,9509,it
Nobile,9478,it
Spina,9453,it
Gabriele,9424,it
Di Felice,9390,it
Musso,9388,it
Buscemi,9299,it
Catanzaro,9248,it
Butera,9230,it
Mangione,9216,it
Campana,9178,it
Sala,9176,it
Di Giovanni,9165,it
Leo,9146,it
Di Luca,9139,it
Ruggieri,9137,it
Giglio,9105,it
De Simone,9059,it
Morello,9008,it
Augello,8995,it
Migliore,8994,it
Sartori,8989,it
Auria,8988,it
Alonge,8969,it
Grosso,8950,it
Di Capua,8945,it
Caruana,8931,it
De Bourgogne,8920,it
Graziano,8897,it
Costanzo,8876,it
Di Maggio,8872,it
Adamo,8857,it
Stella,8855,it
Vassallo,8853,it
Bevilacqua,8853,it
Brancato,8847,it
Circelli,8834,it
Attardo,8831,it
Rubino,8805,it
Fazio,8786,it
Migliaccio,8778,it
Contino,8777,it
Fieschi,8770,it
Regazzoni,8748,it
Bucci,8745,it
Falzone,8743,it
Nocera,8733,it
Tartaglia,8702,it
Cavallaro,8689,it
Neri,8688,it
Di Palma,8685,it
Gavioli,8667,it
Mantovani,8666,it
Valentini,8635,it
De Hohenstaufen,8632,it
Lo Giudice,8620,it
Borgia,8616,it
Di Pasquale,8607,it
Paolucci,8595,it
Battista,8558,it
Di Meo,8552,it
Arena,8544,it
Pacifico,8543,it
Natale,8533,it
Pisano,8516,it
Galli,8491,it
Curto,8466,it
Di Giacomo,8464,it
Campisi,8450,it
Salvi,8422,it
Ciaccio,8417,it
Ostrogothie,8411,it
Rosato,8395,it
Castiglione,8390,it
Salvaggio,8376,it
Presti,8364,it
Infantino,8349,it
Genovese,8334,it
Gagliardi,8326,it
De Spolete,8325,it
Barra,8311,it
Rizzuto,8300,it
Mercurio,8296,it
Giuliano,8267,it
Cacioppo,8248,it
De Provence,8226,it
Casa,8218,it
Liotta,8194,it
Triolo,8190,it
Ricciardi,8188,it
Salvatore,8187,it
Di Savoia,8179,it
Di Blasi,8156,it
Amore,8150,it
Coniglio,8147,it
Grassi,8144,it
Ferri,8132,it
Pavia,8073,it
Zarbo,8067,it
Matranga,8066,it
Ivree,8038,it
Di Iorio,8006,it
