nom,popularite,pays
Guimaraes,6966,pt
Souza,6729,pt
Do Espirito Santo,6582,pt
Becker,6579,pt
Abreu,6570,pt
Barreto,6557,pt
Manuel,6452,pt
Cardozo,6230,pt
Schmidt,6204,pt
De Bragance,6164,pt
Fagundes,6161,pt
De Magalhaes,6130,pt
Leal,6092,pt
Pedroso,6068,pt
Andre,6020,pt
De Noronha,6007,pt
Klein,5945,pt
Raposo,5895,pt
Gil,5894,pt
Da Rosa,5878,pt
Luiz,5855,pt
Anes,5787,pt
De Godoy,5784,pt
Sousa,5774,pt
De Arruda,5729,pt
Leitao,5685,pt
Antonia,5682,pt
De Leon,5629,pt
Do Amaral,5595,pt
De Sao Jose,5560,pt
De Goes,5529,pt
Dutra,5521,pt
Ramalho,5514,pt
Freitas,5506,pt
Weber,5478,pt
Andrade,5458,pt
Of Portugal,5404,pt
Pais,5330,pt
Cruz,5314,pt
Viegas De Ribadouro,5293,pt
De Vasconcellos,5252,pt
Brandao,5228,pt
Figueira,5145,pt
Mendes De Sousa,5109,pt
Camara,5044,pt
Van Portugal,5028,pt
Schmitt,5005,pt
Ribeira,4979,pt
Goulart,4978,pt
Pereira Da Silva,4960,pt
Guerreiro,4732,pt
Preto,4643,pt
De Franca,4630,pt
Caldeira,4604,pt
Araujo,4545,pt
De Toledo,4507,pt
De Avila,4451,pt
Lobo,4449,pt
Schmitz,4436,pt
De Castille,4435,pt
Nunes Velho,4403,pt
De Bettencourt,4384,pt
Affonso,4342,pt
Dos Anjos,4284,pt
De Gouveia,4160,pt
Campos,4137,pt
De Vargas,4120,pt
Ferraz,4098,pt
Xavier,4091,pt
Fialho,4088,pt
Rego,3972,pt
Albuquerque,3959,pt
Bras,3958,pt
Gago,3950,pt
Bender,3919,pt
Barros,3906,pt
Peixoto,3904,pt
De Morais,3879,pt
Soares Velho,3869,pt
Joaquim,3836,pt
Chaves,3828,pt
De Savoie,3826,pt
Guedes,3818,pt
Manoel,3816,pt
Scherer,3816,pt
Branco,3816,pt
De Chaves,3810,pt
Espirito Santo,3788,pt
Diniz,3785,pt
Neto,3758,pt
Moraes,3746,pt
Castro,3740,pt
Rosario,3739,pt
Madeira,3725,pt
Petry,3704,pt
Medeiros,3682,pt
Back,3638,pt
Azevedo,3637,pt
Miranda,3629,pt
De Meneses,3628,pt
Figueiredo,3607,pt
Aviz,3597,pt
De Gouvea,3541,pt
De Nobrega,3534,pt
Carreira,3515,pt
Furtado De Mendonca,3501,pt
Batista,3499,pt
Goncalves Pereira,3492,pt
Sehnem,3480,pt
Do Rosario,3477,pt
Michels,3461,pt
Braga,3442,pt
Jacinta,3427,pt
Homem,3414,pt
Maia,3404,pt
Luz,3403,pt
Rebelo,3361,pt
De Quadros,3356,pt
Simao,3348,pt
Da Luz,3335,pt
Barata,3319,pt
Rodrigues De Vasconcelos,3289,pt
Trindade,3274,pt
Lucas,3272,pt
Kern,3261,pt
Da Motta,3259,pt
De Baiao,3236,pt
Frz,3217,pt
De Castilla,3197,pt
Da Encarnacao,3178,pt
Joam,3168,pt
Du Portugal,3168,pt
Rodrigues Da Silva,3159,pt
Pestana,3157,pt
Rodrigues Pereira,3144,pt
Aragon,3143,pt
Ritter,3138,pt
De Mesquita,3134,pt
Pedro,3130,pt
Meurer,3124,pt
Penteado,3111,pt
Ferreira Da Silva,3107,pt
De Loureiro,3106,pt
Kuhnen,3101,pt
Caetano,3096,pt
De Sampaio,3072,pt
De Resende,3063,pt
Camargo,3063,pt
Saraiva,3046,pt
Martins Da Cunha,3042,pt
Roz,3035,pt
Guerra,3029,pt
Soares Da Silva,3024,pt
Hoffmann,2999,pt
Coelha,2980,pt
Mendes De Vasconcelos,2976,pt
Goncalves Da Camara,2970,pt
Soares De Albergaria,2968,pt
Aguiar,2964,pt
Freyre,2961,pt
