nom,popularite,pays
Stromberg,85401,se
Holmstrom,85325,se
Dahlberg,85218,se
Hallberg,84766,se
Olson,84738,se
Bostrom,84332,se
Nordin,84069,se
Carlsdr,83876,se
Axelsson,83781,se
Israelsson,83061,se
Augustsson,83009,se
Abrahamsdotter,82992,se
Bengtsdr,82302,se
Olufsdotter,80999,se
Simonsson,80942,se
Parsdr,79900,se
Mansdr,79369,se
Boman,78850,se
Ekman,78664,se
Gunnarsson,78540,se
Erichsdotter,76925,se
Backstrom,76605,se
Bjorkman,76191,se
Falk,75854,se
Person,75387,se
Trulsson,74497,se
Eliasdotter,74432,se
Johannisson,73997,se
Kristiansson,72853,se
Olasdotter,72677,se
Hedberg,72274,se
Henriksdotter,72133,se
Backman,71767,se
Norman,69804,se
Ek,69673,se
Andersd,68893,se
Bryngelsson,68702,se
Dahl,68549,se
Sjostrom,68148,se
Soderlund,68030,se
Stenberg,67741,se
Moberg,67646,se
Hermansson,67586,se
Erlandsson,67472,se
Osterberg,67210,se
Wikstrom,66992,se
Palm,66915,se
Dahlstrom,66506,se
Blomberg,66109,se
Hoglund,65917,se
Borjesdotter,65657,se
Niklasson,65271,se
Friberg,65265,se
Dahlgren,65122,se
Lindholm,64772,se
Palsdotter,62990,se
Isaksdotter,62758,se
Borg,62749,se
Nygren,62453,se
Christiansson,62129,se
Norstrom,61677,se
Englund,61196,se
Holmqvist,60584,se
Westerberg,60246,se
Joransson,60198,se
Jeppsson,59856,se
Malmberg,59798,se
Hagstrom,58876,se
Lindblom,58868,se
Josefsson,58591,se
Johannisdotter,57556,se
Ohlsson,57464,se
Borgesson,57266,se
Malm,57171,se
Berntsson,56927,se
Matsdr,56718,se
Johanson,56386,se
Strandberg,55662,se
Aronsson,55292,se
Petersdr,55192,se
Jacobsdr,54939,se
Hedstrom,54693,se
Hedman,54319,se
Hogberg,53843,se
Hellberg,53819,se
Eriksdr,53818,se
Ostlund,53533,se
Molin,53364,se
Haglund,53278,se
Lindahl,53147,se
Frisk,53071,se
Sundqvist,52488,se
Sundin,51957,se
Mattsdr,51923,se
Adolfsson,51785,se
Edlund,51719,se
Vikstrom,51698,se
Skog,51154,se
Ericksson,51144,se
Ljungberg,50206,se
Hall,49847,se
Agren,49769,se
Ohman,49579,se
Michelsson,49479,se
Skoglund,48680,se
Lindblad,48522,se
Davidsson,48463,se
Strand,48003,se
Svenson,47775,se
Wahlstrom,47761,se
Lof,47456,se
Ahlstrom,47122,se
Viklund,46202,se
Nord,45990,se
Hallgren,45918,se
Akesdotter,45753,se
Emanuelsson,45699,se
Ericsdr,45659,se
Kristensson,45614,se
Torstensson,45562,se
Olausdotter,45316,se
Erson,45123,se
Lilja,45087,se
Hanson,44905,se
Hagberg,44503,se
Alm,44360,se
Peterson,44284,se
Malmstrom,43781,se
Lundmark,43304,se
Erikson,43016,se
Jonasdr,42978,se
Olofson,42867,se
Oman,42655,se
Bolin,42602,se
Wiberg,42601,se
Gabrielsdotter,42488,se
Hindriksson,42241,se
Edstrom,42050,se
Bryngelsdotter,42013,se
Martinsson,41756,se
Salomonsson,41445,se
Ekberg,41360,se
Zachrisson,41264,se
Goransdotter,41248,se
Christoffersson,41220,se
Mattisson,41097,se
Israelsdotter,40830,se
Wiklund,40787,se
Wahlberg,40741,se
Backlund,40668,se
Westerlund,40622,se
Alexandersson,40266,se
Klasson,40265,se
Norling,40211,se
Martensdr,40002,se
Ahlberg,39987,se
Rasmusdotter,39907,se
Broberg,39892,se
Broman,39657,se
Asplund,39201,se
