voie,rue,place,avenue,boulevard,ruelle,route,quai,allée,chemin
de la Mairie,1,1,0,0,0,0,0,0,0
de l'École,1,1,0,0,0,1,0,0,0
des Écoles,1,1,0,0,0,1,0,0,0
de la Gare,1,1,0,0,0,0,0,0,0
de la Poste,1,1,0,0,0,0,0,0,0
de la Prison,1,1,0,0,0,0,0,0,0
du Moulin,1,1,0,0,0,0,0,0,0
du Château,1,0,0,0,0,0,0,0,0
du Lavoir,1,0,0,0,0,0,0,0,0
de la Fontaine,1,0,0,0,0,0,0,0,0
du Stade,1,0,0,0,0,0,0,0,0
de la Forge,1,0,0,0,0,0,0,0,0
de l'Église,1,1,0,0,0,0,0,0,0
de la Chapelle,1,0,0,0,0,0,0,0,0
du Presbytère,1,1,0,0,0,0,0,0,0
du Calvaire,1,0,0,0,0,0,0,0,0
de la Croix,1,0,0,0,0,0,0,0,0
Grande Rue,0,0,0,0,0,0,0,0,0
Grand Rue,0,0,0,0,0,0,0,0,0
Rue Haute,0,0,0,0,0,0,0,0,0
Le Moulin,0,0,0,0,0,0,0,0,0
Le Village,0,0,0,0,0,0,0,0,0
du Centre,1,0,0,0,0,0,0,0,0
du Faubourg,1,0,0,0,0,0,0,0,0
du Centre,1,0,0,0,0,0,0,0,0
du Breuil,1,0,0,0,0,0,0,0,0
du Pont,1,0,0,0,0,0,0,0,0
du Mont,1,0,0,0,0,0,0,0,0
de la Vallée,1,0,0,0,0,0,0,0,0
du Paquis,1,0,0,0,0,0,ce0,0,0
des Jardins,1,0,0,0,0,0,0,0,0
des Grands Jardins,1,0,0,0,0,0,0,0,0
des Beaux Jardins,1,0,0,0,0,0,0,0,0
de la Forêt,1,0,0,0,0,0,0,0,0
de la Pinède,1,0,0,0,0,0,0,0,0
des Vergers,1,0,0,0,0,0,0,0,0
de l'Étang,1,0,0,0,0,0,0,0,0
des Sources,1,0,0,0,0,0,0,0,0
des Marais,1,0,0,0,0,0,0,0,0
de la Prairie,1,0,0,0,0,0,0,0,0
de la Vologne,1,0,0,0,0,0,0,0,0
du Rabodeau,1,0,0,0,0,0,0,0,0
de la Meurthe,1,0,0,0,0,0,0,0,0
Cité joyeuse,0,0,0,0,0,0,0,0,0
Poupée qui tousse,1,0,0,0,0,0,0,0,0
d'Alsace,1,0,0,0,0,0,0,0,0
d'Épinal,1,0,0,0,0,0,0,0,0
de la Creuse,1,0,0,0,0,0,0,0,0
de la Libération,1,0,0,0,0,0,0,0,0
de Lorraine,1,0,0,0,0,0,0,0,0
de Verdun,1,0,0,0,0,0,0,0,0
Lendemains qui chantent,1,0,0,0,0,0,0,0,0
de l'Étoile,1,0,0,0,0,0,0,0,0
de la Paix,1,0,0,0,0,0,0,0,0
