voie,rue,place,avenue,boulevard,ruelle,route,quai,allée,chemin
du Canard boiteux,1,0,0,0,1,0,0,1,1
du Cheval borgne,1,0,0,0,1,0,0,1,1
du Loup Solitaire,1,0,0,0,1,0,0,1,1
du Hérisson,1,0,0,0,1,0,0,1,1
de la Chouette,1,0,0,0,1,0,0,1,1
de la Patte d'oie,1,0,0,0,1,0,0,1,1
de la Queue de cochon,1,0,0,0,1,0,0,1,1
du Darou,1,0,0,0,1,0,0,1,1
de la Truite,1,0,0,0,0,0,1,0,0
des Alouettes,1,0,0,0,0,0,1,0,0
des Oliviers,1,0,0,0,0,0,0,0,0
des Lauriers,1,0,0,0,0,0,0,0,0
des Amandiers,1,0,0,0,0,0,0,0,0
des Tilleuls,1,0,0,0,0,0,0,0,0
des Chênes,1,0,0,0,0,0,0,0,0
des Bouleaux,1,0,0,0,0,0,0,0,0
des Saules,1,0,0,0,0,0,0,0,0
des Lilas,1,0,0,0,0,0,0,0,0
des Rosiers,1,0,0,0,0,0,0,0,0
des Frênes,1,0,0,0,0,0,0,0,0
des Châtaigniers,1,0,0,0,0,0,0,0,0
des Jonquilles,1,0,0,0,0,0,0,0,0
des Joncs,1,0,0,0,0,0,0,0,0
