code,langue,français
afr,Afrikaans,Afrikaans
ain,アイヌ イタㇰ,Aïnou
amh,አማርኛ,Amharique
arb,العربية,Arabe
aym,Aymar aru,Aymará
aze,Azərbaycanca,Azéri
bal,بلوچی,Baloutche
bel,беларуская мова,Biélorusse
ben,বাংলা,Bengalî
ber,ⵜⴰⵎⴰⵣⵉⵖⵜ,Berbère
bod,བོད་སྐད་,Tibétain
bre,Brezhoneg,Breton
bug,ᨅᨔ ᨕᨘᨁᨗ,Bugis
bul,Български,Bulgare
cat,Català,Catalan
ces,Čeština,Tchèque
cre,ᓀᐦᐃᔭᐍᐏᐣ,Cri
dan,Dansk,Danois
deu,Deutsch,Allemand
div,ދިވެހިބަސ,Maldivien
ell,Ελληνικά,Grec
eng,English,Anglais
est,Eesti keel,Estonien
eus,Euskara,Basque
fao,Føroyskt,Féroïen
fas,فارسی,Perse
fin,Suomi,Finnois
fra,Français,Français
ful,Fulfulde,Peul
fur,furlan,Frioulan
gil,taetae ni Kiribati,Gilbertin
gle,Gaeilge,Irlandais
glg,Galego,Galicien
guj,ગુજરાતી,Goudjrati
hbs,Srpskohrvatski,Serbo-croate
heb,עברית,Hébreu
hin,हिन्दी,Hindî
hpl,"R'lyehian","R'lyehien"
hrv,Hrvatski,Croate
hun,Magyar,Hongrois
hye,Հայերեն,Arménien
isl,Íslenska,Islandais
ita,Italiano,Italien
jpn,日本語,Japonais
kal,Kalaallisut,Groenlandais
kat,ქართული,Géorgien
kaz,Қазақ тілі,Kazakh
khm,ភាសាខ្មែរ,Khmer
kin,kinyaRwanda,Rwanda
kir,Кыргыз тили,Kirghize
kor,한국어,Coréen
kur,كوردی,Kurde
lao,ພາສາລາວ,Lao
lav,Latviešu valoda,Letton
lit,Lietuvių kalba,Lituanien
ltz,Luxembourgeois,Lëtzebuergesch
mai,मैथिली,Maïthili
mkd,Македонски јазик,Macédonien
mlg,Malagasy fiteny,Malgache
mlt,Malti,Maltais
mon,ᠮᠣᠨᠭᠭᠣᠯ ᠬᠡᠯᠡ,Mongol
msa,ꤷꥁꤼ ꤸꥍꤾꤿꥈ,Malais
mya,မျန္မာစာ,Birman
myn,"Màaya T'àan",Maya
nau,Ekakairũ Naoero,Nauri
nci,Nāhuatlahtōlli,Nahuatl
nep,नेपाली,Népalais
nld,Nederlands,Néerlandais
nno,Norsk nynorsk,Norvégien nynorsk
nob,Norsk bokmål,Norvégien bokmål
oto,Otomí,Otomi
pan,پنجابی,Pendjabi
pap,Papiamentu,Papiamento
pol,Polski,Polonais
por,Português,Portugais
pus,پښت,Pachtou
rcf,kréol rénioné,Créole réunionnais
roh,Rumantsch grischun,Romanche
rom,Romani ćhib,Romani
ron,Română,Roumain
run,kiRundi,Roundi
fut,ᚠᚢᚦᚨᚱᚲ,Futhark
rus,русский,Russe
sin,සිංහල,Singhalais
slk,Slovenčina,Slovaque
slv,Slovenščina,Slovène
sme,Sámi,Same
som,Soomaaliga,Somali
spa,Español,Espagnol
sqi,Shqip,Albanais
srd,Sardu,Sarde
srn,Sranantonga,sranan tongo
swa,kiSwahili,Swahili
swe,Svenska,Suédois
syr,ܣܘܪܝܝܐ,Syriaque
tam,தமிழ்,Tamoul
tat,Tatarça,Tatar
tel,తెలుగు,Télougou
tgk,Тоҷикӣ,Tadjik
tgl,Tagalog,Philippin
tha,ภาษาไทย,Thaï
tir,ትግርኛ,Tigrigna
tuk,Түркмен,Turkmène
tur,Türkçe,Turc
tvl,'gana Tuvalu,Touvalouéen
ukr,Українська,Ukrainien
urd,اردو,Ourdou
uzb,O'zbek,Ouzbek
vie,Tiếng Việt,Vietnamien
wol,Wolof,Wolof
xho,isiXhosa,Xhosa
zho,中文,Chinois
zul,isiZulu,Zoulou
