code,num4217,nom,format,change,date,creation,disparition,division,minor
ADP,20,peseta,#,214.74300,,,,,
AED,784,dirham,Dhs. #,###.##,4.77809,,,,100 fils,
AFA,4,afghani,#,0.00000,,,2003-01-02,100 puli,pul
AFN,971,afghani,#,55.65690,,2002-10-07,,100 puli,pul
ALL,8,lek,#,125.92200,,,,100 quindars,
AMD,51,dram,#,###.##AMD,721.81600,,,,100 louma,louma
ANG,532,florin,#,2.30803,,,,100 cents,
AOA,973,kwanza,#,113.29400,,,,100 iwei,
AOK,,kwanza reajustado,#,0.00000,,,,,
AOR,,kwanza reajustado,#,0.00000,,,,,
ARS,32,nuevo peso,$#.###,##,3.80629,,,,100 centavos,centavo
ATS,40,Schilling autrichien,?S #.###,##,13.76030,1998-12-31,,1998-12-31,100 Groschen,
AUD,36,Dollar australien,$# ###.##,1.67920,,,,100 cents,cent
AWG,533,Aruban Guilder,AWG #,###.##,1.95017,,,,100 cents,cent
AZM,31,Manat dAzerbaïdjan,#,6381.97000,,,,100 gopik,
BAM,977,Mark bosniaque convertible,#,###.##AZM,1.95583,,,,,
BBD,52,Dollar,#,2.65113,,,,100 cents,
BDT,50,Taka Bangladesh,Bt. #,###.##,82.40230,,,,100 paisa,
BEF,56,Franc belge,BEF #.###,40.33990,1998-12-31,,1998-12-31,100 centimes,
BGL,,Lev bulgare,# ###,## lv,0.00000,,,,,
BGN,975,Lev bulgare (Nouveau),#,1.95590,,,,100 stotinki,
BHD,48,Dinar de Bahrein,BD #,###.###,0.49044,,,,1000 fils,
BIF,108,Franc,#,1402.98000,,,,100 centimes,
BMD,60,Dollar,$#,###.##,1.30085,,,,100 cents,
BND,96,Dollar de Brunei,$#,###.##,2.12858,,,,100 cents,
BOB,68,Boliviano,Bs#,###.##,10.47960,,,,100 centavos,
BRL,986,Real brésilien,R$ #.###,##,3.44660,,,,100 centavos,
BSD,44,Dollar,$#,###.##,1.30085,,,,100 cents,
BTN,64,Ngultrum,#,56.88620,,,,100 roupies,
BWP,72,Pula du Bostwana,P#,###.##,0.10149,,,,100 thebe,
BYB,,BYB,#,0.00000,,,,,
BYR,974,Rouble bélarus,#,2831.14000,,,,100 kopeks,
BZD,84,Dollar,$#,###.##,2.56267,,,,100 cents,
CAD,124,Dollar canadien,$#,###.##,1.62860,,,,100 cents,
CDF,976,Franc,#,608.79800,,,,100 centimes,
CHF,756,Franc suisse,#,1.54130,,,,100 centimes / rappen,
CLP,152,Peso chilien,$#.###,764.24900,,,,,
CNY,156,Yuan chinois,Y#,###.##,10.76650,,,,10 chiao - 100 fen,
COP,170,Peso colombien,$#.###,##,3087.89000,,,,,
COU,970,Unidad de Valor Real,#,0.00000,,,,,
CRC,188,Colon du Costa Rica,? #.###,##,601.31800,,,,,centimo
CSD,891,Serbian Dinar,#,0.00000,,,,,
CUP,192,Peso cubain,$ #,###.##,1.30085,,,,,
CVE,132,Escudo capverdien,#,110.27000,,,,,
CYP,196,Livre chypriote,?#.###,##,0.58300,,,,100 cents,
CZK,203,Couronne tchèque,#.###,## Kc,29.64700,,,,100 haléru,
DEM,276,Mark allemand,#.###,##DM,1.95583,1998-12-31,,1998-12-31,100 Pfennig,
DJF,262,Franc de Djibouti,#,231.18700,,,,,
DKK,208,Couronne danoise,kr.#.###,##,7.44330,,,,100 ?re,
DOP,214,Peso dominicain,$ #,###.##,35.77340,,,,,
DZD,12,Dinar algérien,#,91.21660,,,,100 centimes,
ECS,,Ecuador,#,0.00000,,,,,
EEK,233,Couronne estonienne,# ###,## EEK,15.64660,,,,100 sents,
EGP,818,Livre égyptienne,L.E. #,###.##,7.59696,,,,100 piastres,
ERN,232,Nakfa,#,12.48820,,,,,
ESP,724,Peseta espagnole,#,166.38600,1998-12-31,,1998-12-31,100 céntimos,
ETB,230,Birr éthiopien,#,11.31270,,,,,
EUR,978,Euro,#,1.00000,,,,100 centimes,
FIM,246,Mark finlandais,# ###,## mk,5.94573,1998-12-31,,1998-12-31,100 penni,
