AR_Ref,AR_Design,FA_CodeFamille,AR_PrixAch,AR_PrixVen
0001181048,SOUFFLET DE POMPE MILROYAL,PRPDI2,0.000000,0.000000
00019C3105,JOINT DE CHAPEAU,PRPDI2,0.000000,0.000000
0002021118,MEMBRANE SUPERIEURE D250,PRVAM,0.000000,0.000000
0002029018,MEMBRANE INFERIEURE DN250 - OBSOLETE AU 23/06/16,PRVAM,0.000000,0.000000
0011002524,RACCORD SYM. ALU + VERROU DN40 DA40,VAD,13.650000,27.000000
0011005531,RACCORD SYM. ALU + VERROU DN50 DA50,VAD,9.720000,31.000000
0011020517,"RACCORD SYM. ALU + VERROU DN40 - 1""1/2 Gaz mâle""",VAD,11.710000,23.000000
0011020532,"RACCORD SYM. ALU + VERROU DN50 me 1""1/2""",VAD,19.750000,39.500000
0011022517,"RACCORD SYM. ALU + VERROU DN40 - 1""1/2 Gaz fem.""",VAD,12.440000,25.000000
002221275,JOINT TORIQUE 171 X 3.53 NITRILE - Tmax : 85°C,PRPCM,2.260000,4.500000
002221281,JOINT TORIQUE 209.1 x 3.53,PRPCM,2.480000,5.000000
002221288,JOINT TORIQUE 253.6 x 3.53,PRPCM,2.340000,3.800000
002221691,JOINT TORIQUE 189.87 x 5.33 VITON,PRPCM,8.820000,12.600000
002221696,JOINT TORIQUE 247.01 X 5.34 FPM,PRPCM,14.810000,29.620000
002221697,JOINT TORIQUE DE CORPS 278.76x5.34,PRPCM,18.590000,31.000000
002228440,G-M MOBILE 3/25 x 27 X6H62,PRPCM,13.640000,28.000000
002229040,G-M FIXE 3 D25 V6,PRPCM,11.160000,23.000000
002232200,G.M. COMPLETE D22X27.5 - X6H62V6 - Tmax : 85°C,PRPCM,27.740000,63.200000
002232201,G-M COMPLETE 3K22,PRPCM,35.470000,62.000000
002232273,G-M COMPLETE Carbure de Tungste/Carbone/Viton,PRPCM,137.640000,230.000000
002232551,G-M POMPE SV30 Carbone/Carbure de Silicium/Viton,PRPCM,107.000000,179.000000
002232800,GARNITURE MECANIQUE CERAMIQUE/CARBONE/NBR 3D28x32.5,PRPCM,38.600000,62.000000
002232802,GARNITURE MECANIQUE 3D28X32.5 - XYXY2VY,PRPCM,47.470000,76.000000
002232846,G-M CARB. TUNGST./CARB. SILIC./VITON 3D28x32.5,PRPCM,235.000000,376.000000
002312702,ROULEMENT DE ROTOR 6202 RSI C3,PRPCM,7.140000,15.900000
002633002,ECROU AUTO-FREIN M12x1.25,PRPCM,5.650000,9.100000
0030067016,GUIDE BILLE D 15.9,PRPDI2,0.000000,0.000000
0030068016,GUIDE BILLE B. A C. DN25,PRPDI2,0.000000,0.000000
0040209001,BRIDE FONTE NUE DN125 PN10,PRVAM,88.550000,161.000000
0040300016,CONTRE BRIDE INOX DN40,PRVAM,0.000000,0.000000
0040301016,CONTRE BRIDE INOX D50 - VANNE PIC,PRVAM,0.000000,0.000000
0050010081,JOINT DE PISTON VANNE GS7 D40,PRVAM,10.000000,37.000000
0060011116,ENTRETOISE DE RINCAGE D12,PRPDI2,0.000000,0.000000
0060011516,ENTRETOISE DE RINCAGE D32,PRPDI2,0.000000,0.000000
0070000098,BAGUE DE GUIDAGE PISTON D88.9,PRPDI2,0.000000,0.000000
0070002298,BAGUE GUIDAGE PISTON D11.1,PRPDI2,0.000000,0.000000
0070014175,BAGUE DE GUIDAGE PISTON D12,PRPDI2,68.200000,124.000000
0070014475,BAGUE DE GUIDAGE PISTON D25,PRPDI2,86.900000,158.000000
0070026075,BAGUE DE GUIDAGE PISTON N90,PRPDI2,260.150000,473.000000
007EA61,"RACCORD FEMELLE TOURNANT 1""1/2 - DN40""",VAD,3.770000,8.000000
007EM2,EMBOUT LAITON MALE PR TUYAU DIAM 16,VAD,1.430000,2.860000
007EM41,"RACCORD LAITON 1"" Gaz m- CANNELE DIAM. 25""",VAD,6.590000,13.200000
007EM51,EMBOUT LAITON MALE PR TUY DIAM30,VAD,6.890000,13.800000
007EM61,"EMBOUT LAITON MALE PR TUY DIAM42 1""/2""",VAD,5.140000,11.000000
007EM71,EMBOUT LAITON MALE PR TUY DIAM52,VAD,23.590000,47.180000
0080054116,ECROU DE PRESSE ETOUPE D12,PRPDI2,0.000000,0.000000
0080067016,ECROU DE PRESSE ETOUPE PMRB D12,PRPDI2,0.000000,0.000000
0080665,"BRIDE INOX PN16 DN25 TARAUDE 1""",VAD,52.890000,106.000000
01100340040,CALEE PENTEE VERTICALE,PRPDI2,85.800000,132.000000
01100350040,CALE PENTEE HORIZONTALE,PRPDI2,189.800000,292.000000
0120101006,PISTON D15.9,PRPDI2,182.650000,281.000000
0120176016,PISTON INOX MB N50,PRPDI2,0.000000,0.000000
0120225782,TETE DE PISTON MC Q125H,PRPDI2,298.350000,459.000000
0120261001,PISTON D.50,PRPDI2,453.050000,697.000000
