CT_Intitule,CT_Adresse,CT_Complement,CT_CodePostal,CT_Ville,CT_Pays,CT_Ape,CT_Identifiant,CT_Siret,CT_Telephone
LK-ANLAGENTECHNIK,FOCHER STRASSE 158,,42719,SOLINGEN DEUTSCHLAND,Allemagne,,,,
JUMELEC,ZAC DES SABLES,,54110,ROSIERES AUX SALINES,France,,,,03 83 25 83 64
FRANS BONHOMME,6 RUE COBRELLE,,88150,CHAVELOT,France,,,,03 29 31 18 10
ORANGE,,,,,France,,,,
FRANCE TELECOM,,,,,France,,,,
MOTOREN FRANCOYS,ZI VOIE NOUVELLE,RUE DE RECKEM,59960,NEUVILLE EN FERRAIN,France,,,,0320030835
SOCIETE ARTESIENNE DE PLASTURGIE,52 RUE FORT DE VAUX,,62210,AVION,France,,,,03 21 13 64 05
BIGNARD,5 RUE DE L'INDUSTRIE,,76160,ST LEGER DU BOURG DENIS,France,,,,02 35 08 20 95
EUROTOP,AEROPORT EPINAL MIRECOURT,,88500,JUVAINCOURT,France,,,,03 29 37 88 11
ENERFLUID,143 AVENUE DU GENERAL DE GAULLE,BP 102,92252,LA GARENNE-COLOMBES CEDEX,France,,,,01 41 19 33 36
ELSTER WATER METERING,ESPACES MULTISERVICES,LOT 09 56 BOULEVARD DE COURCERIN,77183,CROISSY BEAUBOURG,France,,,,01 61 44 00 90
DUMONT FRANCE,Z.I. MARDEUIL,17 RUE DU PRE BREDA,"51202 ",EPERNAY,France,,,,03 26 55 58 58
KOLB,,,,,France,,,,
EDF,,,,,France,,,,
PRO IMPEC,,,,,France,,,,
WEIR MINERALS FRANCE,10 RUE JACQUARD,,69680,CHASSIEU,France,,,,04 72 81 72 72
FOURNISSEURS DIVERS,,,,,France,,,,
"INGERSOLL RAND INDUSTRIAL IRELAND ",165 LAKEVIEW DRIVE,AIRSIDE BUSINESS PARK,,SWORDS IRLANDE,Irlande,,IE3643898VH,,06 08 76 70 33
VARISCO S.p.A.,"Z.I. NORD 3a - TERZA STRADA, 9",,35129,PADOVA - ITALY,Italie,,IT00209080282,,00 39 049 8294111
CONRAD,,,59861,LILLE CEDEX 9,France,,,,
LE LUTH,,,,,France,,,,
BIP AND GO,,,,,France,,,,
PROMINENT FRANCE S.A.,8 RUE DES FRERES LUMIERE,BP 39 ECKBOLSHEIM,67038,STRASBOURG CEDEX,France,,,,03 88 10 15 10
RAJA,,,,,France,,,,
CTMP,ZI DU VERT GALANT,6 RUE AMPERE,95310,SAINT OUEN L'AUMONE,France,,,,01 30 37 46 06
KICH,,,,,France,,,,
CEC,,,,,France,,,,03 25 73 22 20
