id,adresse,codepostal,ville,localisation
1,11 rue de l'Université,88100,Saint-Dié-des-Vosges,POINT(6.942607 48.289991)
2,1 place Georges Phélipeaux,88470,Saint-Michel-sur-Meurthe,POINT(6.888159 48.316883)
3,2 Champ de Foire,88480,Étival-Clairefontaine,POINT(6.8618133 48.3655338)
4,32 rue Jules Ferry,88110,Raon-l'Étape,POINT(6.844374 48.407098)
5,16q avenue de Lachapelle,54120,Baccarat,POINT(6.7396057 48.4456873)
6,7 rue Saint-pierre,54122,Fontenoy-la-Joûte,POINT(6.6602132 48.4553319)
7,6 rue du Collège,88700,Roville-aux-Chênes,POINT(6.602758 48.386134)
8,11 rue des 4 Freres Bonlarron,88700,Rambervillers,POINT(6.633943 48.3443294)
9,14 chemin de la Bodière,88700,Jeanménil,POINT(6.6782383 48.3300812)
10,50 rue de la Colline des Eaux,88700,Jeanménil,POINT(6.7281563 48.3249126)
11,99 chemin de la Grande Haie,88470,Nompatelize,POINT(6.8411623 48.3137622)
12,32 rue de l'Orme,88100,Saint-Dié-des-Vosges,POINT(6.947194 48.300186)
13,1546 Grand Rue,88470,La Voivre,POINT(6.8966408 48.3389287)
14,5 rue de l'Hôtel de Ville,88420,Moyenmoutier,POINT(6.9109831 48.3791975)
15,10 place Charles Thumann,88210,Senones,POINT(6.9838459 48.3955873)
16,1 Château de Belval,88210,Le Saulcy,POINT(7.0444754 48.4103396)
17,20 rue Principale,67420,Saint-Blaise-la-Roche,POINT(7.1627644 48.404395)
18,750 route de Strasbourg dvt Fouday,67130,Plaine,POINT(7.1841363 48.4236161)
19,26 rue de Senones,67420,Saales,POINT(7.1042285 48.3488056)
20,5 rue des Filatures,88490,Provenchères-et-Colroy,POINT(7.0797982 48.3075311)
21,1620 chemin des Goutys,88100,Nayemont-les-Fosses,POINT(6.9985566 48.284752)
22,44 allée des Sports,88100,Sainte-Marguerite,POINT(6.9786622 48.2682289)
23,27 rue d'Hellieule,88100,Saint-Dié-des-Vosges,POINT(6.943532 48.284985)
24,19 chemin de l'Épine,88100,Taintrux,POINT(6.8997239 48.2494589)
25,416 Rue James Wiese,88430,Corcieux,POINT(6.8800635 48.1687592)
26,32 bd. d'Alsace,88400,Gérardmer,POINT(6.876302 48.073341)
27,1bis rue Charles de Gaulle,88530,Le Tholy,POINT(6.7437155 48.0826676)
28,7 place Paul Caritey,88120,Vagney,POINT(6.7165356 48.0084336)
29,6 rue Charlet,88200,Saint-Étienne-lès-Remiremont,POINT(6.6087145 48.0090978)
30,5 rue de Turenne,88200,Saint-Nabord,POINT(6.5889381 48.0560048)
31,18bis rue de la Prairie,88460,Cheniménil,POINT(6.6010431 48.1385894)
32,19 rue de l'Hôpital,88600,Bruyères,POINT(6.7243489 48.2067531)
33,14 Rue de l'Hôtel de Ville,88600,Brouvelieures,POINT(6.7315744 48.2367614)
34,34 rue du Nouvel-Hôpital,88100,Saint-Dié-des-Vosges,POINT(6.966401 48.289635)
35,12 Route de Raves,88100,Neuvillers-sur-Fave,POINT(7.0382705 48.2784075)
36,7 place Eugéne Grandjean,88520,Ban-de-Laveline,POINT(7.0666077 48.245516)
37,12 rue du pont de la Forge,88230,Fraize,POINT(6.9982581 48.1862996)
38,84 rue du Général Dufieux,68650,Lapoutroie,POINT(7.1664516 48.156157)
39,84 rue Charles de Gaulle,68370,Orbey,POINT(7.1541081 48.1253989)
40,396 La Place,68910,Labaroche,POINT(7.1925393 48.1048506)
41,1 rue du Couvent,68140,Munster,POINT(7.1384744 48.0399264)
42,534 rue de la Résistance,88400,Xonrupt-Longemer,POINT(6.9191248 48.0789757)
43,617 Le Vic,88230,Ban-sur-Meurthe-Clefcy,POINT(6.9824861 48.1461803)
44,144 voie du Moulin,88230,Ban-sur-Meurthe-Clefcy,POINT(6.9762006 48.1749859)
45,287 rue de Lorraine,88650,Saint-Léonard,POINT(6.9440027 48.2184733)
46,31 rue de Moulins sur Allier,88580,Saulcy-sur-Meurthe,POINT(6.9599386 48.2361785)
47,14 rue Pasteur,88100,Saint-Dié-des-Vosges,POINT(6.95006 48.28236)
48,9 route du Neuné,88430,Gerbépal,POINT(6.9237887 48.1500205)
49,18 rue de l'église,88250,La Bresse,POINT(6.8749064 48.0047487)
50,129 rue de Basinroche,88290,Saulxures-sur-Moselotte,POINT(6.789515 47.949067)
51,2bis rue de Genazeville,88640,Granges-Aumontzey,POINT(6.7867987 48.1438775)
52,27 rue Philippe Séguin,88000,Épinal,POINT(6.465332 48.193882)
53,12 Quartier de la Magdeleine,88000,Épinal,POINT(6.4393895 48.1873721)
54,5 rue du Ruisseau,88150,Thaon-les-Vosges,POINT(6.4009533 48.2571855)
55,3 rue du Moulin,88440,Nomexy,POINT(6.3769444 48.3082831)
56,12 rue du General Leclerc,88130,Charmes,POINT(6.2949682 48.3719687)
57,5 rue des Hauts Fossés,54290,Bayon,POINT(6.3151466 48.4764774)
58,1 rue Maurice Barrès,54830,Gerbéviller,POINT(6.5101503 48.4949554)
59,2 rue Gambetta,54540,Badonviller,POINT(6.8943151 48.4978938)
60,Place de la Gare,88110,Celles-sur-Plaine,POINT(6.9479155 48.4553043)
61,6 Grande Rue,88110,Luvigny,POINT(7.0679858 48.5003296)
62,49 rue du Général de Gaulle,67130,La Broque,POINT(7.2157475 48.4729303)
63,4 Chemin de la Prelle,88210,Ban-de-Sapt,POINT(7.0150434 48.340465)
64,12 Le Village,88210,Hurbache,POINT(6.9350061 48.3499447)
65,12 rue Armand Colle,88000,Épinal,POINT(6.4489619 48.1604568)
66,15 rue Général de Reffye,88000,Épinal,POINT(6.4323215 48.1819469)
67,6 avenue Salvador Allende,88000,Épinal,POINT(6.4599403 48.1938105)
68,rue de la papeterie,88000,Dinozé,POINT(6.4738942 48.1383687)
69,36 bis rue de la Plaine,88190,Golbey,POINT(6.4426982 48.1929337)
