exercice,semaine,date,ouvert
1,1,04.09.2023,1
1,2,11.09.2023,1
1,3,18.09.2023,1
1,4,25.09.2023,1
1,5,02.10.2023,1
1,6,09.10.2023,1
1,7,16.10.2023,0
1,8,23.10.2023,0
1,9,30.10.2023,1
1,10,06.11.2023,1
1,11,13.11.2023,1
1,12,20.11.2023,1
1,13,27.11.2023,1
1,14,04.12.2023,1
1,15,11.12.2023,1
1,16,18.12.2023,1
1,17,25.12.2023,1
1,18,01.01.2024,1
1,19,08.01.2024,1
1,20,15.01.2024,1
1,21,22.01.2024,1
1,22,29.01.2024,1
1,23,05.02.2024,1
1,24,12.02.2024,1
1,25,19.02.2024,1
1,26,26.02.2024,1
1,27,04.03.2024,1
1,28,11.03.2024,1
1,29,18.03.2024,1
1,30,25.03.2024,1
1,31,01.04.2024,1
1,32,08.04.2024,1
1,33,15.04.2024,1
1,34,22.04.2024,1
1,35,29.04.2024,1
1,36,06.05.2024,1
1,37,13.05.2024,1
1,38,20.05.2024,1
1,39,27.05.2024,1
1,40,03.06.2024,1
1,41,10.06.2024,1
1,42,17.06.2024,1
1,43,24.06.2024,1
1,44,01.07.2024,1
1,45,08.07.2024,0
1,46,15.07.2024,0
1,47,22.07.2024,0
1,48,29.07.2024,0
1,49,05.08.2024,0
1,50,12.08.2024,0
1,51,19.08.2024,0
1,52,26.08.2024,0
2,1,01.01.2024,1
2,2,08.01.2024,1
2,3,15.01.2024,1
2,4,22.01.2024,1
2,5,29.01.2024,1
2,6,05.02.2024,1
2,7,12.02.2024,1
2,8,19.02.2024,1
2,9,26.02.2024,1
2,10,04.03.2024,1
2,11,11.03.2024,1
2,12,18.03.2024,1
2,13,25.03.2024,1
2,14,01.04.2024,1
2,15,08.04.2024,1
2,16,15.04.2024,1
2,17,22.04.2024,1
2,18,29.04.2024,1
2,19,06.05.2024,1
2,20,13.05.2024,1
2,21,20.05.2024,1
2,22,27.05.2024,1
2,23,03.06.2024,1
2,24,10.06.2024,1
2,25,17.06.2024,1
2,26,24.06.2024,1
2,27,01.07.2024,1
2,28,08.07.2024,1
2,29,15.07.2024,1
2,30,22.07.2024,1
2,31,29.07.2024,1
2,32,05.08.2024,1
2,33,12.08.2024,1
2,34,19.08.2024,1
2,35,26.08.2024,1
2,36,02.09.2024,1
2,37,09.09.2024,1
2,38,16.09.2024,1
2,39,23.09.2024,1
2,40,30.09.2024,1
2,41,07.10.2024,1
2,42,14.10.2024,1
2,43,21.10.2024,1
2,44,28.10.2024,1
2,45,04.11.2024,1
2,46,11.11.2024,1
2,47,18.11.2024,1
2,48,25.11.2024,1
2,49,02.12.2024,1
2,50,09.12.2024,1
2,51,16.12.2024,1
2,52,23.12.2024,1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,

