id,created_at,id_exercice,semaine,date,id_calendrier
3,2023-11-01 19:06:58.996916+00,5,1,2023-01-03,1
4,2023-11-01 19:06:58.996916+00,5,2,2023-01-10,1
5,2023-11-01 19:06:58.996916+00,5,3,2023-01-17,1
6,2023-11-01 19:06:58.996916+00,5,4,2023-01-24,1
7,2023-11-01 19:06:58.996916+00,5,5,2023-01-31,1
8,2023-11-01 19:06:58.996916+00,5,6,2023-02-07,1
9,2023-11-01 19:06:58.996916+00,5,7,2023-02-14,1
10,2023-11-01 19:06:58.996916+00,5,8,2023-02-21,1
11,2023-11-01 19:06:58.996916+00,5,9,2023-02-28,1
12,2023-11-01 19:06:58.996916+00,5,10,2023-03-07,1
13,2023-11-01 19:06:58.996916+00,5,11,2023-03-14,1
14,2023-11-01 19:06:58.996916+00,5,12,2023-03-21,1
15,2023-11-01 19:06:58.996916+00,5,13,2023-03-28,1
16,2023-11-01 19:06:58.996916+00,5,14,2023-04-04,1
17,2023-11-01 19:06:58.996916+00,5,15,2023-04-11,1
18,2023-11-01 19:06:58.996916+00,5,16,2023-04-18,1
19,2023-11-01 19:06:58.996916+00,5,17,2023-04-25,1
20,2023-11-01 19:06:58.996916+00,5,18,2023-05-02,1
21,2023-11-01 19:06:58.996916+00,5,19,2023-05-09,1
22,2023-11-01 19:06:58.996916+00,5,20,2023-05-16,1
23,2023-11-01 19:06:58.996916+00,5,21,2023-05-23,1
24,2023-11-01 19:06:58.996916+00,5,22,2023-05-30,1
25,2023-11-01 19:06:58.996916+00,5,23,2023-06-06,1
26,2023-11-01 19:06:58.996916+00,5,24,2023-06-13,1
27,2023-11-01 19:06:58.996916+00,5,25,2023-06-20,1
28,2023-11-01 19:06:58.996916+00,5,26,2023-06-27,1
29,2023-11-01 19:06:58.996916+00,5,27,2023-07-04,1
30,2023-11-01 19:06:58.996916+00,5,28,2023-07-11,1
31,2023-11-01 19:06:58.996916+00,5,29,2023-07-18,1
32,2023-11-01 19:06:58.996916+00,5,30,2023-07-25,1
33,2023-11-01 19:06:58.996916+00,5,31,2023-08-01,1
34,2023-11-01 19:06:58.996916+00,5,32,2023-08-08,1
35,2023-11-01 19:06:58.996916+00,5,33,2023-08-16,1
36,2023-11-01 19:06:58.996916+00,5,34,2023-08-22,1
37,2023-11-01 19:06:58.996916+00,5,35,2023-08-29,1
38,2023-11-01 19:06:58.996916+00,5,36,2023-09-05,1
39,2023-11-01 19:06:58.996916+00,5,37,2023-09-12,1
40,2023-11-01 19:06:58.996916+00,5,38,2023-09-19,1
41,2023-11-01 19:06:58.996916+00,5,39,2023-09-26,1
42,2023-11-01 19:06:58.996916+00,5,40,2023-10-03,1
43,2023-11-01 19:06:58.996916+00,5,41,2023-10-10,1
44,2023-11-01 19:06:58.996916+00,5,42,2023-10-17,1
45,2023-11-01 19:06:58.996916+00,5,43,2023-10-24,1
46,2023-11-01 19:06:58.996916+00,5,44,2023-10-31,1
47,2023-11-01 19:06:58.996916+00,5,45,2023-11-07,1
48,2023-11-01 19:06:58.996916+00,5,46,2023-11-14,1
49,2023-11-01 19:06:58.996916+00,5,47,2023-11-21,1
50,2023-11-01 19:06:58.996916+00,5,48,2023-11-28,1
51,2023-11-01 19:06:58.996916+00,5,49,2023-12-05,1
52,2023-11-01 19:06:58.996916+00,5,50,2023-12-12,1
53,2023-11-01 19:06:58.996916+00,5,1,2023-01-04,2
54,2023-11-01 19:06:58.996916+00,5,2,2023-01-11,2
55,2023-11-01 19:06:58.996916+00,5,3,2023-01-18,2
56,2023-11-01 19:06:58.996916+00,5,4,2023-01-25,2
57,2023-11-01 19:06:58.996916+00,5,5,2023-02-01,2
58,2023-11-01 19:06:58.996916+00,5,6,2023-02-08,2
59,2023-11-01 19:06:58.996916+00,5,7,2023-02-15,2
60,2023-11-01 19:06:58.996916+00,5,8,2023-02-22,2
61,2023-11-01 19:06:58.996916+00,5,9,2023-03-01,2
62,2023-11-01 19:06:58.996916+00,5,10,2023-03-08,2
63,2023-11-01 19:06:58.996916+00,5,11,2023-03-15,2
64,2023-11-01 19:06:58.996916+00,5,12,2023-03-22,2
65,2023-11-01 19:06:58.996916+00,5,13,2023-03-29,2
66,2023-11-01 19:06:58.996916+00,5,14,2023-04-05,2
67,2023-11-01 19:06:58.996916+00,5,15,2023-04-12,2
68,2023-11-01 19:06:58.996916+00,5,16,2023-04-19,2
69,2023-11-01 19:06:58.996916+00,5,17,2023-04-26,2
70,2023-11-01 19:06:58.996916+00,5,18,2023-05-03,2
71,2023-11-01 19:06:58.996916+00,5,19,2023-05-10,2
72,2023-11-01 19:06:58.996916+00,5,20,2023-05-17,2
73,2023-11-01 19:06:58.996916+00,5,21,2023-05-24,2
74,2023-11-01 19:06:58.996916+00,5,22,2023-05-31,2
75,2023-11-01 19:06:58.996916+00,5,23,2023-06-07,2
76,2023-11-01 19:06:58.996916+00,5,24,2023-06-14,2
77,2023-11-01 19:06:58.996916+00,5,25,2023-06-21,2
78,2023-11-01 19:06:58.996916+00,5,26,2023-06-28,2
79,2023-11-01 19:06:58.996916+00,5,27,2023-07-05,2
80,2023-11-01 19:06:58.996916+00,5,28,2023-07-12,2
81,2023-11-01 19:06:58.996916+00,5,29,2023-07-19,2
82,2023-11-01 19:06:58.996916+00,5,30,2023-07-26,2
83,2023-11-01 19:06:58.996916+00,5,31,2023-08-02,2
84,2023-11-01 19:06:58.996916+00,5,32,2023-08-09,2
