id,created_at,id_tournee,id_depot,ordre
2,2023-10-28 09:49:44.2302+00,1,84,2
1,2023-10-28 09:41:45.559647+00,1,70,1
6,2023-10-28 09:51:54.770475+00,1,67,9
7,2023-10-28 20:14:47.74365+00,2,77,1
8,2023-10-28 20:16:14.630591+00,3,67,1
9,2023-10-28 20:16:44.630976+00,3,71,2
10,2023-10-28 20:17:04.964361+00,3,65,3
11,2023-10-28 20:17:31.33323+00,3,66,4
65,2023-10-30 05:35:12.434407+00,22,37,4
66,2023-10-30 05:35:24.128017+00,22,38,5
67,2023-10-30 05:35:40.811686+00,22,39,7
13,2023-10-29 07:07:18.172234+00,1,97,3
12,2023-10-29 07:07:09.466968+00,1,96,4
3,2023-10-28 09:50:26.059579+00,1,65,5
68,2023-10-30 05:35:52.379609+00,22,40,8
4,2023-10-28 09:50:46.001906+00,1,68,6
14,2023-10-29 07:07:26.366206+00,1,98,8
5,2023-10-28 09:51:04.564907+00,1,66,7
15,2023-10-29 07:36:52.188065+00,1,104,10
16,2023-10-29 07:42:54.832487+00,19,1,1
17,2023-10-29 07:43:04.650781+00,19,2,2
18,2023-10-29 07:43:14.190253+00,19,3,3
19,2023-10-29 07:43:24.544201+00,19,4,4
20,2023-10-29 07:43:36.594815+00,19,5,5
21,2023-10-29 07:43:52.60983+00,19,6,6
22,2023-10-29 07:45:06.467598+00,19,7,7
23,2023-10-29 07:45:15.727022+00,19,8,8
24,2023-10-29 07:45:25.833892+00,19,9,9
25,2023-10-29 07:45:37.142698+00,19,10,10
26,2023-10-29 07:45:49.209896+00,19,11,11
27,2023-10-29 07:49:16.562148+00,20,12,1
28,2023-10-29 07:49:28.021103+00,20,13,2
29,2023-10-29 07:49:51.383249+00,20,14,3
30,2023-10-29 07:50:12.277591+00,20,15,4
31,2023-10-29 07:50:22.35905+00,20,16,5
32,2023-10-29 07:50:32.827202+00,20,17,6
33,2023-10-29 07:50:41.666488+00,20,18,7
34,2023-10-29 07:50:54.760775+00,20,19,8
35,2023-10-29 07:51:08.304508+00,20,20,9
36,2023-10-29 07:51:56.036956+00,20,21,10
37,2023-10-29 07:52:36.148032+00,20,22,11
38,2023-10-29 07:59:24.27257+00,3,98,5
39,2023-10-29 07:59:37.161597+00,3,105,6
40,2023-10-29 07:59:50.297829+00,3,106,8
41,2023-10-29 08:00:03.771529+00,3,99,9
42,2023-10-29 08:08:37.217357+00,4,70,1
43,2023-10-29 08:09:30.351685+00,4,72,2
44,2023-10-29 08:09:47.40729+00,4,73,2
45,2023-10-29 08:10:01.415994+00,4,103,4
46,2023-10-29 08:10:13.746581+00,4,74,5
69,2023-10-30 05:36:05.632219+00,22,41,9
49,2023-10-29 08:11:50.855387+00,4,76,8
50,2023-10-29 08:12:04.056475+00,4,109,9
47,2023-10-29 08:10:29.653106+00,4,107,6
48,2023-10-29 08:10:42.069966+00,4,108,7
51,2023-10-29 08:17:26.196494+00,21,23,1
52,2023-10-29 08:17:44.650036+00,21,24,2
53,2023-10-29 08:20:16.013869+00,21,25,3
54,2023-10-29 08:20:27.147432+00,21,26,4
55,2023-10-29 08:20:37.830072+00,21,27,5
56,2023-10-29 08:21:28.38135+00,21,28,6
57,2023-10-29 08:21:51.035156+00,21,29,7
58,2023-10-29 08:22:04.577553+00,21,30,8
59,2023-10-29 08:22:38.025763+00,21,31,9
60,2023-10-29 08:22:56.782195+00,21,32,10
61,2023-10-29 08:23:14.956171+00,21,33,11
62,2023-10-29 08:26:18.007069+00,22,34,1
63,2023-10-29 08:26:59.493399+00,22,35,2
70,2023-10-30 05:36:39.446549+00,22,42,10
82,2023-11-01 05:52:50.129143+00,9,65,2
83,2023-11-01 05:53:05.530665+00,9,102,3
84,2023-11-01 05:53:35.580435+00,9,100,4
85,2023-11-01 05:54:01.88406+00,9,66,5
86,2023-11-01 05:54:24.854416+00,9,111,6
64,2023-10-29 08:31:40.450954+00,22,36,3
71,2023-10-30 05:36:47.340029+00,22,43,11
72,2023-10-30 05:36:58.212055+00,22,44,12
73,2023-10-30 05:37:06.848133+00,22,45,13
74,2023-10-30 05:37:16.529584+00,22,46,14
75,2023-10-30 05:37:27.738593+00,23,47,1
87,2023-11-01 05:54:40.720362+00,9,79,7
88,2023-11-01 05:54:59.805989+00,9,106,8
76,2023-10-30 05:37:37.527805+00,6,77,1
78,2023-11-01 05:38:17.207417+00,8,78,1
79,2023-11-01 05:38:29.182515+00,8,95,2
80,2023-11-01 05:52:12.343002+00,9,98,1
95,2023-11-01 06:23:11.585116+00,10,83,4
96,2023-11-01 06:27:35.402987+00,5,101,1
77,2023-11-01 05:34:58.915483+00,5,110,2
89,2023-11-01 05:55:25.893358+00,9,67,9
90,2023-11-01 05:55:36.183365+00,9,70,10
91,2023-11-01 05:55:51.175322+00,9,85,11
92,2023-11-01 06:21:05.640916+00,10,81,1
97,2023-11-01 06:28:59.982405+00,11,96,1
93,2023-11-01 06:21:17.049726+00,10,82,3
94,2023-11-01 06:22:54.771403+00,10,80,2
98,2023-11-01 06:29:12.793855+00,11,77,2
99,2023-11-01 06:57:57.853936+00,7,35,1
100,2023-11-01 06:59:10.840469+00,12,86,1
81,2023-11-01 08:04:38.832022+00,1,1,0
103,2023-11-01 13:11:15.366101+00,23,50,4
101,2023-11-01 13:10:09.288879+00,23,48,2
102,2023-11-01 13:10:40.037961+00,23,49,3
104,2023-11-01 13:13:01.098469+00,23,51,5
105,2023-11-01 13:13:43.591502+00,23,52,6
106,2023-11-01 13:13:55.181347+00,23,53,7
107,2023-11-01 13:15:06.320155+00,23,54,8
108,2023-11-01 15:04:02.91114+00,13,87,1
109,2023-11-01 15:04:14.593914+00,13,88,2
110,2023-11-01 15:04:39.86432+00,13,89,3
112,2023-11-01 15:05:00.850801+00,13,90,4
111,2023-11-01 15:04:49.463094+00,13,91,5
115,2023-11-01 15:05:35.770845+00,13,92,6
114,2023-11-01 15:05:27.24689+00,13,93,7
113,2023-11-01 15:05:11.369516+00,13,94,8
116,2023-11-01 15:22:13.031939+00,14,112,1
117,2023-11-01 15:22:13.031939+00,14,113,2
118,2023-11-01 15:22:13.031939+00,14,114,3
119,2023-11-01 15:22:13.031939+00,14,115,4
120,2023-11-01 15:22:13.031939+00,14,116,5
121,2023-11-01 15:22:13.031939+00,14,117,6
122,2023-11-01 15:22:13.031939+00,14,118,7
123,2023-11-01 15:22:13.031939+00,14,119,8
124,2023-11-01 15:22:13.031939+00,14,120,9
125,2023-11-01 15:22:13.031939+00,14,121,10
126,2023-11-01 15:22:13.031939+00,14,122,11
127,2023-11-01 15:22:13.031939+00,14,123,12
128,2023-11-01 15:22:13.031939+00,15,124,1
129,2023-11-01 15:22:13.031939+00,15,125,2
130,2023-11-01 15:22:13.031939+00,15,126,3
131,2023-11-01 15:22:13.031939+00,15,127,4
132,2023-11-01 15:22:13.031939+00,15,128,5
133,2023-11-01 15:22:13.031939+00,16,129,1
134,2023-11-01 15:22:13.031939+00,16,130,2
135,2023-11-01 15:22:13.031939+00,16,131,3
136,2023-11-01 15:22:13.031939+00,16,132,4
137,2023-11-01 15:22:13.031939+00,16,133,5
138,2023-11-01 15:22:13.031939+00,16,134,6
139,2023-11-01 15:22:13.031939+00,16,135,7
140,2023-11-01 15:22:13.031939+00,16,136,8
141,2023-11-01 15:22:13.031939+00,16,137,9
142,2023-11-01 15:22:13.031939+00,16,138,10
143,2023-11-01 15:22:13.031939+00,16,139,11
144,2023-11-01 15:22:13.031939+00,16,140,12
145,2023-11-01 15:22:13.031939+00,16,141,13
146,2023-11-01 15:22:13.031939+00,16,142,14
147,2023-11-01 15:22:13.031939+00,16,143,15
148,2023-11-01 15:22:13.031939+00,16,144,16
149,2023-11-01 15:22:13.031939+00,16,145,17
150,2023-11-01 15:22:13.031939+00,16,146,18
151,2023-11-01 15:22:13.031939+00,16,147,19
152,2023-11-01 15:22:13.031939+00,16,148,20
153,2023-11-01 15:22:13.031939+00,16,149,21
154,2023-11-01 15:22:13.031939+00,17,150,1
155,2023-11-01 15:22:13.031939+00,17,151,2
156,2023-11-01 15:22:13.031939+00,17,152,3
157,2023-11-01 15:22:13.031939+00,17,153,4
158,2023-11-01 15:22:13.031939+00,17,154,5
159,2023-11-01 15:22:13.031939+00,17,155,6
160,2023-11-01 15:22:13.031939+00,17,156,7
161,2023-11-01 15:22:13.031939+00,17,157,8
162,2023-11-01 15:22:13.031939+00,18,158,1
163,2023-11-01 15:22:13.031939+00,18,159,2
164,2023-11-01 15:22:13.031939+00,18,160,3
165,2023-11-01 15:22:13.031939+00,18,161,4
166,2023-11-01 15:22:13.031939+00,18,162,5
167,2023-11-01 15:22:13.031939+00,18,163,6
168,2023-11-01 15:22:13.031939+00,18,164,7
