id,nom,date,territoire
1,Jour de l'An,2023-01-01,fr
2,Vendredi Saint,2023-04-07,fr-57
3,Vendredi Saint,2023-04-07,fr-67
4,Vendredi Saint,2023-04-07,fr-68
5,Lundi de Pâques,2023-04-10,fr
6,Fête du Travail,2023-05-01,fr
7,Victoire 1945,2023-05-08,fr
8,Ascension,2023-05-18,fr
9,Pentecôte,2023-05-29,fr
10,Fête nationale,2023-07-14,fr
11,Assomption,2023-08-15,fr
12,Toussaint,2023-11-01,fr
13,Armistice 1918,2023-11-11,fr
14,Jour de Noël,2023-12-25,fr
15,Saint-Étienne,2023-12-26,fr-57
16,Saint-Étienne,2023-12-26,fr-67
17,Saint-Étienne,2023-12-26,fr-68
18,Jour de l'An,2024-01-01,fr
19,Vendredi Saint,2024-03-29,fr-57
20,Vendredi Saint,2024-03-29,fr-67
21,Vendredi Saint,2024-03-29,fr-68
22,Lundi de Pâques,2024-04-01,fr
23,Fête du Travail,2024-05-01,fr
24,Victoire 1945,2024-05-08,fr
25,Ascension,2024-05-09,fr
26,Pentecôte,2024-05-20,fr
27,Fête nationale,2024-07-14,fr
28,Assomption,2024-08-15,fr
29,Toussaint,2024-01-01,fr
30,Armistice 1918,2024-11-11,fr
31,Jour de Noël,2024-12-25,fr
32,Saint-Étienne,2024-12-26,fr-57
33,Saint-Étienne,2024-12-26,fr-67
34,Saint-Étienne,2024-12-26,fr-68
35,Jour de l'An,2025-01-01,fr
36,Vendredi Saint,2025-04-18,fr-57
37,Vendredi Saint,2025-04-18,fr-67
38,Vendredi Saint,2025-04-18,fr-68
39,Lundi de Pâques,2025-04-21,fr
40,Fête du Travail,2025-05-01,fr
41,Victoire 1945,2025-05-08,fr
42,Ascension,2025-05-29,fr
43,Pentecôte,2025-06-09,fr
44,Fête nationale,2025-07-14,fr
45,Assomption,2025-08-15,fr
46,Toussaint,2025-01-01,fr
47,Armistice 1918,2025-11-11,fr
48,Jour de Noël,2025-12-25,fr
49,Saint-Étienne,2025-12-26,fr-57
50,Saint-Étienne,2025-12-26,fr-67
51,Saint-Étienne,2025-12-26,fr-68
52,Jour de l'An,2022-01-01,fr
53,Vendredi Saint,2022-04-15,fr-57
54,Vendredi Saint,2022-04-15,fr-67
55,Vendredi Saint,2022-04-15,fr-68
56,Lundi de Pâques,2022-04-18,fr
57,Fête du Travail,2022-05-01,fr
58,Victoire 1945,2022-05-08,fr
59,Ascension,2022-05-26,fr
60,Pentecôte,2022-06-06,fr
61,Fête nationale,2022-07-14,fr
62,Assomption,2022-08-15,fr
63,Toussaint,2022-11-01,fr
64,Armistice 1918,2022-11-11,fr
65,Jour de Noël,2022-12-25,fr
66,Saint-Étienne,2022-12-26,fr-57
67,Saint-Étienne,2022-12-26,fr-67
68,Saint-Étienne,2022-12-26,fr-68
