id,id_saison,semaine,date
269,2,1,2022-01-04
270,2,2,2022-01-11
271,2,3,2022-01-18
272,2,4,2022-01-25
273,2,5,2022-02-01
274,2,6,2022-02-08
275,2,7,2022-02-15
276,2,8,2022-02-22
277,2,9,2022-03-01
278,2,10,2022-03-08
279,2,11,2022-03-15
280,2,12,2022-03-22
281,2,13,2022-03-29
282,2,14,2022-04-05
283,2,15,2022-04-12
284,2,16,2022-04-19
285,2,17,2022-04-26
286,2,18,2022-05-03
287,2,19,2022-05-10
288,2,20,2022-05-17
289,2,21,2022-05-24
290,2,22,2022-05-31
291,2,23,2022-06-07
292,2,24,2022-06-14
293,2,25,2022-06-21
294,2,26,2022-06-28
295,2,27,2022-07-05
296,2,28,2022-07-12
297,2,29,2022-07-19
298,2,30,2022-07-26
299,2,31,2022-08-02
300,2,32,2022-08-09
301,2,33,2022-08-16
302,2,34,2022-08-23
303,2,35,2022-08-30
304,2,36,2022-09-06
305,2,37,2022-09-13
306,2,38,2022-09-20
307,2,39,2022-09-27
308,2,40,2022-10-04
309,2,41,2022-10-11
310,2,42,2022-10-18
311,2,43,2022-10-25
312,2,44,2022-11-01
313,2,45,2022-11-08
314,2,46,2022-11-15
315,2,47,2022-11-22
316,2,48,2022-11-29
317,2,49,2022-12-06
318,2,50,2022-12-13
319,2,1,2022-01-05
320,2,2,2022-01-12
321,2,3,2022-01-19
322,2,4,2022-01-26
323,2,5,2022-02-02
324,2,6,2022-02-09
325,2,7,2022-02-16
326,2,8,2022-02-23
327,2,9,2022-03-02
328,2,10,2022-03-09
329,2,11,2022-03-16
330,2,12,2022-03-23
331,2,13,2022-03-30
332,2,14,2022-04-06
333,2,15,2022-04-13
334,2,16,2022-04-20
335,2,17,2022-04-27
336,2,18,2022-05-04
337,2,19,2022-05-11
338,2,20,2022-05-18
339,2,21,2022-05-25
340,2,22,2022-06-01
341,2,23,2022-06-08
342,2,24,2022-06-15
343,2,25,2022-06-22
344,2,26,2022-06-29
345,2,27,2022-07-06
346,2,28,2022-07-13
347,2,29,2022-07-20
348,2,30,2022-07-27
349,2,31,2022-08-03
350,2,32,2022-08-10
351,2,33,2022-08-17
352,2,34,2022-08-24
353,2,35,2022-08-31
354,2,36,2022-09-07
355,2,37,2022-09-14
356,2,38,2022-09-21
357,2,39,2022-09-28
358,2,40,2022-10-05
359,2,41,2022-10-12
360,2,42,2022-10-19
361,2,43,2022-10-26
362,2,44,2022-11-02
363,2,45,2022-11-09
364,2,46,2022-11-16
365,2,47,2022-11-23
366,2,48,2022-11-30
367,2,49,2022-12-07
368,2,50,2022-12-14
369,2,1,2023-01-07
370,2,2,2023-01-14
371,2,3,2023-01-21
372,2,4,2023-01-28
373,2,5,2023-02-04
374,2,6,2023-02-11
375,2,7,2023-02-18
376,2,8,2023-02-25
377,2,9,2023-03-04
378,2,10,2023-03-11
379,2,11,2023-03-18
380,2,12,2023-03-25
381,2,13,2023-04-01
382,2,14,2023-04-08
383,2,15,2023-04-15
384,2,16,2023-04-22
385,2,17,2023-04-29
386,2,18,2023-05-06
387,2,19,2023-05-13
388,2,20,2023-05-20
389,2,21,2023-05-27
390,2,22,2023-06-03
391,2,23,2023-06-10
392,2,24,2023-06-17
393,2,25,2023-06-24
394,2,26,2023-07-01
395,2,27,2023-07-08
396,2,28,2023-07-15
397,2,29,2023-07-22
398,2,30,2023-07-29
399,2,31,2023-08-05
400,2,32,2023-08-12
401,2,33,2023-08-19
402,2,34,2023-08-26
403,2,35,2023-09-02
404,2,36,2023-09-09
405,2,37,2023-09-16
406,2,38,2023-09-23
407,2,39,2023-09-30
408,2,40,2023-10-07
409,2,41,2023-10-14
410,2,42,2023-10-21
411,2,43,2023-10-28
412,2,44,2023-11-04
413,2,45,2023-11-11
414,2,46,2023-11-18
415,2,47,2023-11-25
416,2,48,2023-12-02
417,2,49,2023-12-09
418,2,50,2023-12-16
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,

