jour,id_frequence,qte
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,1
278,1,1
279,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,1,1
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
269,3,0
270,3,0
271,3,0
272,3,0
273,3,0
274,3,0
275,3,0
276,3,0
277,3,0
278,3,0
279,3,0
280,3,0
281,3,0
282,3,0
283,3,0
284,3,0
285,3,0
286,3,0
287,3,0
288,3,0
289,3,0
290,3,0
291,3,0
292,3,0
293,3,0
294,3,0
295,3,0
296,3,0
297,3,0
298,3,0
299,3,0
300,3,0
301,3,0
302,3,0
303,3,0
304,3,0
305,3,0
306,3,0
307,3,0
308,3,0
309,3,0
310,3,0
311,3,0
312,3,0
313,3,0
314,3,0
315,3,0
316,3,0
317,3,0
318,3,0
269,2,1
270,2,0
271,2,1
272,2,0
273,2,0
274,2,1
275,2,0
276,2,1
277,2,0
278,2,1
279,2,0
280,2,1
281,2,0
282,2,1
283,2,0
284,2,1
285,2,0
286,2,1
287,2,0
288,2,1
289,2,0
290,2,0
291,2,1
292,2,0
293,2,1
294,2,0
295,2,1
296,2,0
297,2,1
298,2,0
299,2,1
300,2,0
301,2,1
302,2,0
303,2,1
304,2,0
305,2,1
306,2,0
307,2,1
308,2,0
309,2,1
310,2,0
311,2,1
312,2,0
313,2,1
314,2,0
315,2,1
316,2,0
317,2,1
318,2,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
319,3,0
320,3,0
321,3,0
322,3,0
323,3,0
324,3,0
325,3,0
326,3,0
327,3,0
328,3,0
329,3,0
330,3,0
331,3,0
332,3,0
333,3,0
334,3,0
335,3,0
336,3,0
337,3,0
338,3,0
339,3,0
340,3,0
341,3,0
342,3,0
343,3,0
344,3,0
345,3,0
346,3,0
347,3,0
348,3,0
349,3,0
350,3,0
351,3,0
352,3,0
353,3,0
354,3,0
355,3,0
356,3,0
357,3,0
358,3,0
359,3,0
360,3,0
361,3,0
362,3,0
363,3,0
364,3,0
365,3,0
366,3,0
367,3,0
368,3,0
319,2,1
320,2,0
321,2,1
322,2,0
323,2,0
324,2,1
325,2,0
326,2,1
327,2,0
328,2,1
329,2,0
330,2,1
331,2,0
332,2,1
333,2,0
334,2,1
335,2,0
336,2,1
337,2,0
338,2,1
339,2,0
340,2,0
341,2,1
342,2,0
343,2,1
344,2,0
345,2,1
346,2,0
347,2,1
348,2,0
349,2,1
350,2,0
351,2,1
352,2,0
353,2,1
354,2,0
355,2,1
356,2,0
357,2,1
358,2,0
359,2,1
360,2,0
361,2,1
362,2,0
363,2,1
364,2,0
365,2,1
366,2,0
367,2,1
368,2,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,1,1
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
369,3,0
370,3,0
371,3,0
372,3,0
373,3,0
374,3,0
375,3,0
376,3,0
377,3,0
378,3,0
379,3,0
380,3,0
381,3,0
382,3,0
383,3,0
384,3,0
385,3,0
386,3,0
387,3,0
388,3,0
389,3,0
390,3,0
391,3,0
392,3,0
393,3,0
394,3,0
395,3,0
396,3,0
397,3,0
398,3,0
399,3,0
400,3,0
401,3,0
402,3,0
403,3,0
404,3,0
405,3,0
406,3,0
407,3,0
408,3,0
409,3,0
410,3,0
411,3,0
412,3,0
413,3,0
414,3,0
415,3,0
416,3,0
417,3,0
418,3,0
369,2,1
370,2,0
371,2,1
372,2,0
373,2,0
374,2,1
375,2,0
376,2,1
377,2,0
378,2,1
379,2,0
380,2,1
381,2,0
382,2,1
383,2,0
384,2,1
385,2,0
386,2,1
387,2,0
388,2,1
389,2,0
390,2,0
391,2,1
392,2,0
393,2,1
394,2,0
395,2,1
396,2,0
397,2,1
398,2,0
399,2,1
400,2,0
401,2,1
402,2,0
403,2,1
404,2,0
405,2,1
406,2,0
407,2,1
408,2,0
409,2,1
410,2,0
411,2,1
412,2,0
413,2,1
414,2,0
415,2,1
416,2,0
417,2,1
418,2,1
