"id","nom","id_preparation","id_calendrier","ordre","couleur"
1,Mardi,3,1,1,#ef476f
2,Mardi (Jardins),3,1,2,""
3,Mercredi matin,3,2,3,#ffd166
4,Mercredi après-midi,3,2,4,#06d6a0
5,Mercredi (Ent.),3,2,5,#118ab2
6,Mercredi (Jardins),3,2,6,#073b4c
7,Jeudi (Salariés),4,,1,""
8,Jeudi (Charmes),4,,2,""
9,Vendredi (Épinal),4,3,3,""
10,Vendredi (Gérardmer),4,3,4,""
11,Vendredi (Ent.),4,3,5,""
12,Vendredi (Jardins),4,3,6,""
13,Mardi après-midi,5,,1,#8ac926
14,Mercredi matin,5,,2,#ff595e
15,Mercredi après-midi,5,,3,#ffca3a
16,Jeudi matin,6,,1,#1982c4
17,Jeudi après midi,6,,2,#6a4c93
18,Vendredi matin,6,,3,#343434
19,Mardi matin,1,,1,#177e89
20,Mardi après midi,1,,2,#084c61
21,Mercredi matin,1,,3,#db3a34
22,Mercredi après-midi,2,,1,#ffc857
23,Vendredi matin,2,,2,""
25,Vendredi après-midi,2,,3,
