tournee,depot,ordre
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
2,12,1
2,13,2
2,14,3
2,15,4
2,16,5
2,17,6
2,19,7
2,20,8
2,21,9
2,22,10
3,23,1
3,24,2
3,25,3
3,26,4
3,27,5
3,29,6
3,30,7
3,31,8
3,32,9
3,33,10
4,34,1
4,35,2
4,36,3
4,37,4
4,38,5
4,39,6
4,40,7
4,41,8
4,42,9
4,43,10
4,44,11
4,45,12
4,46,13
4,22,14
5,47,1
5,24,2
5,25,3
5,48,4
5,42,5
5,26,6
5,49,7
5,50,8
5,51,9
5,28,10
5,27,11
5,32,12
5,33,13
6,47,1
6,8,2
6,52,3
6,53,4
6,54,5
6,55,6
6,56,7
6,57,8
6,58,9
6,7,10
6,5,11
7,12,1
7,4,2
7,60,3
7,61,4
7,62,5
7,18,5
7,17,7
7,19,8
7,63,9
7,64,10
