"order_id","customer_id","employe_id","order_date","required_date","shipped_date","ship_via","freight","ship_name","ship_address","ship_city","ship_region","ship_postal_code","ship_country","adresse_id","livraison_methode"
10249,TOMSP,6,2023-07-05,2023-08-16,2023-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,"44087",Germany',1079,2
10250,HANAR,4,2023-07-08,2023-08-05,2023-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,"05454-876",Brazil',1034,3
10251,VICTE,3,2023-07-08,2023-08-05,2023-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,"69004",fr,1084,2
10252,SUPRD,4,2023-07-09,2023-08-06,2023-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium',1076,3
10253,HANAR,3,2023-07-10,2023-07-24,2023-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,"05454-876",Brazil',1034,4
10256,WELLI,3,2023-07-15,2023-08-12,2023-07-17,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,"08737-363",Brazil',1088,3
10257,HILAA,4,2023-07-16,2023-08-13,2023-07-22,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,"5022",Venezuela',1035,3
10258,ERNSH,1,2023-07-17,2023-08-14,2023-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,"8010",Austria',1020,1
10259,CENTC,4,2023-07-18,2023-08-15,2023-07-25,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,"05022",Mexico',1013,2
10260,OTTIK,4,2023-07-19,2023-08-16,2023-07-29,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,"50739",Germany',1056,3
10261,QUEDE,4,2023-07-19,2023-08-16,2023-07-30,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,"02389-673",Brazil',1061,0
10262,RATTC,8,2023-07-22,2023-08-19,2023-07-25,3,48.29,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,NM,"87110",USA',1065,3
10263,ERNSH,9,2023-07-23,2023-08-20,2023-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,"8010",Austria',1020,2
10264,FOLKO,6,2023-07-24,2023-08-21,2023-08-23,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden',1024,2
10265,BLONP,2,2023-07-25,2023-08-22,2023-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,"67000",fr,1007,2
10266,WARTH,3,2023-07-26,2023-09-06,2023-07-31,3,25.73,Wartian Herkku,Torikatu 38,Oulu,,"90110",Finland',1087,1
10267,FRANK,4,2023-07-29,2023-08-26,2023-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,,"80805",Germany',1025,1
10268,GROSR,8,2023-07-30,2023-08-27,2023-08-02,3,66.29,GROSELLA-Restaurante,"5ª Ave. Los Palos Grandes",Caracas,DF,"1081",Venezuela',1033,0
10270,WARTH,1,2023-08-01,2023-08-29,2023-08-02,1,136.54,Wartian Herkku,Torikatu 38,Oulu,,"90110",Finland',1087,1
10271,SPLIR,6,2023-08-01,2023-08-29,2023-08-30,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,"82520",USA',1075,3
10272,RATTC,6,2023-08-02,2023-08-30,2023-08-06,2,98.03,Rattlesnake Canyon Grocery,"2817 Milton Dr.",Albuquerque,NM,"87110",USA',1065,1
10273,QUICK,3,2023-08-05,2023-09-02,2023-08-12,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,,"01307",Germany',1063,1
10275,MAGAA,1,2023-08-07,2023-09-04,2023-08-09,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,"24100",Italy',1049,2
10276,TORTU,8,2023-08-08,2023-08-22,2023-08-14,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,"05033",Mexico',1080,3
10277,MORGK,2,2023-08-09,2023-09-06,2023-08-13,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,"04179",Germany',1052,3
10278,BERGS,8,2023-08-12,2023-09-09,2023-08-16,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden',1005,1
10279,LEHMS,8,2023-08-13,2023-09-10,2023-08-16,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,"60528",Germany',1044,3
11050,FOLKO,8,1998-04-27,1998-05-25,1998-05-05,2,59.41,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden',1024,3
11051,LAMAI,7,1998-04-27,1998-05-25,,3,2.79,La maison d''Asie,"1 rue Alsace-Lorraine",Toulouse,,"31000",fr,1041,1
11052,HANAR,3,1998-04-27,1998-05-25,1998-05-01,1,67.26,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,"05454-876",Brazil',1034,4
11053,PICCO,2,1998-04-27,1998-05-25,1998-04-29,2,53.05,Piccolo und mehr,Geislweg 14,Salzburg,,"5020",Austria',1059,2
