order_id,customer_id,employe_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country
10248,VINET,5,29.05.7320,28.01.7328,11.09.7323,3,32.3800010,Vins et alcools Chevalier,59 rue de l''Abbaye,Reims,,51100,France
10249,TOMSP,6,06.09.7320,07.03.7332,19.01.7322,1,11.6100000,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany'
10250,HANAR,4,03.07.7321,03.03.7329,07.08.7322,2,65.8300020,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil'
10251,VICTE,3,03.07.7321,03.03.7329,03.06.7323,1,41.3400000,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,fr
10252,SUPRD,4,11.10.7321,11.06.7329,29.04.7322,2,51.2999990,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium'
10253,HANAR,3,19.01.7322,19.11.7325,11.09.7323,2,58.1699980,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil'
10254,CHOPS,5,29.04.7322,28.12.7329,11.08.7325,2,22.9800000,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland'
10255,RICSU,9,07.08.7322,07.04.7330,03.06.7323,3,148.330002,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland'
10256,WELLI,3,03.06.7323,01.02.7331,20.12.7323,2,13.9700000,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil'
10257,HILAA,4,11.09.7323,12.05.7331,03.05.7325,3,81.9100040,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela'
10258,ERNSH,1,20.12.7323,20.08.7331,11.08.7325,1,140.509995,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria'
10259,CENTC,4,29.03.7324,28.11.7331,27.02.7326,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,5022,Mexico'
10260,OTTIK,4,07.07.7324,07.03.7332,03.04.7327,1,55.0900000,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany'
10261,QUEDE,4,07.07.7324,07.03.7332,12.07.7327,2,3.05000000,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil'
10262,RATTC,8,03.05.7325,01.01.7333,27.02.7326,3,48.2900010,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA'
10263,ERNSH,9,11.08.7325,11.04.7333,20.10.7327,3,146.059998,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria'
10264,FOLKO,6,19.11.7325,20.07.7333,05.02.7334,3,3.67000000,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden'
10265,BLONP,2,27.02.7326,28.10.7333,01.02.7331,1,55.2799990,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,fr
10266,WARTH,3,07.06.7326,06.12.7337,20.10.7327,3,25.7300000,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland'
10267,FRANK,4,03.04.7327,02.12.7334,11.06.7329,1,208.580002,Frankenversand,Berliner Platz 43,München,,80805,Germany'
10268,GROSR,8,12.07.7327,12.03.7335,07.05.7328,3,66.2900010,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela'
10269,WHITC,5,20.10.7327,20.08.7331,07.04.7330,1,4.56000000,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA'
10270,WARTH,1,28.01.7328,28.09.7335,07.05.7328,1,136.539993,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland'
