"id","nom","code","adresse","codepostal","ville"
1,BNP Paribas,BNPAFRPPEPL,12 quai des Bons Enfants,88000,Épinal
2,Boursorama,BOUSFRPPBDF,44 rue Traversière,92100,Boulogne Billancourt
3,Caisse d'Épargne,CEPAFRPP513,1 avenue du Rhin,67000,Strasbourg
4,Crédit Agricole,AGRIFRPP861,56-58 avenue André Malraux,57000,Metz
5,LCL,CRLYFRPPRMA,87 rue des 3 Fontanot,92000,Nanterre
6,HSBC Continental Europe,CCFRFRPP310,48-52 rue Saint Jean,54000,Nancy
7,Société Générale,SOGEFRPPSTD,2 rue Gambetta,88100,Saint Dié des Vosges
8,La Banque Postale Centre Financier de Nancy,PSSTFRPPNCY,53 rue des Jardiniers,54900,Nancy
9,Banque Populaire Alsace Lorraine Champagne,CCBPFRPPMTZ,3 rue François de Curel,57021,Metz
10,Crédit Mutuel Strasbourg,CMCIFR2ACEE,rue Fredéric-Guillaume Raiffeisen 4,67000,Strasbourg
