code,langue_code,officiel,pourcentage
af,bal,0,0.9
af,pus,1,52.4
af,tuk,0,1.9
af,uzb,0,8.8
al,ell,0,1.8
al,mkd,0,0.1
al,sqi,1,97.9
ad,cat,1,32.3
ad,fra,0,6.2
ad,por,0,10.8
ad,spa,0,44.6
ae,arb,1,42.0
ae,hin,0,0.0
ar,ita,0,1.7
ar,spa,1,96.8
am,aze,0,2.6
am,hye,1,93.4
ag,eng,1,0.0
au,arb,0,1.0
au,deu,0,0.6
au,ell,0,1.6
au,eng,1,81.2
au,hbs,0,0.6
au,ita,0,2.2
au,vie,0,0.8
at,ces,0,0.2
at,deu,1,92.0
at,hbs,0,2.2
at,hun,0,0.4
at,pol,0,0.2
at,ron,0,0.2
at,slv,0,0.4
at,tur,0,1.5
az,aze,1,89.0
az,hye,0,2.0
az,rus,0,3.0
bi,fra,1,0.0
bi,run,1,98.1
bi,swa,0,0.0
be,arb,0,1.6
be,deu,1,1.0
be,fra,1,32.6
be,ita,0,2.4
be,nld,1,59.2
be,tur,0,0.9
bj,ful,0,5.6
bf,ful,0,9.7
bd,ben,1,97.7
bg,bul,1,83.2
bg,mkd,0,2.6
bg,rom,0,3.7
bg,tur,0,9.4
bh,arb,1,67.7
bh,eng,0,0.0
ba,hbs,1,99.2
by,bel,1,65.6
by,pol,0,0.6
by,rus,1,32.0
by,ukr,0,1.3
bz,eng,1,50.8
bz,spa,0,31.6
bo,aym,1,3.2
bo,spa,1,87.7
br,deu,0,0.5
br,ita,0,0.4
br,jpn,0,0.4
br,por,1,97.5
bb,eng,1,0.0
bn,eng,0,3.1
bn,msa,1,45.5
bn,zho,0,9.3
bt,nep,0,34.8
ca,deu,0,1.6
ca,eng,1,60.4
ca,fra,1,23.4
ca,ita,0,1.7
ca,nld,0,0.5
ca,pan,0,0.7
ca,pol,0,0.7
ca,por,0,0.7
ca,spa,0,0.7
ca,ukr,0,0.6
ca,zho,0,2.5
ch,deu,1,63.6
ch,fra,1,19.2
ch,ita,1,7.7
ch,roh,1,0.6
cl,aym,0,0.5
cl,spa,1,89.7
cn,mon,0,0.4
cn,zho,1,92.0
cm,ful,0,9.6
ck,eng,0,0.0
co,spa,1,99.0
cv,por,1,0.0
cr,spa,1,97.5
cr,zho,0,0.2
cu,spa,1,100.0
cy,ell,1,74.1
cy,tur,1,22.4
cz,ces,1,81.2
cz,deu,0,0.5
cz,hun,0,0.2
cz,pol,0,0.6
cz,rom,0,0.3
cz,slk,0,3.1
de,deu,1,91.3
de,ell,0,0.4
de,ita,0,0.7
de,pol,0,0.3
de,tur,0,2.6
dj,arb,1,10.6
dj,som,0,43.9
dk,arb,0,0.7
dk,dan,1,93.5
dk,deu,0,0.5
dk,eng,0,0.3
dk,nob,0,0.3
dk,swe,0,0.3
dk,tur,0,0.8
do,spa,1,98.0
dz,arb,1,86.0
dz,ber,0,14.0
ec,spa,1,93.0
eg,arb,1,98.8
er,tir,1,49.1
es,cat,0,16.9
es,eus,0,1.6
es,glg,0,6.4
es,spa,1,74.4
ee,bel,0,1.4
ee,est,1,65.3
ee,fin,0,0.7
ee,rus,0,27.8
ee,ukr,0,2.8
et,som,0,4.1
et,tir,0,7.2
fi,est,0,0.2
fi,fin,1,92.7
fi,rus,0,0.4
fi,sme,0,0.0
fi,swe,1,5.7
fj,hin,0,43.7
fr,arb,0,2.5
fr,fra,1,93.6
fr,ita,0,0.4
fr,por,0,1.2
fr,spa,0,0.4
fr,tur,0,0.6
gb,eng,1,97.3
ge,aze,0,5.5
ge,hye,0,6.8
ge,kat,1,71.7
ge,rus,0,8.8
gn,ful,0,38.6
gm,ful,0,16.2
gm,wol,0,12.6
gw,ful,0,16.6
gw,por,1,8.1
gr,ell,1,98.5
gr,tur,0,0.9
gl,dan,1,12.5
gl,kal,1,87.5
gt,spa,1,64.7
hk,eng,1,2.2
hn,spa,1,97.2
hr,hbs,1,95.9
hr,slv,0,0.0
ht,fra,1,0.0
hu,deu,0,0.4
hu,hbs,0,0.2
hu,hun,1,98.5
hu,rom,0,0.5
hu,ron,0,0.1
hu,slk,0,0.1
id,msa,1,12.1
in,ben,0,8.2
in,guj,0,4.8
in,hin,1,39.9
in,pan,0,2.8
in,tam,0,6.3
in,tel,0,7.8
in,urd,0,5.1
ie,eng,1,98.4
ie,gle,1,1.6
ir,arb,0,2.2
ir,aze,0,16.8
ir,bal,0,2.3
ir,fas,1,45.7
ir,kur,0,9.1
ir,tuk,0,1.6
iq,arb,1,77.2
iq,aze,0,1.7
iq,fas,0,0.8
iq,kur,0,19.0
is,eng,0,0.0
is,isl,1,95.7
il,arb,1,18.0
il,heb,1,63.1
il,rus,0,8.9
it,deu,0,0.5
it,fra,0,0.5
it,fur,0,1.2
it,ita,1,94.1
it,rom,0,0.2
it,slv,0,0.2
it,sqi,0,0.2
it,srd,0,2.7
jm,hin,0,1.9
jo,arb,1,97.9
jo,hye,0,1.0
jp,ain,0,0.1
jp,eng,0,0.1
jp,jpn,1,99.1
jp,kor,0,0.5
jp,zho,0,0.2
kz,deu,0,3.1
kz,kaz,1,46.0
kz,rus,0,34.7
kz,tat,0,2.0
kz,ukr,0,5.0
kz,uzb,0,2.3
kg,kaz,0,0.8
kg,kir,1,59.7
kg,rus,1,16.2
kg,tat,0,1.3
kg,tgk,0,0.8
kg,ukr,0,1.7
kg,uzb,0,14.1
kh,khm,1,88.6
kh,vie,0,5.5
kh,zho,0,3.1
ki,gil,1,98.9
kn,eng,1,0.0
kr,kor,1,99.9
kr,zho,0,0.1
kw,arb,1,78.1
kw,eng,0,0.0
la,lao,1,67.2
la,tha,0,7.8
lb,arb,1,93.0
lb,fra,0,0.0
lb,hye,0,5.9
ly,arb,1,96.0
ly,ber,0,1.0
lc,eng,1,20.0
li,deu,1,89.0
li,ita,0,2.5
li,tur,0,2.5
lk,sin,1,60.3
lk,tam,1,19.6
ls,eng,1,0.0
ls,zul,0,15.0
lt,bel,0,1.4
lt,lit,1,81.6
lt,pol,0,7.0
lt,rus,0,8.1
lt,ukr,0,1.1
lu,deu,1,2.3
lu,fra,1,4.2
lu,ita,0,4.6
lu,ltz,1,64.4
lu,por,0,13.0
lv,bel,0,4.1
lv,lav,1,55.1
lv,lit,0,1.2
lv,pol,0,2.1
lv,rus,0,32.5
lv,ukr,0,2.9
ma,arb,1,65.0
ma,ber,0,33.0
mc,eng,0,6.5
mc,fra,1,41.9
mc,ita,0,16.1
md,bul,0,1.6
md,ron,1,61.9
md,rus,0,23.2
md,ukr,0,8.6
mg,fra,1,0.0
mg,mlg,1,98.9
mv,div,1,100.0
mv,eng,0,0.0
mx,myn,0,1.1
mx,nci,0,1.8
mx,oto,0,0.4
mx,spa,1,92.1
mh,eng,1,0.0
mk,hbs,0,2.0
mk,mkd,1,66.5
mk,rom,0,2.3
mk,sqi,0,22.9
mk,tur,0,4.0
ml,ful,0,13.9
mt,eng,1,2.1
mt,mlt,1,95.8
mm,mya,1,69.0
mn,kaz,0,5.9
mn,mon,1,78.8
mr,ful,0,1.2
mr,wol,0,6.6
mu,fra,0,3.4
mu,hin,0,1.2
mu,tam,0,0.8
my,eng,0,1.6
my,msa,1,58.4
my,tam,0,3.9
my,zho,0,9.0
na,afr,0,9.5
na,deu,0,0.9
ne,ful,0,9.7
ng,ful,0,11.3
ni,spa,1,97.6
nu,eng,1,0.0
nl,arb,0,0.9
nl,nld,1,95.6
nl,tur,0,0.8
no,dan,0,0.4
no,eng,0,0.5
no,nno,1,14.3
no,nob,1,96.6
no,sme,0,0.0
no,swe,0,0.3
np,hin,0,3.0
np,mai,0,11.9
np,nep,1,50.4
nr,eng,1,7.5
nr,gil,0,17.9
nr,nau,1,57.5
nr,tvl,0,8.5
nr,zho,0,8.5
nz,eng,1,87.0
om,arb,1,76.7
om,bal,0,0.0
pk,bal,0,3.0
pk,pan,0,48.2
pk,pus,0,13.1
pk,urd,1,7.6
pa,arb,0,0.6
pa,spa,1,76.8
pe,aym,1,2.3
pe,spa,1,79.8
ph,tgl,1,29.3
pw,eng,1,3.2
pw,zho,0,1.6
pl,bel,0,0.5
pl,deu,0,1.3
pl,pol,1,97.6
pl,ukr,0,0.6
pr,eng,0,47.4
pr,spa,1,51.3
kp,kor,1,99.9
kp,zho,0,0.1
pt,por,1,99.0
py,deu,0,0.9
py,por,0,3.2
py,spa,1,55.1
ps,arb,0,95.9
ps,heb,0,4.1
qa,arb,1,40.7
qa,urd,0,0.0
ro,deu,0,0.4
ro,hbs,0,0.1
ro,hun,0,7.2
ro,rom,1,0.7
ro,ron,1,90.7
ro,ukr,0,0.3
ru,bel,0,0.3
ru,kaz,0,0.4
ru,rus,1,86.6
ru,tat,0,3.2
ru,ukr,0,1.3
rw,fra,1,0.0
rw,kin,1,100.0
sa,arb,1,95.0
sd,arb,1,49.4
sn,ful,0,21.7
sn,wol,1,48.1
sg,msa,1,14.1
sg,tam,1,7.4
sg,zho,1,77.1
sl,ful,0,3.8
sv,spa,1,100.0
sm,ita,1,100.0
