01581,Westboro,us-ma
01730,Bedford,us-ma
01833,Georgetow,us-ma
02116,Boston,us-ma
02139,Cambridge,us-ma
02184,Braintree,us-ma
02903,Providence,us-ri
03049,Hollis,us-nh
03801,Portsmouth,us-nh
06897,Wilton,us-ct
07960,Morristown,us-nj
08837,Edison,us-nj
10019,New York,us-ny
10038,New York,us-ny
11747,Mellvile,us-ny
14450,Fairport,us-ny
19428,Conshohocken,us-pa
19713,Newark,us-de
20852,Rockville,us-md
27403,Greensboro,us-nc
27511,Cary,us-nc
29202,Columbia,us-sc
30346,Atlanta,us-ga
31406,Savannah,us-ga
32859,Orlando,us-fl
33607,Tampa,us-fl
33303,Fort Lauderdale,us-fl
40222,Louisville,us-ky
44122,Beachwood,us-oh
45839,Findlay,us-oh
44258,Medina,us-oh
48075,Southfield,us-mi
48084,Troy,us-mi
48304,Bloomfield Hills,us-mi
53404,Racine,us-wi
55113,Roseville,us-mn
55439,Minneapolis,us-mn
60179,Hoffman Estates,us-il
60601,Chicago,us-il
72716,Bentonville,us-ar
75234,Dallas,us-tx
78759,Austin,us-tx
80202,Denver,us-co
80909,Colorado Springs,us-co
85014,Phoenix,us-az
85251,Scottsdale,us-az
90405,Santa Monica,us-ca
94025,Menlo Park,us-ca
94105,San Francisco,us-ca
95008,Campbell,us-ca
95054,Santa Clara,us-ca
95060,Santa Cruz,us-ca
98004,Bellevue,us-wa
98052,Redmond,us-wa
98104,Seattle,us-wa
