code,hierarchie,region,francais,administration,capitale
FR-BL,001.019.419.029.663,Saint-Barthélemy,,collectivité d'outre-mer,Gustavia
BL-A,001.019.419.029.663.BL-A,Paroisse Sous le Vent,,12,
BL-B,001.019.419.029.663.BL-B,Paroisse Au Vent,,12,
BL-1,001.019.419.029.663.BL-A.BL-1,Colombier,,13,
BL-2,001.019.419.029.663.BL-A.BL-2,Flamands,,13,
BL-3,001.019.419.029.663.BL-A.BL-3,Terre Neuve,,13,
BL-4,001.019.419.029.663.BL-A.BL-4,Grande Vigie,,13,
BL-5,001.019.419.029.663.BL-A.BL-5,Corossol,,13,
BL-6,001.019.419.029.663.BL-A.BL-6,Merlette,,13,
BL-7,001.019.419.029.663.BL-A.BL-7,La Grande Montagne,,13,
BL-8,001.019.419.029.663.BL-A.BL-8,Anse des Lézards,,13,
BL-9,001.019.419.029.663.BL-A.BL-9,Anse des Cayes,,13,
BL-10,001.019.419.029.663.BL-A.BL-10,Le Palidor,,13,
BL-11,001.019.419.029.663.BL-A.BL-11,Public,,13,
BL-12,001.019.419.029.663.BL-A.BL-12,Col de la Tourmente,,13,
BL-13,001.019.419.029.663.BL-A.BL-13,Quartier du Roi,,13,
BL-14,001.019.419.029.663.BL-A.BL-14,Le Château,,13,
BL-15,001.019.419.029.663.BL-A.BL-15,Aéroport,,13,
BL-16,001.019.419.029.663.BL-A.BL-16,Saint-Jean,,13,
BL-17,001.019.419.029.663.BL-A.BL-17,Gustavia,,13,
BL-18,001.019.419.029.663.BL-A.BL-18,La Pointe,,13,
BL-19,001.019.419.029.663.BL-A.BL-19,Lurin,,13,
BL-20,001.019.419.029.663.BL-A.BL-20,Carénage,,13,
BL-21,001.019.419.029.663.BL-B.BL-21,Morne Criquet,,13,
BL-23,001.019.419.029.663.BL-B.BL-23,Gouverneur,,13,
BL-22,001.019.419.029.663.BL-B.BL-22,Morne de Dépoudré,,13,
BL-24,001.019.419.029.663.BL-B.BL-24,Anse du Gouverneur,,13,
BL-25,001.019.419.029.663.BL-B.BL-25,Morne Rouge,,13,
BL-26,001.019.419.029.663.BL-B.BL-26,Grande Saline,,13,
BL-27,001.019.419.029.663.BL-B.BL-27,Petite Saline,,13,
BL-28,001.019.419.029.663.BL-B.BL-28,Lorient,,13,
BL-29,001.019.419.029.663.BL-B.BL-29,Barrière des Quatre Vents,,13,
BL-30,001.019.419.029.663.BL-B.BL-30,Camaruche,,13,
BL-31,001.019.419.029.663.BL-B.BL-31,Grand Fond,,13,
BL-32,001.019.419.029.663.BL-B.BL-32,Toiny,,13,
BL-33,001.019.419.029.663.BL-B.BL-33,Devet,,13,
BL-34,001.019.419.029.663.BL-B.BL-34,Vitet,,13,
BL-35,001.019.419.029.663.BL-B.BL-35,Grand Cul-de-Sac,,13,
BL-36,001.019.419.029.663.BL-B.BL-36,Pointe Milou,,13,
BL-37,001.019.419.029.663.BL-B.BL-37,Mont Jean,,13,
BL-38,001.019.419.029.663.BL-B.BL-38,Marigot,,13,
BL-39,001.019.419.029.663.BL-B.BL-39,Anse de Grand Cul-de-Sac,,13,
BL-40,001.019.419.029.663.BL-B.BL-40,Petit Cul-de-Sac,,13,
