code,hierarchie,region,francais,administration,capitale
CA-AB,T.AME.AMN.CA.CA-AB,Alberta,Alberta,Provinces,
CA-BC,T.AME.AMN.CA.CA-BC,British Columbia,Colombie-Britannique,Provinces,
CA-MB,T.AME.AMN.CA.CA-MB,Manitoba,Manitoba,Provinces,
CA-NB,T.AME.AMN.CA.CA-NB,New Brunswick,Nouveau-Brunswick,Provinces,
CA-NL,T.AME.AMN.CA.CA-NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Provinces,
CA-NS,T.AME.AMN.CA.CA-NS,Nova Scotia,Nouvelle-Écosse,Provinces,
CA-ON,T.AME.AMN.CA.CA-ON,Ontario,Ontario,Provinces,
CA-PE,T.AME.AMN.CA.CA-PE,Prince Edward Island,Île-du-Prince-Édouard,Provinces,
CA-QC,T.AME.AMN.CA.CA-QC,Quebec,Québec,Provinces,
CA-SK,T.AME.AMN.CA.CA-SK,Saskatchewan,Saskatchewan,Provinces,
CA-NT,T.AME.AMN.CA.CA-NT,Northwest Territories,Territoires du Nord-Ouest,Territoires,
CA-NU,T.AME.AMN.CA.CA-NU,Nunavut,Nunavut,Territoires,
CA-YT,T.AME.AMN.CA.CA-YT,Yukon Territory,Territoire du Yukon,Territoires,
