https://fr.wikipedia.org/wiki/Bade-Wurtemberg
https://fr.wikipedia.org/wiki/Liste_des_r%C3%A9gions_NUTS_d%27Allemagne
https://skosmos.loterre.fr/9SD/en/page/-ZHX1PG80-2
https://skosmos.loterre.fr/9SD/en/page/-WMLC0B4G-3
https://fr.wikipedia.org/wiki/District_de_Laufenburg

MX-AGU, Aguascalientes,Estado Libre y Soberano de Aguascalientes
MX-BCN, Basse-Californie,Estado Libre y Soberano de Baja California
MX-BCS, Basse-Californie du Sud,Estado Libre y Soberano de Baja California Sur
MX-CAM, Campeche,Estado Libre y Soberano de Campeche
MX-CHH, Chihuahua,Estado Libre y Soberano de Chihuahua
MX-CHP, Chiapas,Estado Libre y Soberano de Chiapas
MX-COA, Coahuila,Estado Libre y Soberano de Coahuila de Zaragoza
MX-COL, Colima,Estado Libre y Soberano de Colima
MX-CMX, Ville de Mexico,Ciudad de México
MX-DUR, Durango,Estado Libre y Soberano de Durango
MX-GRO, Guerrero,Estado Libre y Soberano de Guerrero
MX-GUA, Guanajuato,Estado Libre y Soberano de Guanajuato
MX-HID, Hidalgo,Estado Libre y Soberano de Hidalgo
MX-JAL, Jalisco,Estado Libre y Soberano de Jalisco
MX-MEX, État de Mexico,Estado Libre y Soberano de México
MX-MIC, Michoacán,Estado Libre y Soberano de Michoacán de Ocampo
MX-MOR, Morelos,Estado Libre y Soberano de Morelos
MX-NAY, Nayarit,Estado Libre y Soberano de Nayarit
MX-NLE, Nuevo León,Estado Libre y Soberano de Nuevo León
MX-OAX, Oaxaca,Estado Libre y Soberano de Oaxaca
MX-PUE, Puebla,Estado Libre y Soberano de Puebla
MX-QUE, Querétaro,Estado Libre y Soberano de Querétaro
MX-ROO, Quintana Roo,Estado Libre y Soberano de Quintana Roo
MX-SIN, Sinaloa,Estado Libre y Soberano de Sinaloa
MX-SLP, San Luis Potosí,Estado Libre y Soberano de San Luis Potosí
MX-SON, Sonora,Estado Libre y Soberano de Sonora
MX-TAB, Tabasco,Estado Libre y Soberano de Tabasco
MX-TAM, Tamaulipas,Estado Libre y Soberano de Tamaulipas
MX-TLA, Tlaxcala,Estado Libre y Soberano de Tlaxcala
MX-VER, Veracruz,Estado Libre y Soberano de Veracruz de Ignacio de la Llave
MX-YUC, Yucatán,Estado Libre y Soberano de Yucatán
MX-ZAC, Zacatecas,Estado Libre y Soberano de Zacatecas
