code,hierarchie,region,francais,administration,capitale
ES,T.EUR.EUS.ES,Espagne,,1,Madrid
ES-AN,T.EUR.EUS.ES.ES-AN,Andalucía,Andalousie,comunidad autónoma,Sevilla
ES-AR,T.EUR.EUS.ES.ES-AR,Aragón,,comunidad autónoma,Zaragoza
ES-AS,T.EUR.EUS.ES.ES-AS,"Asturias, Principado de",,comunidad autónoma,Oviedo
ES-CN,T.EUR.EUS.ES.ES-CN,Canarias,,comunidad autónoma,Las Palmas de Gran Canaria
ES-CB,T.EUR.EUS.ES.ES-CB,Cantabria,,comunidad autónoma,Santander
ES-CM,T.EUR.EUS.ES.ES-CM,Castilla-La Mancha,,comunidad autónoma,Toledo
ES-CL,T.EUR.EUS.ES.ES-CL,Castilla y León,,comunidad autónoma,Valladolid
ES-CT,T.EUR.EUS.ES.ES-CT,Catalunya,,comunidad autónoma,Barcelona
ES-EX,T.EUR.EUS.ES.ES-EX,Extremadura,,comunidad autónoma,Mérida
ES-GA,T.EUR.EUS.ES.ES-GA,Galicia,,comunidad autónoma,Santiago de Compostela
ES-IB,T.EUR.EUS.ES.ES-IB,Islas Baleares,,comunidad autónoma,Palma
ES-RI,T.EUR.EUS.ES.ES-RI,La Rioja,,comunidad autónoma,Logroño
ES-MD,T.EUR.EUS.ES.ES-MD,"Madrid, Comunidad de",,comunidad autónoma,Madrid
ES-MC,T.EUR.EUS.ES.ES-MC,"Murcia, Región de",,comunidad autónoma,Murcia
ES-NC,T.EUR.EUS.ES.ES-NC,"Navarra, Comunidad Foral de",,comunidad autónoma,Pamplona / Iruñea
ES-PV,T.EUR.EUS.ES.ES-PV,Euskadi,,Autonomia Erkidegoa,Vitoria-Gasteiz
ES-VC,T.EUR.EUS.ES.ES-VC,"Valenciana, Comunitat",,comunidad autónoma,Valencia
ES-CE,T.EUR.EUS.ES.ES-CE,Ceuta,,ciudades autónomas en el Norte de África,Ceuta
ES-ML,T.EUR.EUS.ES.ES-ML,Melilla,,ciudades autónomas en el Norte de África,Melilla
ES-A,T.EUR.EUS.ES.ES-VC.ES-A,Alicante,,provincia,Alicante
ES-AB,T.EUR.EUS.ES.ES-CM.ES-AB,Albacete,,provincia,Albacete
ES-AL,T.EUR.EUS.ES.ES-AN.ES-AL,Almería,,provincia,Almería
ES-AV,T.EUR.EUS.ES.ES-CL.ES-AV,Ávila,,provincia,Ávila
ES-B,T.EUR.EUS.ES.ES-CT.ES-B,Barcelona,,provincia,Barcelona
ES-BA,T.EUR.EUS.ES.ES-EX.ES-BA,Badajoz,,provincia,Mérida
ES-BI,T.EUR.EUS.ES.ES-PV.ES-BI,Vizcaya,,provincia,Bilbao
ES-BU,T.EUR.EUS.ES.ES-CL.ES-BU,Burgos,,provincia,Burgos
ES-C,T.EUR.EUS.ES.ES-GA.ES-C,A Coruña,,provincia,Santiago de Compostela
ES-CA,T.EUR.EUS.ES.ES-AN.ES-CA,Cádiz,,provincia,Cádiz
ES-CC,T.EUR.EUS.ES.ES-EX.ES-CC,Cáceres,,provincia,Cáceres
ES-CO,T.EUR.EUS.ES.ES-AN.ES-CO,Córdoba,,provincia,Córdoba
