code,hierarchie,region,francais,administration,capitale
GB,T.EUR.EUN.GB,Royaume-Uni,,1,Londres
GB-ENG,T.EUR.EUN.GB.GB-ENG,England,Angleterre,1,
GB-SCT,T.EUR.EUN.GB.GB-SCT,Scotland,Écosse,1,
GB-WLS,T.EUR.EUN.GB.GB-WLS,Wales [Cymru GB-CYM],Pays de Galles,1,
GB-NIR,T.EUR.EUN.GB.GB-NIR,Northern Ireland,,province,
GB-BDG,T.EUR.EUN.GB.GB-ENG.GB-BDG,Barking and Dagenham,,arrondissement de Londres,
GB-BNE,T.EUR.EUN.GB.GB-ENG.GB-BNE,Barnet,,arrondissement de Londres,
GB-BEX,T.EUR.EUN.GB.GB-ENG.GB-BEX,Bexley,,arrondissement de Londres,
GB-BEN,T.EUR.EUN.GB.GB-ENG.GB-BEN,Brent,,arrondissement de Londres,
GB-BRY,T.EUR.EUN.GB.GB-ENG.GB-BRY,Bromley,,arrondissement de Londres,
GB-CMD,T.EUR.EUN.GB.GB-ENG.GB-CMD,Camden,,arrondissement de Londres,
GB-CRY,T.EUR.EUN.GB.GB-ENG.GB-CRY,Croydon,,arrondissement de Londres,
GB-EAL,T.EUR.EUN.GB.GB-ENG.GB-EAL,Ealing,,arrondissement de Londres,
GB-ENF,T.EUR.EUN.GB.GB-ENG.GB-ENF,Enfield,,arrondissement de Londres,
GB-GRE,T.EUR.EUN.GB.GB-ENG.GB-GRE,Greenwich,,arrondissement de Londres,
GB-HCK,T.EUR.EUN.GB.GB-ENG.GB-HCK,Hackney,,arrondissement de Londres,
GB-HMF,T.EUR.EUN.GB.GB-ENG.GB-HMF,Hammersmith and Fulham,,arrondissement de Londres,
GB-HRY,T.EUR.EUN.GB.GB-ENG.GB-HRY,Haringey,,arrondissement de Londres,
GB-HRW,T.EUR.EUN.GB.GB-ENG.GB-HRW,Harrow,,arrondissement de Londres,
GB-HAV,T.EUR.EUN.GB.GB-ENG.GB-HAV,Havering,,arrondissement de Londres,
GB-HIL,T.EUR.EUN.GB.GB-ENG.GB-HIL,Hillingdon,,arrondissement de Londres,
GB-HNS,T.EUR.EUN.GB.GB-ENG.GB-HNS,Hounslow,,arrondissement de Londres,
GB-ISL,T.EUR.EUN.GB.GB-ENG.GB-ISL,Islington,,arrondissement de Londres,
GB-KEC,T.EUR.EUN.GB.GB-ENG.GB-KEC,Kensington and Chelsea,,arrondissement de Londres,
GB-KTT,T.EUR.EUN.GB.GB-ENG.GB-KTT,Kingston upon Thames,,arrondissement de Londres,
GB-LBH,T.EUR.EUN.GB.GB-ENG.GB-LBH,Lambeth,,arrondissement de Londres,
GB-LEW,T.EUR.EUN.GB.GB-ENG.GB-LEW,Lewisham,,arrondissement de Londres,
GB-MRT,T.EUR.EUN.GB.GB-ENG.GB-MRT,Merton,,arrondissement de Londres,
GB-NWM,T.EUR.EUN.GB.GB-ENG.GB-NWM,Newham,,arrondissement de Londres,
GB-RDB,T.EUR.EUN.GB.GB-ENG.GB-RDB,Redbridge,,arrondissement de Londres,
GB-RIC,T.EUR.EUN.GB.GB-ENG.GB-RIC,Richmond upon Thames,,arrondissement de Londres,
