
code,hierarchie,region,francais,administration,capitale
GR,T.EUR.EUS.GR,Grèce,,1,Athènes
GR-A,T.EUR.EUS.GR.GR-A,Ανατολική Μακεδονία και Θράκη,Macédoine-Orientale-et-Thrace,Périphérie,
GR-B,T.EUR.EUS.GR.GR-B,Κεντρική Μακεδονία,Macédoine centrale,Périphérie,
GR-C,T.EUR.EUS.GR.GR-C,Δυτική Μακεδονία,Macédoine de l'Ouest,Périphérie,
GR-D,T.EUR.EUS.GR.GR-D,Ήπειρος,Épire,Périphérie,
GR-E,T.EUR.EUS.GR.GR-E,Θεσσαλία,Thessalie,Périphérie,
GR-F,T.EUR.EUS.GR.GR-F,Ιόνια Νησιά,Îles Ioniennes,Périphérie,
GR-G,T.EUR.EUS.GR.GR-G,Δυτική Ελλάδα,Attique de l'Ouest,Périphérie,
GR-H,T.EUR.EUS.GR.GR-H,Στερεά Ελλάδα,Grèce centrale,Périphérie,
GR-I,T.EUR.EUS.GR.GR-I,Αττική,Attique,Périphérie,
GR-J,T.EUR.EUS.GR.GR-J,Πελοπόννησος,Péloponnèse,Périphérie,
GR-K,T.EUR.EUS.GR.GR-K,Βόρειο Αιγαίο,Nord de l’Égée,Périphérie,
GR-L,T.EUR.EUS.GR.GR-L,Νότιο Αιγαίο,Sud de l’Égée,Périphérie,
GR-M,T.EUR.EUS.GR.GR-M,Κρήτη,Crète,Périphérie,
GR-75,T.EUR.EUS.GR.GR-75,Άγιο Όρος,Mont Athos,Région autonome,
GR-1,T.EUR.EUS.GR.GR-A.GR-1,Δράμας,Drama,districts régionaux,
GR-2,T.EUR.EUS.GR.GR-A.GR-2,Έβρου,Évros,districts régionaux,
GR-3,T.EUR.EUS.GR.GR-A.GR-3,Καβάλας,Kavala,districts régionaux,
GR-4,T.EUR.EUS.GR.GR-A.GR-4,Θάσου,Thasos,districts régionaux,
GR-5,T.EUR.EUS.GR.GR-A.GR-5,Ξάνθης,Xánthi,districts régionaux,
GR-6,T.EUR.EUS.GR.GR-A.GR-6,Ροδόπης,Rhodope,districts régionaux,
GR-7,T.EUR.EUS.GR.GR-B.GR-7,Ημαθίας,Imathie,districts régionaux,
GR-8,T.EUR.EUS.GR.GR-B.GR-8,Θεσσαλονίκης,Thessalonique,districts régionaux,
GR-9,T.EUR.EUS.GR.GR-B.GR-9,Κιλκίς,Kilkís,districts régionaux,
GR-10,T.EUR.EUS.GR.GR-B.GR-10,Πέλλας,Pella,districts régionaux,
GR-11,T.EUR.EUS.GR.GR-B.GR-11,Πιερίας,Piérie,districts régionaux,
GR-12,T.EUR.EUS.GR.GR-B.GR-12,Σερρών,Serrès,districts régionaux,
GR-13,T.EUR.EUS.GR.GR-B.GR-13,Χαλκιδικής,Chalcidique,districts régionaux,
GR-14,T.EUR.EUS.GR.GR-C.GR-14,Γρεβενών,Grevena,districts régionaux,
GR-15,T.EUR.EUS.GR.GR-C.GR-15,Καστοριάς,Kastoria,districts régionaux,
GR-16,T.EUR.EUS.GR.GR-C.GR-16,Κοζάνης,Kozani,districts régionaux,
GR-17,T.EUR.EUS.GR.GR-C.GR-17,Φλώρινας,Flórina,districts régionaux,
GR-18,T.EUR.EUS.GR.GR-D.GR-18,Άρτας,Arta,districts régionaux,
