code,hierarchie,region,francais,administration,capitale
JP,T.ASI.ASE.JP,日本,Japon,1,Tokyo
JP-01,T.ASI.ASE.JP.JP-01,Hokkaidō-ken,,todōfuken,Sapporo
JP-02,T.ASI.ASE.JP.JP-02,Aomori-ken,,todōfuken,Aomori
JP-03,T.ASI.ASE.JP.JP-03,Iwate-ken,,todōfuken,Morioka
JP-04,T.ASI.ASE.JP.JP-04,Miyagi-ken,,todōfuken,Sendai
JP-05,T.ASI.ASE.JP.JP-05,Akita-ken,,todōfuken,Akita
JP-06,T.ASI.ASE.JP.JP-06,Yamagata-ken,,todōfuken,Yamagata
JP-07,T.ASI.ASE.JP.JP-07,Fukushima-ken,,todōfuken,Fukushima
JP-08,T.ASI.ASE.JP.JP-08,Ibaraki-ken,,todōfuken,Mito
JP-09,T.ASI.ASE.JP.JP-09,Tochigi-ken,,todōfuken,Utsunomiya
JP-10,T.ASI.ASE.JP.JP-10,Gunma-ken,,todōfuken,Maebashi
JP-11,T.ASI.ASE.JP.JP-11,Saitama-ken,,todōfuken,Saitama
JP-12,T.ASI.ASE.JP.JP-12,Chiba-ken,,todōfuken,Chiba
JP-13,T.ASI.ASE.JP.JP-13,Tokyo-to,,to,Tōkyō
JP-14,T.ASI.ASE.JP.JP-14,Kanagawa-ken,,todōfuken,Yokohama
JP-15,T.ASI.ASE.JP.JP-15,Niigata-ken,,todōfuken,Niigata
JP-16,T.ASI.ASE.JP.JP-16,Toyama-ken,,todōfuken,Toyama
JP-17,T.ASI.ASE.JP.JP-17,Ishikawa-ken,,todōfuken,Kanazawa
JP-18,T.ASI.ASE.JP.JP-18,Fukui-ken,,todōfuken,Fukui
JP-19,T.ASI.ASE.JP.JP-19,Yamanashi-ken,,todōfuken,Kōfu
JP-20,T.ASI.ASE.JP.JP-20,Nagano-ken,,todōfuken,Nagano
JP-21,T.ASI.ASE.JP.JP-21,Gifu-ken,,todōfuken,Gifu
JP-22,T.ASI.ASE.JP.JP-22,Shizuoka-ken,,todōfuken,Shizuoka
JP-23,T.ASI.ASE.JP.JP-23,Aichi-ken,,todōfuken,Nagoya
JP-24,T.ASI.ASE.JP.JP-24,Mie-ken,,todōfuken,Tsu
JP-25,T.ASI.ASE.JP.JP-25,Shiga-ken,,todōfuken,Ōtsu
JP-26,T.ASI.ASE.JP.JP-26,Kyoto-fu,,fu,Kyōto
JP-27,T.ASI.ASE.JP.JP-27,Osaka-fu,,fu,Ōsaka
JP-28,T.ASI.ASE.JP.JP-28,Hyogo-ken,,todōfuken,Kōbe
JP-29,T.ASI.ASE.JP.JP-29,Nara-ken,,todōfuken,Nara
JP-30,T.ASI.ASE.JP.JP-30,Wakayama-ken,,todōfuken,Wakayama
JP-31,T.ASI.ASE.JP.JP-31,Tottori-ken,,todōfuken,Tottori
JP-32,T.ASI.ASE.JP.JP-32,Shimane-ken,,todōfuken,Matsue
JP-33,T.ASI.ASE.JP.JP-33,Okayama-ken,,todōfuken,Okayama
JP-34,T.ASI.ASE.JP.JP-34,Hiroshima-ken,,todōfuken,Hiroshima
JP-35,T.ASI.ASE.JP.JP-35,Yamaguchi-ken,,todōfuken,Yamaguchi
JP-36,T.ASI.ASE.JP.JP-36,Tokushima-ken,,todōfuken,Tokushima
JP-37,T.ASI.ASE.JP.JP-37,Kagawa-ken,,todōfuken,Takamatsu
JP-38,T.ASI.ASE.JP.JP-38,Ehime-ken,,todōfuken,Matsuyama
JP-39,T.ASI.ASE.JP.JP-39,Kochi-ken,,todōfuken,Kōchi
JP-40,T.ASI.ASE.JP.JP-40,Fukuoka-ken,,todōfuken,Fukuoka
JP-41,T.ASI.ASE.JP.JP-41,Saga-ken,,todōfuken,Saga
JP-42,T.ASI.ASE.JP.JP-42,Nagasaki-ken,,todōfuken,Nagasaki
JP-43,T.ASI.ASE.JP.JP-43,Kumamoto-ken,,todōfuken,Kumamoto
JP-44,T.ASI.ASE.JP.JP-44,Oita-ken,,todōfuken,Ōita
JP-45,T.ASI.ASE.JP.JP-45,Miyazaki-ken,,todōfuken,Miyazaki
JP-46,T.ASI.ASE.JP.JP-46,Kagoshima-ken,,todōfuken,Kagoshima
JP-47,T.ASI.ASE.JP.JP-47,Okinawa-ken,,todōfuken,Naha
