code,hierarchie,region,francais,administration,capitale
KR,T.ASI.ASE.KR,Corée du Sud,,1,Séoul
KR-43,T.ASI.ASE.KR.KR-43,Chungcheongbuk-do,Chungcheong du Nord,province,
KR-44,T.ASI.ASE.KR.KR-44,Chungcheongnam-do,Chungcheong du Sud,province,
KR-42,T.ASI.ASE.KR.KR-42,Gangwon-do,Gangwon,province,
KR-41,T.ASI.ASE.KR.KR-41,Gyeonggi-do,Gyeonggi,province,
KR-47,T.ASI.ASE.KR.KR-47,Gyeongsangbuk-do,Gyeongsang du Nord,province,
KR-48,T.ASI.ASE.KR.KR-48,Gyeongsangnam-do,Gyeongsang du Sud,province,
KR-45,T.ASI.ASE.KR.KR-45,Jeollabuk-do,Jeolla du Nord,province,
KR-46,T.ASI.ASE.KR.KR-46,Jeollanam-do,Jeolla du Sud,province,
KR-49,T.ASI.ASE.KR.KR-49,Jeju-teukbyeoljachido],Jeju,province autonome spéciale,
KR-11,T.ASI.ASE.KR.KR-11,Seoul-teukbyeolsi,Séoul,ville spéciale,
KR-50,T.ASI.ASE.KR.KR-50,Sejong,Sejong,ville autonome spéciale,
KR-26,T.ASI.ASE.KR.KR-26,Busan-gwangyeoksi,Pusan,ville métropolitaine,
KR-27,T.ASI.ASE.KR.KR-27,Daegu-gwangyeoksi,Daegu,ville métropolitaine,
KR-30,T.ASI.ASE.KR.KR-30,Daejeon-gwangyeoksi,Daejeon,ville métropolitaine,
KR-29,T.ASI.ASE.KR.KR-29,Gwangju-gwangyeoksi,Gwangju,ville métropolitaine,
KR-28,T.ASI.ASE.KR.KR-28,Incheon-gwangyeoksi,Incheon,ville métropolitaine,
KR-31,T.ASI.ASE.KR.KR-31,Ulsan-gwangyeoksi,Ulsan,ville métropolitaine,
