code,hierarchie,region,francais,administration,capitale
LU,T.EUR.EUO.LU,Luxembourg,,1,Luxembourg
LU-CA,T.EUR.EUO.LU.LU-CA,Capellen,,canton,Capellen
LU-CL,T.EUR.EUO.LU.LU-CL,Clervaux,,canton,Clervaux
LU-DI,T.EUR.EUO.LU.LU-DI,Diekirch,,canton,Diekirch
LU-EC,T.EUR.EUO.LU.LU-EC,Echternach,,canton,Echternach
LU-ES,T.EUR.EUO.LU.LU-ES,Esch-sur-Alzette,,canton,Esch-sur-Alzette
LU-GR,T.EUR.EUO.LU.LU-GR,Grevenmacher,,canton,Grevenmacher
LU-LU,T.EUR.EUO.LU.LU-LU,Luxembourg,,canton,Luxembourg
LU-ME,T.EUR.EUO.LU.LU-ME,Mersch,,canton,Mersch
LU-RD,T.EUR.EUO.LU.LU-RD,Redange,,canton,Redange-sur-Attert
LU-RM,T.EUR.EUO.LU.LU-RM,Remich,,canton,Remich
LU-VD,T.EUR.EUO.LU.LU-VD,Vianden,,canton,Vianden
LU-WI,T.EUR.EUO.LU.LU-WI,Wiltz,,canton,Wiltz
