code,hierarchie,region,francais,administration,capitale
616,pl,001.150.151.PL,Pologne,,pays,Warsaw
pl-02,001.150.151.PL.02,Dolnoslaskie,Basse-Silésie,province,Wrocław
pl-04,001.150.151.PL.04,Kujawsko-Pomorskie,Couïavie-Poméranie,province,Bydgoszcz
pl-06,001.150.151.PL.06,Lubelskie,Lublin,province,Lublin
pl-08,001.150.151.PL.08,Lubuskie,Lubusz,province,Zielona Góra
pl-10,001.150.151.PL.10,Lodzkie,Łódź,province,Łódź
pl-12,001.150.151.PL.12,Malopolskie,Petite-Pologne,province,Kraków
pl-14,001.150.151.PL.14,Mazowieckie,Mazovie,province,Warsaw
pl-16,001.150.151.PL.16,Opolskie,Opole,province,Opole
pl-18,001.150.151.PL.18,Podkarpackie,Basses-Carpates,province,Rzeszów
pl-20,001.150.151.PL.20,Podlaskie,Podlachie,province,Białystok
pl-22,001.150.151.PL.22,Pomorskie,Poméranie,province,Gdańsk
pl-24,001.150.151.PL.24,Śląskie,Silésie,province,Katowice
pl-26,001.150.151.PL.26,Swietokrzyskie,Sainte-Croix,province,Kielce
pl-28,001.150.151.PL.28,Warminsko-Mazurskie,Varmie-Mazurie,province,Olsztyn
pl-30,001.150.151.PL.30,Wielkopolskie,Grande-Pologne,province,Poznań
pl-32,001.150.151.PL.32,Zachodniopomorskie,Poméranie occidentale,province,Szczecin
