code,hierarchie,region,francais,administration,capitale
PT,T.EUR.EUS.PT,Portugal,,1,Lisbone
PT-01,T.EUR.EUS.PT.PT-01,Aveiro,,4,Aveiro
PT-02,T.EUR.EUS.PT.PT-02,Beja,,4,Beja
PT-03,T.EUR.EUS.PT.PT-03,Braga,,4,Braga
PT-04,T.EUR.EUS.PT.PT-04,Braganca,,4,Bragança
PT-05,T.EUR.EUS.PT.PT-05,Castelo Branco,,4,Castelo Branco
PT-06,T.EUR.EUS.PT.PT-06,Coimbra,,4,Coimbra
PT-07,T.EUR.EUS.PT.PT-07,Evora,,4,Évora
PT-08,T.EUR.EUS.PT.PT-08,Faro,,4,Faro
PT-09,T.EUR.EUS.PT.PT-09,Guarda,,4,Guarda
PT-10,T.EUR.EUS.PT.PT-10,Leiria,,4,Leiria
PT-11,T.EUR.EUS.PT.PT-11,Lisboa,,4,Lisbon
PT-12,T.EUR.EUS.PT.PT-12,Portalegre,,4,Portalegre
PT-13,T.EUR.EUS.PT.PT-13,Porto,,4,Porto
PT-14,T.EUR.EUS.PT.PT-14,Santarem,,4,Santarém
PT-15,T.EUR.EUS.PT.PT-15,Setubal,,4,Setúbal
PT-16,T.EUR.EUS.PT.PT-16,Viana do Castelo,,4,Viana do Castelo
PT-17,T.EUR.EUS.PT.PT-17,Vila Real,,4,Vila Real
PT-18,T.EUR.EUS.PT.PT-18,Viseu,,4,Viseu
PT-20,T.EUR.EUS.PT.PT-20,Acores (Azores),,região autónoma,Ponta Delgada
PT-30,T.EUR.EUS.PT.PT-30,Madeira,,região autónoma,Funchal
