code,hierarchie,region,francais,administration,capitale
RO,001.EUR.151.642,Roumanie,,1,Bucarest
RO-B,001.EUR.151.642.RO-B,București,,municipiu,București
RO-AB,001.EUR.151.642.RO-AB,Alba,,9,Alba Iulia
RO-AR,001.EUR.151.642.RO-AR,Arad,,9,Arad
RO-AG,001.EUR.151.642.RO-AG,Argeș,,9,Pitești
RO-BC,001.EUR.151.642.RO-BC,Bacău,,9,Bacău
RO-BH,001.EUR.151.642.RO-BH,Bihor,,9,Oradea
RO-BN,001.EUR.151.642.RO-BN,Bistrița-Năsăud,,9,Bistrița
RO-BT,001.EUR.151.642.RO-BT,Botoșani,,9,Botoșani
RO-BV,001.EUR.151.642.RO-BV,Brașov,,9,Brașov
RO-BR,001.EUR.151.642.RO-BR,Brăila,,9,Brăila
RO-BZ,001.EUR.151.642.RO-BZ,Buzău,,9,Buzău
RO-CS,001.EUR.151.642.RO-CS,Caraș-Severin,,9,Reșița
RO-CL,001.EUR.151.642.RO-CL,Călărași,,9,Călărași
RO-CJ,001.EUR.151.642.RO-CJ,Cluj,,9,Cluj-Napoca
RO-CT,001.EUR.151.642.RO-CT,Constanța,,9,Constanța
RO-CV,001.EUR.151.642.RO-CV,Covasna,,9,Sfântu Gheorghe
RO-DB,001.EUR.151.642.RO-DB,Dâmbovița,,9,Târgoviște
RO-DJ,001.EUR.151.642.RO-DJ,Dolj,,9,Craiova
RO-GL,001.EUR.151.642.RO-GL,Galați,,9,Galați
RO-GR,001.EUR.151.642.RO-GR,Giurgiu,,9,Giurgiu
RO-GJ,001.EUR.151.642.RO-GJ,Gorj,,9,Târgu Jiu
RO-HR,001.EUR.151.642.RO-HR,Harghita,,9,Miercurea Ciuc
RO-HD,001.EUR.151.642.RO-HD,Hunedoara,,9,Deva
RO-IL,001.EUR.151.642.RO-IL,Ialomița,,9,Slobozia
RO-IS,001.EUR.151.642.RO-IS,Iași,,9,Iași
RO-IF,001.EUR.151.642.RO-IF,Ilfov,,9,Bucharest
RO-MM,001.EUR.151.642.RO-MM,Maramureș,,9,Baia Mare
RO-MH,001.EUR.151.642.RO-MH,Mehedinți,,9,Drobeta-Turnu Severin
RO-MS,001.EUR.151.642.RO-MS,Mureș,,9,Târgu Mureș
RO-NT,001.EUR.151.642.RO-NT,Neamț,,9,Piatra Neamț
RO-OT,001.EUR.151.642.RO-OT,Olt,,9,Slatina
RO-PH,001.EUR.151.642.RO-PH,Prahova,,9,Ploiești
RO-SM,001.EUR.151.642.RO-SM,Satu Mare,,9,Satu Mare
RO-SJ,001.EUR.151.642.RO-SJ,Sălaj,,9,Zalău
RO-SB,001.EUR.151.642.RO-SB,Sibiu,,9,Sibiu
RO-SV,001.EUR.151.642.RO-SV,Suceava,,9,Suceava
RO-TR,001.EUR.151.642.RO-TR,Teleorman,,9,Alexandria
RO-TM,001.EUR.151.642.RO-TM,Timiș,,9,Timișoara
RO-TL,001.EUR.151.642.RO-TL,Tulcea,,9,Tulcea
RO-VS,001.EUR.151.642.RO-VS,Vaslui,,9,Vaslui
RO-VL,001.EUR.151.642.RO-VL,Vâlcea,,9,Râmnicu Vâlcea
RO-VN,001.EUR.151.642.RO-VN,Vrancea,,9,Focșani
