code,hierarchie,region,francais,administration,capitale
UA,T.EUR.EUE.UA,Ukraine,,1,Kyïv
UA-05,T.EUR.EUE.UA.UA-05,Vinnytska,,10,Vinnytsya
UA-07,T.EUR.EUE.UA.UA-07,Volynska,,10,Luts'k
UA-09,T.EUR.EUE.UA.UA-09,Luhanska,Luhansk,10,Luhans'k
UA-12,T.EUR.EUE.UA.UA-12,Dnipropetrovska,,10,Dnipropetrovs'k
UA-14,T.EUR.EUE.UA.UA-14,Donetska,Donetsk,10,Donets'k
UA-18,T.EUR.EUE.UA.UA-18,Zhytomyrska,,10,Zhytomyr
UA-21,T.EUR.EUE.UA.UA-21,Zakarpatska,,10,Uzhhorod
UA-23,T.EUR.EUE.UA.UA-23,Zaporizka,,10,Zaporizhzhya
UA-26,T.EUR.EUE.UA.UA-26,Ivano-Frankivska,Ivano-Frankivsk,10,Ivano-Frankivs'k
UA-30,T.EUR.EUE.UA.UA-30,Kyiv,,misto,Kyiv
UA-32,T.EUR.EUE.UA.UA-32,Kyivska,,10,Kyiv
UA-35,T.EUR.EUE.UA.UA-35,Kirovohradska,,10,Kirovohrad
UA-40,T.EUR.EUE.UA.UA-40,Sevastopol,Sébastopol,misto,Sevastopol
UA-43,T.EUR.EUE.UA.UA-43,Krym,,avtonomna respublika,Simferopol
UA-46,T.EUR.EUE.UA.UA-46,Lvivska,,10,L'viv
UA-48,T.EUR.EUE.UA.UA-48,Mykolaivska,Mykolaïv,10,Mykolayiv
UA-51,T.EUR.EUE.UA.UA-51,Odeska,,10,Odesa
UA-53,T.EUR.EUE.UA.UA-53,Poltavska,,10,Poltava
UA-56,T.EUR.EUE.UA.UA-56,Rivnenska,,10,Rivne
UA-59,T.EUR.EUE.UA.UA-59,Sumska,,10,Sumy
UA-61,T.EUR.EUE.UA.UA-61,Ternopilska,,10,Ternopil'
UA-63,T.EUR.EUE.UA.UA-63,Kharkivska,,10,Kharkiv
UA-65,T.EUR.EUE.UA.UA-65,Khersonska,,10,Kherson
UA-68,T.EUR.EUE.UA.UA-68,Khmelnytska,,10,Khmel'nyts'kyy
UA-71,T.EUR.EUE.UA.UA-71,Cherkaska,,10,Cherkasy
UA-74,T.EUR.EUE.UA.UA-74,Chernihivska,,10,Chernihiv
UA-77,T.EUR.EUE.UA.UA-77,Chernivetska,,10,Chernivtsi
