"fournisseur_id","company_name","contact_name","contact_title","adresse_id","phone","fax","banque_code"
2,New Orleans Cajun Delights,Shelley Burke,Order Administrator,1121,(100) 555-4822,,
1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,1120,(171) 555-2222,,BNPAFRPPEPL
3,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,1122,(313) 555-5735,(313) 555-3349,CRLYFRPPRMA
4,Tokyo Traders,Yoshi Nagase,Marketing Manager,1123,(03) 3555-5011,,AGRIFRPP861
5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,1124,(98) 598 76 54,,AGRIFRPP861
6,Mayumi's,Mayumi Ohno,Marketing Representative,1125,(06) 431-7877,,BOUSFRPPBDF
7,"Pavlova,Ltd.",Ian Devling,Marketing Manager,1126,(03) 444-2343,(03) 444-6588,CEPAFRPP513
8,"Specialty Biscuits,Ltd.",Peter Wilson,Sales Representative,1127,(161) 555-4448,,BOUSFRPPBDF
9,PB Knäckebröd AB,Lars Peterson,Sales Agent,1128,"031-987 65 43","031-987 65 91",AGRIFRPP861
10,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,1129,(11) 555 4640,,PSSTFRPPNCY
11,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,1130,(010) 9984510,,CCBPFRPPMTZ
12,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,1131,(069) 992755,,CRLYFRPPRMA
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,1132,(04721) 8713,(04721) 8714,CCFRFRPP310
14,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,1133,(0544) 60323,(0544) 60603,CRLYFRPPRMA
15,Norske Meierier,Beate Vileid,Marketing Manager,1134,(0)2-953010,,AGRIFRPP861
16,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,1135,(503) 555-9931,,CRLYFRPPRMA
17,Svensk Sjöföda AB,Michael Björn,Sales Representative,1136,"08-123 45 67",,BNPAFRPPEPL
18,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,1137,(1) 03.83.00.68,(1) 03.83.00.62,BOUSFRPPBDF
19,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,1138,(617) 555-3267,(617) 555-3389,CRLYFRPPRMA
20,Leka Trading,Chandra Leka,Owner,1139,"555-8787",,BNPAFRPPEPL
21,Lyngbysild,Niels Petersen,Sales Manager,1140,"43844108","43844115",SOGEFRPPSTD
22,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,1141,(12345) 1212,(12345) 1210,CCFRFRPP310
23,Karkki Oy,Anne Heikkonen,Product Manager,1142,(953) 10956,,CRLYFRPPRMA
24,"G'day, Mate",Wendy Mackenzie,Sales Representative,1143,(02) 555-5914,(02) 555-4873,CCFRFRPP310
25,Ma Maison,Jean-Guy Lauzon,Marketing Manager,1144,(514) 555-9022,,CRLYFRPPRMA
26,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,1145,(089) 6547665,(089) 6547667,BNPAFRPPEPL
27,Escargots Nouveaux,Marie Delamare,Sales Manager,1146,"85.57.00.07",,SOGEFRPPSTD
28,Gai pâturage,Eliane Noz,Sales Representative,1147,"38.76.98.06","38.76.98.58",PSSTFRPPNCY
29,Forêts d'érables,Chantal Goulet,Accounting Manager,1148,(514) 555-2955,(514) 555-2921,CEPAFRPP513
