brand_id,brand_name
1,Sun
2,Mavic
3,Sram
4,Shimano
5,Italia
6,SunRace
7,Campagnolo
8,Magura
9,Look
10,Suntour
11,Hutchinson
12,Pirelli
13,Michelin
14,Schwalbe
15,Maxxis
16,Continental
17,Vittoria
18,Zefal
19,Vetta
20,Ritchey
21,Trek
22,Dartmoor
23,BMC
24,Cannondale
25,Specialized
26,Cube
27,Giant
28,Haibike
29,Moustache
30,Scott
31,Lapierre
32,Marin Bikes
33,Sunn
34,Kona
35,Focus
36,Ridley
37,Bianchi
38,Yeti Cycles
39,Santa Cruz
40,Canyon
41,Goodyear
101,Electra
102,Haro
103,Heller
104,Pure Cycles
105,Ritchey
106,Strider
107,Sun Bicycles
108,Surly
109,Trek
