product_id,reorder_level,units_in_stock,units_on_order
1,10,39,0
2,25,17,40
3,25,13,70
4,0,53,0
5,0,0,0
6,25,120,0
7,10,15,0
8,0,6,0
9,0,29,0
10,0,31,0
11,30,22,30
12,0,86,0
13,5,24,0
14,0,35,0
15,5,39,0
16,10,29,0
17,0,0,0
18,0,42,0
19,5,25,0
20,0,40,0
21,5,3,40
22,25,104,0
23,25,61,0
24,0,20,0
25,30,76,0
26,0,15,0
27,30,49,0
28,0,26,0
29,0,0,0
30,15,10,0
31,20,0,70
32,25,9,40
33,20,112,0
34,15,111,0
35,15,20,0
36,20,112,0
37,25,11,50
38,15,17,0
39,5,69,0
40,30,123,0
41,10,85,0
42,0,26,0
43,25,17,10
44,15,27,0
45,15,5,70
46,0,95,0
47,0,36,0
48,25,15,70
49,15,10,60
50,30,65,0
51,10,20,0
52,25,38,0
53,0,0,0
54,10,21,0
55,20,115,0
56,30,21,10
57,20,36,0
58,20,62,0
59,0,79,0
60,0,19,0
61,25,113,0
62,0,17,0
63,5,24,0
64,30,22,80
65,0,76,0
66,20,4,100
67,10,52,0
68,15,6,10
69,15,26,0
70,30,15,10
71,0,26,0
72,0,14,0
73,5,101,0
74,5,4,20
75,25,125,0
76,20,57,0
77,15,32,0
